#           k/h    P           
   0.100000E-03   0.481900E+03
   0.102020E-03   0.491237E+03
   0.104081E-03   0.500755E+03
   0.106184E-03   0.510457E+03
   0.108329E-03   0.520347E+03
   0.110517E-03   0.530428E+03
   0.112750E-03   0.540705E+03
   0.115027E-03   0.551180E+03
   0.117351E-03   0.561858E+03
   0.119722E-03   0.572743E+03
   0.122140E-03   0.583838E+03
   0.124608E-03   0.595148E+03
   0.127125E-03   0.606676E+03
   0.129693E-03   0.618427E+03
   0.132313E-03   0.630406E+03
   0.134986E-03   0.642616E+03
   0.137713E-03   0.655063E+03
   0.140495E-03   0.667750E+03
   0.143333E-03   0.680682E+03
   0.146228E-03   0.693864E+03
   0.149182E-03   0.707301E+03
   0.152196E-03   0.720997E+03
   0.155271E-03   0.734958E+03
   0.158407E-03   0.749189E+03
   0.161607E-03   0.763695E+03
   0.164872E-03   0.778480E+03
   0.168203E-03   0.793552E+03
   0.171601E-03   0.808914E+03
   0.175067E-03   0.824573E+03
   0.178604E-03   0.840534E+03
   0.182212E-03   0.856803E+03
   0.185893E-03   0.873385E+03
   0.189648E-03   0.890288E+03
   0.193479E-03   0.907516E+03
   0.197388E-03   0.925077E+03
   0.201375E-03   0.942977E+03
   0.205443E-03   0.961221E+03
   0.209594E-03   0.979817E+03
   0.213828E-03   0.998771E+03
   0.218147E-03   0.101809E+04
   0.222554E-03   0.103778E+04
   0.227050E-03   0.105785E+04
   0.231637E-03   0.107831E+04
   0.236316E-03   0.109916E+04
   0.241090E-03   0.112041E+04
   0.245960E-03   0.114207E+04
   0.250929E-03   0.116414E+04
   0.255998E-03   0.118664E+04
   0.261170E-03   0.120957E+04
   0.266446E-03   0.123295E+04
   0.271828E-03   0.125677E+04
   0.277319E-03   0.128104E+04
   0.282922E-03   0.130579E+04
   0.288637E-03   0.133101E+04
   0.294468E-03   0.135671E+04
   0.300417E-03   0.138290E+04
   0.306485E-03   0.140959E+04
   0.312677E-03   0.143680E+04
   0.318993E-03   0.146453E+04
   0.325437E-03   0.149278E+04
   0.332012E-03   0.152158E+04
   0.338719E-03   0.155092E+04
   0.345561E-03   0.158083E+04
   0.352542E-03   0.161130E+04
   0.359664E-03   0.164236E+04
   0.366930E-03   0.167401E+04
   0.374342E-03   0.170626E+04
   0.381904E-03   0.173913E+04
   0.389619E-03   0.177262E+04
   0.397490E-03   0.180674E+04
   0.405520E-03   0.184152E+04
   0.413712E-03   0.187695E+04
   0.422070E-03   0.191306E+04
   0.430596E-03   0.194985E+04
   0.439295E-03   0.198733E+04
   0.448169E-03   0.202553E+04
   0.457222E-03   0.206444E+04
   0.466459E-03   0.210409E+04
   0.475882E-03   0.214449E+04
   0.485496E-03   0.218565E+04
   0.495303E-03   0.222759E+04
   0.505309E-03   0.227031E+04
   0.515517E-03   0.231384E+04
   0.525931E-03   0.235818E+04
   0.536556E-03   0.240336E+04
   0.547395E-03   0.244938E+04
   0.558453E-03   0.249626E+04
   0.569734E-03   0.254402E+04
   0.581244E-03   0.259267E+04
   0.592986E-03   0.264222E+04
   0.604965E-03   0.269270E+04
   0.617186E-03   0.274411E+04
   0.629654E-03   0.279648E+04
   0.642374E-03   0.284982E+04
   0.655350E-03   0.290415E+04
   0.668589E-03   0.295948E+04
   0.682096E-03   0.301584E+04
   0.695875E-03   0.307323E+04
   0.709933E-03   0.313168E+04
   0.724274E-03   0.319120E+04
   0.738906E-03   0.325181E+04
   0.753832E-03   0.331353E+04
   0.769061E-03   0.337638E+04
   0.784597E-03   0.344038E+04
   0.800447E-03   0.350554E+04
   0.816617E-03   0.357189E+04
   0.833114E-03   0.363944E+04
   0.849944E-03   0.370821E+04
   0.867114E-03   0.377823E+04
   0.884631E-03   0.384950E+04
   0.902501E-03   0.392206E+04
