#    L    TT             EE             TE             PP             TP          
     2   0.107699E+04   0.523253E-01   0.331962E+01   0.104075E+07   0.308426E+05
     3   0.100758E+04   0.858970E-01   0.415662E+01   0.159826E+07   0.367034E+05
     4   0.941893E+03   0.973444E-01   0.428678E+01   0.209297E+07   0.394448E+05
     5   0.891027E+03   0.872489E-01   0.399047E+01   0.252866E+07   0.404859E+05
     6   0.854165E+03   0.652895E-01   0.349004E+01   0.291187E+07   0.406028E+05
     7   0.828850E+03   0.421329E-01   0.292500E+01   0.325035E+07   0.402124E+05
     8   0.811993E+03   0.245285E-01   0.238307E+01   0.355043E+07   0.394720E+05
     9   0.801553E+03   0.142755E-01   0.191520E+01   0.381758E+07   0.384691E+05
    10   0.796229E+03   0.979215E-02   0.154522E+01   0.405556E+07   0.373255E+05
    11   0.794634E+03   0.835900E-02   0.128118E+01   0.426896E+07   0.361874E+05
    12   0.797038E+03   0.781214E-02   0.112184E+01   0.445882E+07   0.350874E+05
    13   0.801056E+03   0.715508E-02   0.104937E+01   0.462984E+07   0.340765E+05
    14   0.806670E+03   0.632537E-02   0.104414E+01   0.478218E+07   0.330523E+05
    15   0.812841E+03   0.563783E-02   0.108458E+01   0.491929E+07   0.320534E+05
    16   0.821162E+03   0.536646E-02   0.115052E+01   0.504180E+07   0.310672E+05
    17   0.831381E+03   0.546606E-02   0.122462E+01   0.515119E+07   0.301094E+05
    18   0.842287E+03   0.580994E-02   0.129478E+01   0.524920E+07   0.292010E+05
    19   0.854613E+03   0.626615E-02   0.136081E+01   0.533654E+07   0.283246E+05
    20   0.866737E+03   0.672061E-02   0.141600E+01   0.541377E+07   0.274612E+05
    21   0.879373E+03   0.721631E-02   0.146249E+01   0.548201E+07   0.266225E+05
    22   0.892561E+03   0.785091E-02   0.150015E+01   0.554235E+07   0.258229E+05
    23   0.905864E+03   0.871115E-02   0.153444E+01   0.559535E+07   0.250569E+05
    24   0.919548E+03   0.986452E-02   0.157105E+01   0.564142E+07   0.243162E+05
    25   0.933735E+03   0.112816E-01   0.160642E+01   0.568120E+07   0.236011E+05
    26   0.947939E+03   0.129240E-01   0.164649E+01   0.571528E+07   0.229143E+05
    27   0.962572E+03   0.147912E-01   0.169145E+01   0.574416E+07   0.222597E+05
    28   0.977470E+03   0.168670E-01   0.173495E+01   0.576823E+07   0.216401E+05
    29   0.992577E+03   0.191353E-01   0.177964E+01   0.578759E+07   0.210524E+05
    30   0.100810E+04   0.215842E-01   0.181575E+01   0.580238E+07   0.204913E+05
    31   0.102341E+04   0.242094E-01   0.184879E+01   0.581312E+07   0.199491E+05
    32   0.103929E+04   0.270372E-01   0.186974E+01   0.582041E+07   0.194202E+05
    33   0.105522E+04   0.300402E-01   0.188038E+01   0.582445E+07   0.189098E+05
    34   0.107121E+04   0.332494E-01   0.188539E+01   0.582542E+07   0.184242E+05
    35   0.108786E+04   0.366455E-01   0.187335E+01   0.582353E+07   0.179617E+05
    36   0.110427E+04   0.402363E-01   0.185173E+01   0.581902E+07   0.175185E+05
    37   0.112093E+04   0.440784E-01   0.181585E+01   0.581208E+07   0.170885E+05
    38   0.113793E+04   0.481959E-01   0.176974E+01   0.580289E+07   0.166673E+05
    39   0.115516E+04   0.525808E-01   0.171475E+01   0.579159E+07   0.162574E+05
    40   0.117256E+04   0.572199E-01   0.165058E+01   0.577830E+07   0.158631E+05
    41   0.119006E+04   0.621048E-01   0.157708E+01   0.576314E+07   0.154879E+05
    42   0.120765E+04   0.672453E-01   0.149490E+01   0.574623E+07   0.151309E+05
    43   0.122536E+04   0.726560E-01   0.140443E+01   0.572770E+07   0.147900E+05
    44   0.124323E+04   0.783490E-01   0.130450E+01   0.570769E+07   0.144634E+05
    45   0.126133E+04   0.843337E-01   0.119359E+01   0.568633E+07   0.141489E+05
    46   0.127963E+04   0.906144E-01   0.107074E+01   0.566373E+07   0.138449E+05
    47   0.129810E+04   0.971858E-01   0.935139E+00   0.563998E+07   0.135501E+05
    48   0.131674E+04   0.104033E+00   0.786038E+00   0.561519E+07   0.132633E+05
    49   0.133552E+04   0.111142E+00   0.622749E+00   0.558943E+07   0.129835E+05
    50   0.135451E+04   0.118507E+00   0.444725E+00   0.556279E+07   0.127097E+05
    51   0.137377E+04   0.126130E+00   0.251859E+00   0.553535E+07   0.124412E+05
    52   0.139325E+04   0.134020E+00   0.455959E-01   0.550717E+07   0.121791E+05
    53   0.141288E+04   0.142188E+00  -0.172439E+00   0.547830E+07   0.119252E+05
    54   0.143263E+04   0.150646E+00  -0.401479E+00   0.544881E+07   0.116812E+05
    55   0.145250E+04   0.159406E+00  -0.641130E+00   0.541874E+07   0.114486E+05
    56   0.147261E+04   0.168472E+00  -0.891848E+00   0.538815E+07   0.112284E+05
    57   0.149306E+04   0.177835E+00  -0.115495E+01   0.535707E+07   0.110186E+05
    58   0.151379E+04   0.187489E+00  -0.143127E+01   0.532554E+07   0.108165E+05
    59   0.153472E+04   0.197425E+00  -0.172137E+01   0.529358E+07   0.106191E+05
    60   0.155583E+04   0.207631E+00  -0.202540E+01   0.526124E+07   0.104239E+05
    61   0.157712E+04   0.218092E+00  -0.234336E+01   0.522854E+07   0.102288E+05
    62   0.159860E+04   0.228807E+00  -0.267506E+01   0.519553E+07   0.100350E+05
    63   0.162029E+04   0.239773E+00  -0.302027E+01   0.516226E+07   0.984463E+04
    64   0.164221E+04   0.250991E+00  -0.337878E+01   0.512878E+07   0.965968E+04
    65   0.166439E+04   0.262461E+00  -0.375040E+01   0.509513E+07   0.948220E+04
    66   0.168686E+04   0.274178E+00  -0.413505E+01   0.506136E+07   0.931371E+04
    67   0.170961E+04   0.286134E+00  -0.453206E+01   0.502750E+07   0.915369E+04
    68   0.173259E+04   0.298320E+00  -0.494064E+01   0.499357E+07   0.900111E+04
    69   0.175577E+04   0.310728E+00  -0.536001E+01   0.495959E+07   0.885494E+04
    70   0.177910E+04   0.323351E+00  -0.578958E+01   0.492558E+07   0.871416E+04
    71   0.180258E+04   0.336184E+00  -0.622916E+01   0.489157E+07   0.857780E+04
    72   0.182630E+04   0.349223E+00  -0.667985E+01   0.485755E+07   0.844529E+04
    73   0.185038E+04   0.362460E+00  -0.714287E+01   0.482354E+07   0.831610E+04
    74   0.187482E+04   0.375881E+00  -0.761839E+01   0.478954E+07   0.818972E+04
    75   0.189962E+04   0.389473E+00  -0.810623E+01   0.475555E+07   0.806565E+04
    76   0.192473E+04   0.403221E+00  -0.860602E+01   0.472158E+07   0.794341E+04
    77   0.195004E+04   0.417114E+00  -0.911622E+01   0.468765E+07   0.782263E+04
    78   0.197553E+04   0.431141E+00  -0.963619E+01   0.465376E+07   0.770298E+04
    79   0.200126E+04   0.445290E+00  -0.101656E+02   0.461995E+07   0.758413E+04
    80   0.202725E+04   0.459551E+00  -0.107042E+02   0.458623E+07   0.746574E+04
    81   0.205353E+04   0.473914E+00  -0.112517E+02   0.455262E+07   0.734807E+04
    82   0.208011E+04   0.488367E+00  -0.118075E+02   0.451912E+07   0.723369E+04
