#    L    TxT            TxE            TxP            TxW1           TxW2           ExT            ExE            ExP            ExW1           ExW2           PxT            PxE            PxP            PxW1           PxW2           W1xT           W1xE           W1xP           W1xW1          W1xW2          W2xT           W2xE           W2xP           W2xW1          W2xW2       
     2   0.952351E+03   0.264371E+01   0.361701E-02   0.326601E-01   0.154502E-02   0.264371E+01   0.527835E-01  -0.161409E-04   0.713968E-06  -0.446119E-06   0.361701E-02  -0.161409E-04   0.515788E-07   0.313105E-06   0.254504E-07   0.326601E-01   0.713968E-06   0.313105E-06   0.117424E-04   0.123519E-06   0.154502E-02  -0.446119E-06   0.254504E-07   0.123519E-06   0.192952E-07
     3   0.878665E+03   0.339036E+01   0.356697E-02   0.411940E-01   0.177764E-02   0.339036E+01   0.863902E-01  -0.197923E-04   0.773923E-05  -0.876587E-07   0.356697E-02  -0.197923E-04   0.627753E-07   0.532186E-06   0.375889E-07   0.411940E-01   0.773923E-05   0.532186E-06   0.234039E-04   0.272836E-06   0.177764E-02  -0.876587E-07   0.375889E-07   0.272836E-06   0.384217E-07
     4   0.816571E+03   0.352957E+01   0.345454E-02   0.485781E-01   0.193649E-02   0.352957E+01   0.975880E-01  -0.200254E-04   0.868558E-05   0.820356E-07   0.345454E-02  -0.200254E-04   0.724136E-07   0.790713E-06   0.495818E-07   0.485781E-01   0.868558E-05   0.790713E-06   0.393092E-04   0.493860E-06   0.193649E-02   0.820356E-07   0.495818E-07   0.493860E-06   0.626504E-07
     5   0.771933E+03   0.329786E+01   0.331654E-02   0.550616E-01   0.204577E-02   0.329786E+01   0.871633E-01  -0.177698E-04   0.808949E-05   0.147244E-06   0.331654E-02  -0.177698E-04   0.807707E-07   0.107980E-05   0.610807E-07   0.550616E-01   0.808949E-05   0.107980E-05   0.597953E-04   0.789666E-06   0.204577E-02   0.147244E-06   0.610807E-07   0.789666E-06   0.908819E-07
     6   0.742258E+03   0.288717E+01   0.317311E-02   0.607087E-01   0.211705E-02   0.288717E+01   0.649786E-01  -0.139218E-04   0.900317E-05   0.178274E-06   0.317311E-02  -0.139218E-04   0.880415E-07   0.139125E-05   0.718505E-07   0.607087E-01   0.900317E-05   0.139125E-05   0.851286E-04   0.115972E-05   0.211705E-02   0.178274E-06   0.718505E-07   0.115972E-05   0.122049E-06
     7   0.724484E+03   0.241701E+01   0.303384E-02   0.656224E-01   0.215955E-02   0.241701E+01   0.417603E-01  -0.938885E-05   0.820946E-05   0.166446E-06   0.303384E-02  -0.938885E-05   0.944173E-07   0.171801E-05   0.818268E-07   0.656224E-01   0.820946E-05   0.171801E-05   0.115480E-03   0.160186E-05   0.215955E-02   0.166446E-06   0.818268E-07   0.160186E-05   0.155320E-06
     8   0.715258E+03   0.196410E+01   0.289750E-02   0.698030E-01   0.217907E-02   0.196410E+01   0.242080E-01  -0.493777E-05   0.555727E-05   0.133312E-06   0.289750E-02  -0.493777E-05   0.100036E-06   0.205437E-05   0.909795E-07   0.698030E-01   0.555727E-05   0.205437E-05   0.150871E-03   0.211283E-05   0.217907E-02   0.133312E-06   0.909795E-07   0.211283E-05   0.189985E-06
     9   0.712346E+03   0.157416E+01   0.276247E-02   0.732679E-01   0.218037E-02   0.157416E+01   0.140331E-01  -0.111218E-05   0.556574E-05   0.126014E-06   0.276247E-02  -0.111218E-05   0.105013E-06   0.239547E-05   0.993205E-07   0.732679E-01   0.556574E-05   0.239547E-05   0.191294E-03   0.268827E-05   0.218037E-02   0.126014E-06   0.993205E-07   0.268827E-05   0.225482E-06
    10   0.714463E+03   0.126902E+01   0.263180E-02   0.761022E-01   0.216755E-02   0.126902E+01   0.959500E-02   0.173271E-05   0.778249E-05   0.147682E-06   0.263180E-02   0.173271E-05   0.109420E-06   0.273616E-05   0.106868E-06   0.761022E-01   0.778249E-05   0.273616E-05   0.236519E-03   0.332198E-05   0.216755E-02   0.147682E-06   0.106868E-06   0.332198E-05   0.261346E-06
    11   0.720136E+03   0.105680E+01   0.251180E-02   0.784293E-01   0.214471E-02   0.105680E+01   0.816741E-02   0.338927E-05   0.880885E-05   0.157559E-06   0.251180E-02   0.338927E-05   0.113353E-06   0.307368E-05   0.113683E-06   0.784293E-01   0.880885E-05   0.307368E-05   0.286392E-03   0.400910E-05   0.214471E-02   0.157559E-06   0.113683E-06   0.400910E-05   0.297272E-06
    12   0.729406E+03   0.937756E+00   0.240219E-02   0.802493E-01   0.211344E-02   0.937756E+00   0.761702E-02   0.383638E-05   0.799867E-05   0.137404E-06   0.240219E-02   0.383638E-05   0.116820E-06   0.340328E-05   0.119760E-06   0.802493E-01   0.799867E-05   0.340328E-05   0.340487E-03   0.474106E-05   0.211344E-02   0.137404E-06   0.119760E-06   0.474106E-05   0.332863E-06
    13   0.740425E+03   0.896439E+00   0.230485E-02   0.816342E-01   0.207656E-02   0.896439E+00   0.698156E-02   0.330434E-05   0.673427E-05   0.109637E-06   0.230485E-02   0.330434E-05   0.119927E-06   0.372407E-05   0.125208E-06   0.816342E-01   0.673427E-05   0.372407E-05   0.398564E-03   0.551384E-05   0.207656E-02   0.109637E-06   0.125208E-06   0.551384E-05   0.368066E-06
    14   0.752935E+03   0.914783E+00   0.221173E-02   0.825869E-01   0.203443E-02   0.914783E+00   0.621153E-02   0.218326E-05   0.593912E-05   0.973783E-07   0.221173E-02   0.218326E-05   0.122663E-06   0.403228E-05   0.130023E-06   0.825869E-01   0.593912E-05   0.403228E-05   0.460088E-03   0.631837E-05   0.203443E-02   0.973783E-07   0.130023E-06   0.631837E-05   0.402584E-06
    15   0.765907E+03   0.971694E+00   0.212449E-02   0.831755E-01   0.198899E-02   0.971694E+00   0.560972E-02   0.834573E-06   0.554430E-05   0.998478E-07   0.212449E-02   0.834573E-06   0.125107E-06   0.432762E-05   0.134297E-06   0.831755E-01   0.554430E-05   0.432762E-05   0.524747E-03   0.715050E-05   0.198899E-02   0.998478E-07   0.134297E-06   0.715050E-05   0.436436E-06
    16   0.780527E+03   0.104738E+01   0.204147E-02   0.834276E-01   0.194124E-02   0.104738E+01   0.542273E-02  -0.528515E-06   0.519112E-05   0.103696E-06   0.204147E-02  -0.528515E-06   0.127264E-06   0.460787E-05   0.138051E-06   0.834276E-01   0.519112E-05   0.460787E-05   0.592010E-03   0.800255E-05   0.194124E-02   0.103696E-06   0.138051E-06   0.800255E-05   0.469465E-06
    17   0.796677E+03   0.112519E+01   0.196301E-02   0.833825E-01   0.189201E-02   0.112519E+01   0.558344E-02  -0.175662E-05   0.500519E-05   0.104166E-06   0.196301E-02  -0.175662E-05   0.129163E-06   0.487220E-05   0.141330E-06   0.833825E-01   0.500519E-05   0.487220E-05   0.661439E-03   0.886895E-05   0.189201E-02   0.104166E-06   0.141330E-06   0.886895E-05   0.501642E-06
    18   0.813410E+03   0.119380E+01   0.188990E-02   0.830827E-01   0.184208E-02   0.119380E+01   0.595010E-02  -0.270500E-05   0.513625E-05   0.100084E-06   0.188990E-02  -0.270500E-05   0.130842E-06   0.512029E-05   0.144191E-06   0.830827E-01   0.513625E-05   0.512029E-05   0.732628E-03   0.974483E-05   0.184208E-02   0.100084E-06   0.144191E-06   0.974483E-05   0.532976E-06
    19   0.831461E+03   0.125385E+01   0.182074E-02   0.825531E-01   0.179181E-02   0.125385E+01   0.639440E-02  -0.321719E-05   0.528853E-05   0.934880E-07   0.182074E-02  -0.321719E-05   0.132312E-06   0.535138E-05   0.146661E-06   0.825531E-01   0.528853E-05   0.535138E-05   0.805087E-03   0.106243E-04   0.179181E-02   0.934880E-07   0.146661E-06   0.106243E-04   0.563427E-06
    20   0.849165E+03   0.129943E+01   0.175408E-02   0.818181E-01   0.174148E-02   0.129943E+01   0.681120E-02  -0.319732E-05   0.515228E-05   0.868918E-07   0.175408E-02  -0.319732E-05   0.133582E-06   0.556481E-05   0.148767E-06   0.818181E-01   0.515228E-05   0.556481E-05   0.878334E-03   0.115020E-04   0.174148E-02   0.868918E-07   0.148767E-06   0.115020E-04   0.592959E-06
    21   0.867232E+03   0.133340E+01   0.169044E-02   0.809162E-01   0.169155E-02   0.133340E+01   0.725513E-02  -0.280336E-05   0.480748E-05   0.815297E-07   0.169044E-02  -0.280336E-05   0.134676E-06   0.576094E-05   0.150550E-06   0.809162E-01   0.480748E-05   0.576094E-05   0.952007E-03   0.123743E-04   0.169155E-02   0.815297E-07   0.150550E-06   0.123743E-04   0.621614E-06
    22   0.885703E+03   0.135640E+01   0.163056E-02   0.798817E-01   0.164243E-02   0.135640E+01   0.783474E-02  -0.224553E-05   0.443048E-05   0.781367E-07   0.163056E-02  -0.224553E-05   0.135616E-06   0.594028E-05   0.152049E-06   0.798817E-01   0.443048E-05   0.594028E-05   0.102577E-02   0.132384E-04   0.164243E-02   0.781367E-07   0.152049E-06   0.132384E-04   0.649445E-06
    23   0.904120E+03   0.137504E+01   0.157390E-02   0.787172E-01   0.159417E-02   0.137504E+01   0.864232E-02  -0.168916E-05   0.419341E-05   0.767367E-07   0.157390E-02  -0.168916E-05   0.136412E-06   0.610305E-05   0.153289E-06   0.787172E-01   0.419341E-05   0.610305E-05   0.109926E-02   0.140907E-04   0.159417E-02   0.767367E-07   0.153289E-06   0.140907E-04   0.676462E-06
    24   0.922726E+03   0.139604E+01   0.151974E-02   0.774251E-01   0.154677E-02   0.139604E+01   0.974910E-02  -0.125405E-05   0.419190E-05   0.768158E-07   0.151974E-02  -0.125405E-05   0.137073E-06   0.624953E-05   0.154292E-06   0.774251E-01   0.419190E-05   0.624953E-05   0.117214E-02   0.149281E-04   0.154677E-02   0.768158E-07   0.154292E-06   0.149281E-04   0.702675E-06
    25   0.941641E+03   0.141621E+01   0.146803E-02   0.760401E-01   0.150052E-02   0.141621E+01   0.111275E-01  -0.922859E-06   0.421974E-05   0.764225E-07   0.146803E-02  -0.922859E-06   0.137610E-06   0.638038E-05   0.155083E-06   0.760401E-01   0.421974E-05   0.638038E-05   0.124414E-02   0.157488E-04   0.150052E-02   0.764225E-07   0.155083E-06   0.157488E-04   0.728122E-06
    26   0.960380E+03   0.144172E+01   0.141888E-02   0.745979E-01   0.145566E-02   0.144172E+01   0.127401E-01  -0.666010E-06   0.406116E-05   0.737286E-07   0.141888E-02  -0.666010E-06   0.138037E-06   0.649637E-05   0.155687E-06   0.745979E-01   0.406116E-05   0.649637E-05   0.131504E-02   0.165515E-04   0.145566E-02   0.737286E-07   0.155687E-06   0.165515E-04   0.752847E-06
    27   0.979369E+03   0.147303E+01   0.137243E-02   0.731051E-01   0.141219E-02   0.147303E+01   0.145848E-01  -0.542246E-06   0.376404E-05   0.688379E-07   0.137243E-02  -0.542246E-06   0.138362E-06   0.659830E-05   0.156125E-06   0.731051E-01   0.376404E-05   0.659830E-05   0.138464E-02   0.173350E-04   0.141219E-02   0.688379E-07   0.156125E-06   0.173350E-04   0.776889E-06
    28   0.998460E+03   0.150407E+01   0.132876E-02   0.715634E-01   0.137004E-02   0.150407E+01   0.166429E-01  -0.612931E-06   0.343556E-05   0.624849E-07   0.132876E-02  -0.612931E-06   0.138595E-06   0.668690E-05   0.156414E-06   0.715634E-01   0.343556E-05   0.668690E-05   0.145277E-02   0.180982E-04   0.137004E-02   0.624849E-07   0.156414E-06   0.180982E-04   0.800276E-06
    29   0.101760E+04   0.153739E+01   0.128757E-02   0.699841E-01   0.132924E-02   0.153739E+01   0.188925E-01  -0.861614E-06   0.315657E-05   0.559957E-07   0.128757E-02  -0.861614E-06   0.138735E-06   0.676271E-05   0.156563E-06   0.699841E-01   0.315657E-05   0.676271E-05   0.151923E-02   0.188400E-04   0.132924E-02   0.559957E-07   0.156563E-06   0.188400E-04   0.822999E-06
    30   0.103700E+04   0.156306E+01   0.124848E-02   0.683804E-01   0.128987E-02   0.156306E+01   0.213159E-01  -0.123113E-05   0.298911E-05   0.506647E-07   0.124848E-02  -0.123113E-05   0.138784E-06   0.682633E-05   0.156582E-06   0.683804E-01   0.298911E-05   0.682633E-05   0.158386E-02   0.195596E-04   0.128987E-02   0.506647E-07   0.156582E-06   0.195596E-04   0.845052E-06
    31   0.105600E+04   0.158638E+01   0.121097E-02   0.667636E-01   0.125193E-02   0.158638E+01   0.239067E-01  -0.157928E-05   0.294615E-05   0.470689E-07   0.121097E-02  -0.157928E-05   0.138754E-06   0.687887E-05   0.156490E-06   0.667636E-01   0.294615E-05   0.687887E-05   0.164665E-02   0.202578E-04   0.125193E-02   0.470689E-07   0.156490E-06   0.202578E-04   0.866496E-06
    32   0.107539E+04   0.159816E+01   0.117469E-02   0.651449E-01   0.121544E-02   0.159816E+01   0.266899E-01  -0.177318E-05   0.301998E-05   0.454253E-07   0.117469E-02  -0.177318E-05   0.138658E-06   0.692151E-05   0.156307E-06   0.651449E-01   0.301998E-05   0.692151E-05   0.170763E-02   0.209359E-04   0.121544E-02   0.454253E-07   0.156307E-06   0.209359E-04   0.887394E-06
    33   0.109466E+04   0.160022E+01   0.113993E-02   0.635365E-01   0.118035E-02   0.160022E+01   0.296381E-01  -0.180229E-05   0.316890E-05   0.452267E-07   0.113993E-02  -0.180229E-05   0.138499E-06   0.695508E-05   0.156042E-06   0.635365E-01   0.316890E-05   0.695508E-05   0.176678E-02   0.215945E-04   0.118035E-02   0.452267E-07   0.156042E-06   0.215945E-04   0.907765E-06
    34   0.111381E+04   0.159733E+01   0.110706E-02   0.619508E-01   0.114662E-02   0.159733E+01   0.327834E-01  -0.170144E-05   0.334269E-05   0.457984E-07   0.110706E-02  -0.170144E-05   0.138282E-06   0.698034E-05   0.155704E-06   0.619508E-01   0.334269E-05   0.698034E-05   0.182409E-02   0.222344E-04   0.114662E-02   0.457984E-07   0.155704E-06   0.222344E-04   0.927619E-06
    35   0.113344E+04   0.157798E+01   0.107593E-02   0.603977E-01   0.111426E-02   0.157798E+01   0.361100E-01  -0.156451E-05   0.349075E-05   0.465189E-07   0.107593E-02  -0.156451E-05   0.138010E-06   0.699813E-05   0.155301E-06   0.603977E-01   0.349075E-05   0.699813E-05   0.187962E-02   0.228568E-04   0.111426E-02   0.465189E-07   0.155301E-06   0.228568E-04   0.946974E-06
    36   0.115265E+04   0.154958E+01   0.104625E-02   0.588856E-01   0.108324E-02   0.154958E+01   0.396290E-01  -0.147328E-05   0.356893E-05   0.468439E-07   0.104625E-02  -0.147328E-05   0.137687E-06   0.700927E-05   0.154841E-06   0.588856E-01   0.356893E-05   0.700927E-05   0.193342E-02   0.234628E-04   0.108324E-02   0.468439E-07   0.154841E-06   0.234628E-04   0.965852E-06
    37   0.117195E+04   0.150770E+01   0.101762E-02   0.574180E-01   0.105349E-02   0.150770E+01   0.433976E-01  -0.140207E-05   0.355911E-05   0.464848E-07   0.101762E-02  -0.140207E-05   0.137319E-06   0.701454E-05   0.154333E-06   0.574180E-01   0.355911E-05   0.701454E-05   0.198559E-02   0.240539E-04   0.105349E-02   0.464848E-07   0.154333E-06   0.240539E-04   0.984271E-06
    38   0.119147E+04   0.145656E+01   0.989740E-03   0.559959E-01   0.102489E-02   0.145656E+01   0.474394E-01  -0.130952E-05   0.345677E-05   0.452976E-07   0.989740E-03  -0.130952E-05   0.136908E-06   0.701469E-05   0.153781E-06   0.559959E-01   0.345677E-05   0.701469E-05   0.203621E-02   0.246314E-04   0.102489E-02   0.452976E-07   0.153781E-06   0.246314E-04   0.100225E-05
    39   0.121108E+04   0.139738E+01   0.962756E-03   0.546161E-01   0.997388E-03   0.139738E+01   0.517462E-01  -0.119923E-05   0.328584E-05   0.434618E-07   0.962756E-03  -0.119923E-05   0.136457E-06   0.701036E-05   0.153192E-06   0.546161E-01   0.328584E-05   0.701036E-05   0.208541E-02   0.251966E-04   0.997388E-03   0.434618E-07   0.153192E-06   0.251966E-04   0.101979E-05
    40   0.123071E+04   0.132961E+01   0.936949E-03   0.532740E-01   0.970944E-03   0.132961E+01   0.563043E-01  -0.108602E-05   0.307735E-05   0.412377E-07   0.936949E-03  -0.108602E-05   0.135968E-06   0.700221E-05   0.152569E-06   0.532740E-01   0.307735E-05   0.700221E-05   0.213328E-02   0.257508E-04   0.970944E-03   0.412377E-07   0.152569E-06   0.257508E-04   0.103690E-05
    41   0.125028E+04   0.125295E+01   0.912523E-03   0.519660E-01   0.945508E-03   0.125295E+01   0.611045E-01  -0.982389E-06   0.285723E-05   0.388367E-07   0.912523E-03  -0.982389E-06   0.135444E-06   0.699083E-05   0.151917E-06   0.519660E-01   0.285723E-05   0.699083E-05   0.217994E-02   0.262955E-04   0.945508E-03   0.388367E-07   0.151917E-06   0.262955E-04   0.105359E-05
