#    L    TT             EE             BB             TE          
     2    0.14388E+04    0.68187E-01    0.24587E-01    0.29458E+01
     3    0.12685E+04    0.10626E+00    0.28390E-01    0.29967E+01
     4    0.11815E+04    0.11875E+00    0.27913E-01    0.29129E+01
     5    0.11268E+04    0.10665E+00    0.24562E-01    0.26416E+01
     6    0.10926E+04    0.81052E-01    0.19896E-01    0.22756E+01
     7    0.10731E+04    0.53950E-01    0.15162E-01    0.18813E+01
     8    0.10636E+04    0.32977E-01    0.11123E-01    0.15060E+01
     9    0.10614E+04    0.20296E-01    0.80985E-02    0.11817E+01
    10    0.10647E+04    0.14359E-01    0.61068E-02    0.92849E+00
    11    0.10716E+04    0.12292E-01    0.50087E-02    0.75186E+00
    12    0.10816E+04    0.11750E-01    0.46067E-02    0.65292E+00
    13    0.10932E+04    0.11474E-01    0.47027E-02    0.61983E+00
    14    0.11060E+04    0.11317E-01    0.51170E-02    0.63514E+00
    15    0.11203E+04    0.11449E-01    0.57353E-02    0.67976E+00
    16    0.11363E+04    0.12024E-01    0.64700E-02    0.73579E+00
    17    0.11535E+04    0.13050E-01    0.72758E-02    0.78840E+00
    18    0.11709E+04    0.14300E-01    0.81226E-02    0.82753E+00
    19    0.11893E+04    0.15629E-01    0.89997E-02    0.85231E+00
    20    0.12070E+04    0.16990E-01    0.99020E-02    0.86120E+00
    21    0.12246E+04    0.18403E-01    0.10827E-01    0.85506E+00
    22    0.12424E+04    0.19986E-01    0.11773E-01    0.83526E+00
    23    0.12601E+04    0.21837E-01    0.12738E-01    0.80784E+00
    24    0.12778E+04    0.23997E-01    0.13722E-01    0.77900E+00
    25    0.12954E+04    0.26463E-01    0.14720E-01    0.75102E+00
    26    0.13128E+04    0.29186E-01    0.15730E-01    0.72619E+00
    27    0.13302E+04    0.32141E-01    0.16753E-01    0.70366E+00
    28    0.13476E+04    0.35333E-01    0.17790E-01    0.68257E+00
    29    0.13649E+04    0.38740E-01    0.18840E-01    0.66008E+00
    30    0.13822E+04    0.42351E-01    0.19903E-01    0.63171E+00
    31    0.13992E+04    0.46171E-01    0.20977E-01    0.59489E+00
    32    0.14162E+04    0.50197E-01    0.22060E-01    0.54796E+00
    33    0.14332E+04    0.54414E-01    0.23151E-01    0.49133E+00
    34    0.14500E+04    0.58822E-01    0.24248E-01    0.42604E+00
    35    0.14667E+04    0.63424E-01    0.25350E-01    0.35049E+00
    36    0.14833E+04    0.68240E-01    0.26454E-01    0.26218E+00
    37    0.14996E+04    0.73314E-01    0.27560E-01    0.16141E+00
    38    0.15161E+04    0.78687E-01    0.28672E-01    0.51051E-01
    39    0.15327E+04    0.84343E-01    0.29786E-01   -0.67339E-01
    40    0.15491E+04    0.90259E-01    0.30899E-01   -0.19275E+00
    41    0.15655E+04    0.96422E-01    0.32007E-01   -0.32479E+00
    42    0.15817E+04    0.10284E+00    0.33109E-01   -0.46465E+00
    43    0.15977E+04    0.10954E+00    0.34204E-01   -0.61394E+00
    44    0.16135E+04    0.11652E+00    0.35291E-01   -0.77335E+00
    45    0.16295E+04    0.12379E+00    0.36369E-01   -0.94351E+00
    46    0.16455E+04    0.13136E+00    0.37437E-01   -0.11268E+01
    47    0.16615E+04    0.13923E+00    0.38493E-01   -0.13224E+01
    48    0.16774E+04    0.14736E+00    0.39536E-01   -0.15262E+01
    49    0.16932E+04    0.15574E+00    0.40564E-01   -0.17348E+01
    50    0.17093E+04    0.16431E+00    0.41576E-01   -0.19514E+01
    51    0.17254E+04    0.17302E+00    0.42570E-01   -0.21804E+01
    52    0.17417E+04    0.18199E+00    0.43545E-01   -0.24259E+01
    53    0.17579E+04    0.19136E+00    0.44501E-01   -0.26898E+01
    54    0.17739E+04    0.20115E+00    0.45437E-01   -0.29663E+01
    55    0.17899E+04    0.21134E+00    0.46352E-01   -0.32492E+01
    56    0.18061E+04    0.22179E+00    0.47244E-01   -0.35391E+01
    57    0.18226E+04    0.23241E+00    0.48114E-01   -0.38363E+01
    58    0.18392E+04    0.24317E+00    0.48961E-01   -0.41427E+01
    59    0.18559E+04    0.25411E+00    0.49782E-01   -0.44599E+01
    60    0.18727E+04    0.26527E+00    0.50578E-01   -0.47883E+01
    61    0.18899E+04    0.27673E+00    0.51347E-01   -0.51277E+01
    62    0.19068E+04    0.28848E+00    0.52089E-01   -0.54788E+01
