#    L    TT             EE             BB             TE          
     2   0.156396E+04   0.740965E-01   0.266109E-01  -0.431759E+01
     3   0.119640E+04   0.111756E+00   0.298801E-01  -0.509806E+01
     4   0.105591E+04   0.120614E+00   0.285666E-01  -0.492629E+01
     5   0.100656E+04   0.104281E+00   0.244260E-01  -0.438291E+01
     6   0.100602E+04   0.760439E-01   0.192174E-01  -0.371306E+01
     7   0.103571E+04   0.484668E-01   0.142311E-01  -0.306063E+01
     8   0.108344E+04   0.284656E-01   0.101770E-01  -0.248241E+01
     9   0.114241E+04   0.171141E-01   0.728967E-02  -0.199205E+01
    10   0.120946E+04   0.121698E-01   0.550229E-02  -0.157832E+01
    11   0.128191E+04   0.106683E-01   0.461620E-02  -0.122818E+01
    12   0.135463E+04   0.105553E-01   0.440032E-02  -0.921486E+00
    13   0.143057E+04   0.109375E-01   0.462593E-02  -0.640745E+00
    14   0.150696E+04   0.116962E-01   0.513116E-02  -0.391762E+00
    15   0.158584E+04   0.128683E-01   0.580304E-02  -0.187284E+00
    16   0.166308E+04   0.143562E-01   0.656571E-02  -0.400883E-01
    17   0.173853E+04   0.158990E-01   0.738473E-02   0.416407E-01
    18   0.181294E+04   0.172514E-01   0.823842E-02   0.560735E-01
    19   0.188693E+04   0.183694E-01   0.911990E-02   0.153020E-01
    20   0.195839E+04   0.192785E-01   0.100262E-01  -0.753944E-01
    21   0.202813E+04   0.201600E-01   0.109556E-01  -0.204988E+00
    22   0.209632E+04   0.212291E-01   0.119062E-01  -0.364650E+00
    23   0.216229E+04   0.226070E-01   0.128765E-01  -0.536564E+00
    24   0.222606E+04   0.243730E-01   0.138646E-01  -0.704117E+00
    25   0.228772E+04   0.264995E-01   0.148675E-01  -0.868968E+00
    26   0.234685E+04   0.289409E-01   0.158830E-01  -0.102469E+01
    27   0.240406E+04   0.316600E-01   0.169121E-01  -0.116720E+01
    28   0.245934E+04   0.345976E-01   0.179565E-01  -0.129973E+01
    29   0.251268E+04   0.376979E-01   0.190154E-01  -0.142314E+01
    30   0.256425E+04   0.409172E-01   0.200874E-01  -0.155132E+01
    31   0.261328E+04   0.442485E-01   0.211704E-01  -0.167861E+01
    32   0.266042E+04   0.477222E-01   0.222622E-01  -0.181273E+01
    33   0.270525E+04   0.513132E-01   0.233621E-01  -0.195027E+01
    34   0.274788E+04   0.550611E-01   0.244693E-01  -0.208515E+01
    35   0.278886E+04   0.589829E-01   0.255809E-01  -0.222889E+01
    36   0.282731E+04   0.631189E-01   0.266947E-01  -0.237405E+01
    37   0.286405E+04   0.675155E-01   0.278118E-01  -0.252376E+01
    38   0.289946E+04   0.721776E-01   0.289333E-01  -0.267287E+01
    39   0.293339E+04   0.770827E-01   0.300566E-01  -0.282224E+01
    40   0.296559E+04   0.822042E-01   0.311779E-01  -0.297527E+01
    41   0.299587E+04   0.875218E-01   0.322943E-01  -0.313458E+01
    42   0.302431E+04   0.930386E-01   0.334041E-01  -0.329978E+01
    43   0.305106E+04   0.987639E-01   0.345065E-01  -0.347014E+01
    44   0.307630E+04   0.104705E+00   0.356004E-01  -0.364651E+01
    45   0.310021E+04   0.110865E+00   0.366848E-01  -0.383007E+01
    46   0.312289E+04   0.117246E+00   0.377586E-01  -0.402138E+01
    47   0.314435E+04   0.123850E+00   0.388204E-01  -0.422052E+01
    48   0.316461E+04   0.130671E+00   0.398687E-01  -0.442742E+01
    49   0.318367E+04   0.137706E+00   0.409019E-01  -0.464196E+01
    50   0.320163E+04   0.144957E+00   0.419185E-01  -0.486387E+01
    51   0.321856E+04   0.152433E+00   0.429171E-01  -0.509259E+01
    52   0.323448E+04   0.160134E+00   0.438968E-01  -0.532657E+01
    53   0.324937E+04   0.168059E+00   0.448568E-01  -0.556423E+01
    54   0.326326E+04   0.176206E+00   0.457964E-01  -0.580482E+01
    55   0.327620E+04   0.184574E+00   0.467146E-01  -0.604799E+01
    56   0.328835E+04   0.193157E+00   0.476107E-01  -0.629433E+01
    57   0.329987E+04   0.201946E+00   0.484838E-01  -0.654560E+01
    58   0.331073E+04   0.210933E+00   0.493330E-01  -0.680319E+01
    59   0.332089E+04   0.220112E+00   0.501573E-01  -0.706821E+01
    60   0.333037E+04   0.229468E+00   0.509558E-01  -0.734136E+01
    61   0.333921E+04   0.238991E+00   0.517277E-01  -0.762299E+01
    62   0.334745E+04   0.248678E+00   0.524725E-01  -0.791256E+01
    63   0.335518E+04   0.258533E+00   0.531897E-01  -0.820930E+01
    64   0.336243E+04   0.268558E+00   0.538788E-01  -0.851244E+01
    65   0.336927E+04   0.278756E+00   0.545395E-01  -0.882126E+01
    66   0.337580E+04   0.289124E+00   0.551713E-01  -0.913530E+01
    67   0.338202E+04   0.299649E+00   0.557738E-01  -0.945421E+01
    68   0.338792E+04   0.310317E+00   0.563464E-01  -0.977769E+01
    69   0.339348E+04   0.321114E+00   0.568887E-01  -0.101055E+02
    70   0.339869E+04   0.332026E+00   0.574003E-01  -0.104374E+02
    71   0.340357E+04   0.343046E+00   0.578807E-01  -0.107738E+02
    72   0.340823E+04   0.354170E+00   0.583300E-01  -0.111155E+02
    73   0.341284E+04   0.365396E+00   0.587483E-01  -0.114637E+02
    74   0.341741E+04   0.376717E+00   0.591356E-01  -0.118183E+02
    75   0.342198E+04   0.388123E+00   0.594919E-01  -0.121790E+02
    76   0.342652E+04   0.399603E+00   0.598175E-01  -0.125453E+02
    77   0.343095E+04   0.411144E+00   0.601123E-01  -0.129160E+02
    78   0.343526E+04   0.422733E+00   0.603765E-01  -0.132907E+02
    79   0.343954E+04   0.434358E+00   0.606103E-01  -0.136696E+02
    80   0.344382E+04   0.446004E+00   0.608138E-01  -0.140528E+02
    81   0.344817E+04   0.457660E+00   0.609870E-01  -0.144403E+02
    82   0.345259E+04   0.469316E+00   0.611301E-01  -0.148317E+02
    83   0.345706E+04   0.480963E+00   0.612430E-01  -0.152267E+02
    84   0.346158E+04   0.492590E+00   0.613258E-01  -0.156249E+02
    85   0.346614E+04   0.504188E+00   0.613784E-01  -0.160260E+02
    86   0.347075E+04   0.515749E+00   0.614011E-01  -0.164295E+02
    87   0.347538E+04   0.527260E+00   0.613942E-01  -0.168350E+02
    88   0.348006E+04   0.538710E+00   0.613581E-01  -0.172421E+02
    89   0.348481E+04   0.550086E+00   0.612934E-01  -0.176505E+02
    90   0.348965E+04   0.561373E+00   0.612004E-01  -0.180601E+02
    91   0.349463E+04   0.572557E+00   0.610798E-01  -0.184704E+02
    92   0.349975E+04   0.583628E+00   0.609322E-01  -0.188814E+02
    93   0.350503E+04   0.594574E+00   0.607582E-01  -0.192928E+02
    94   0.351048E+04   0.605387E+00   0.605586E-01  -0.197045E+02
    95   0.351610E+04   0.616055E+00   0.603340E-01  -0.201161E+02
    96   0.352191E+04   0.626569E+00   0.600853E-01  -0.205274E+02
    97   0.352791E+04   0.636916E+00   0.598130E-01  -0.209381E+02
    98   0.353412E+04   0.647085E+00   0.595179E-01  -0.213478E+02
    99   0.354051E+04   0.657066E+00   0.592007E-01  -0.217564E+02
   100   0.354711E+04   0.666852E+00   0.588621E-01  -0.221633E+02
   101   0.355392E+04   0.676431E+00   0.585027E-01  -0.225683E+02
   102   0.356094E+04   0.685784E+00   0.581234E-01  -0.229712E+02
   103   0.356818E+04   0.694917E+00   0.577247E-01  -0.233715E+02
   104   0.357562E+04   0.703802E+00   0.573074E-01  -0.237687E+02
   105   0.358328E+04   0.712437E+00   0.568722E-01  -0.241627E+02
   106   0.359116E+04   0.720810E+00   0.564198E-01  -0.245528E+02
   107   0.359924E+04   0.728919E+00   0.559509E-01  -0.249387E+02
   108   0.360753E+04   0.736744E+00   0.554661E-01  -0.253201E+02
