#    L    TT             EE             BB             TE             PP             TP             EP          
     2    0.15670E+04    0.74097E-01    0.26612E-01   -0.42992E+01    0.70519E-07    0.73191E-02   -0.17339E-04
     3    0.11994E+04    0.11182E+00    0.29882E-01   -0.50817E+01    0.88660E-07    0.68910E-02   -0.21200E-04
     4    0.10584E+04    0.12067E+00    0.28568E-01   -0.49107E+01    0.10462E-06    0.64561E-02   -0.21379E-04
     5    0.10086E+04    0.10433E+00    0.24425E-01   -0.43675E+01    0.11878E-06    0.60259E-02   -0.18961E-04
     6    0.10077E+04    0.76069E-01    0.19213E-01   -0.36977E+01    0.13138E-06    0.56098E-02   -0.14996E-04
     7    0.10369E+04    0.48472E-01    0.14222E-01   -0.30458E+01    0.14261E-06    0.52205E-02   -0.10500E-04
     8    0.10843E+04    0.28456E-01    0.10163E-01   -0.24688E+01    0.15266E-06    0.48571E-02   -0.62680E-05
     9    0.11430E+04    0.17093E-01    0.72709E-02   -0.19800E+01    0.16168E-06    0.45145E-02   -0.28430E-05
    10    0.12099E+04    0.12137E-01    0.54783E-02   -0.15680E+01    0.16975E-06    0.41898E-02   -0.58671E-06
    11    0.12822E+04    0.10625E-01    0.45869E-02   -0.12192E+01    0.17702E-06    0.38874E-02    0.32503E-06
    12    0.13559E+04    0.10536E-01    0.43589E-02   -0.91079E+00    0.18352E-06    0.36088E-02   -0.19187E-07
    13    0.14307E+04    0.10874E-01    0.45849E-02   -0.63238E+00    0.18932E-06    0.33523E-02   -0.11914E-05
    14    0.15079E+04    0.11633E-01    0.50834E-02   -0.38320E+00    0.19452E-06    0.31163E-02   -0.27490E-05
    15    0.15858E+04    0.12785E-01    0.57486E-02   -0.17700E+00    0.19917E-06    0.28981E-02   -0.44282E-05
    16    0.16627E+04    0.14229E-01    0.65041E-02   -0.28582E-01    0.20331E-06    0.26952E-02   -0.60196E-05
    17    0.17385E+04    0.15796E-01    0.73150E-02    0.54530E-01    0.20698E-06    0.25060E-02   -0.73442E-05
    18    0.18129E+04    0.17155E-01    0.81602E-02    0.70946E-01    0.21025E-06    0.23295E-02   -0.82434E-05
    19    0.18869E+04    0.18243E-01    0.90329E-02    0.29860E-01    0.21313E-06    0.21639E-02   -0.86062E-05
    20    0.19585E+04    0.19144E-01    0.99299E-02   -0.60275E-01    0.21564E-06    0.20082E-02   -0.84062E-05
    21    0.20281E+04    0.20006E-01    0.10849E-01   -0.19021E+00    0.21782E-06    0.18625E-02   -0.79082E-05
    22    0.20962E+04    0.21055E-01    0.11790E-01   -0.34997E+00    0.21970E-06    0.17270E-02   -0.73969E-05
    23    0.21624E+04    0.22425E-01    0.12749E-01   -0.52260E+00    0.22132E-06    0.16003E-02   -0.69611E-05
    24    0.22263E+04    0.24170E-01    0.13726E-01   -0.69240E+00    0.22268E-06    0.14811E-02   -0.66262E-05
    25    0.22879E+04    0.26288E-01    0.14717E-01   -0.85582E+00    0.22380E-06    0.13693E-02   -0.63584E-05
    26    0.23471E+04    0.28722E-01    0.15720E-01   -0.10105E+01    0.22471E-06    0.12650E-02   -0.61357E-05
    27    0.24043E+04    0.31418E-01    0.16736E-01   -0.11542E+01    0.22543E-06    0.11678E-02   -0.60404E-05
    28    0.24596E+04    0.34340E-01    0.17767E-01   -0.12853E+01    0.22596E-06    0.10771E-02   -0.61418E-05
    29    0.25130E+04    0.37424E-01    0.18812E-01   -0.14097E+01    0.22632E-06    0.99198E-03   -0.63548E-05
    30    0.25645E+04    0.40621E-01    0.19870E-01   -0.15353E+01    0.22651E-06    0.91183E-03   -0.65561E-05
    31    0.26137E+04    0.43941E-01    0.20938E-01   -0.16648E+01    0.22655E-06    0.83611E-03   -0.66223E-05
    32    0.26607E+04    0.47390E-01    0.22014E-01   -0.17989E+01    0.22646E-06    0.76451E-03   -0.64729E-05
    33    0.27057E+04    0.50970E-01    0.23098E-01   -0.19360E+01    0.22624E-06    0.69732E-03   -0.61976E-05
    34    0.27486E+04    0.54697E-01    0.24189E-01   -0.20740E+01    0.22591E-06    0.63478E-03   -0.59192E-05
    35    0.27893E+04    0.58602E-01    0.25284E-01   -0.22145E+01    0.22548E-06    0.57637E-03   -0.57248E-05
    36    0.28279E+04    0.62724E-01    0.26380E-01   -0.23603E+01    0.22495E-06    0.52141E-03   -0.56561E-05
    37    0.28646E+04    0.67095E-01    0.27479E-01   -0.25097E+01    0.22432E-06    0.46935E-03   -0.56093E-05
    38    0.29000E+04    0.71736E-01    0.28582E-01   -0.26590E+01    0.22362E-06    0.41980E-03   -0.54784E-05
    39    0.29340E+04    0.76621E-01    0.29686E-01   -0.28090E+01    0.22284E-06    0.37303E-03   -0.52910E-05
    40    0.29662E+04    0.81720E-01    0.30788E-01   -0.29614E+01    0.22198E-06    0.32945E-03   -0.51077E-05
    41    0.29966E+04    0.87012E-01    0.31884E-01   -0.31184E+01    0.22106E-06    0.28932E-03   -0.49747E-05
    42    0.30251E+04    0.92504E-01    0.32974E-01   -0.32815E+01    0.22007E-06    0.25236E-03   -0.48797E-05
    43    0.30519E+04    0.98210E-01    0.34055E-01   -0.34519E+01    0.21903E-06    0.21816E-03   -0.47963E-05
