#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
     2    0.10877E+04   -0.46927E+01    0.29875E-02   -0.46927E+01    0.57788E-01   -0.70788E-05    0.29875E-02   -0.70788E-05    0.11753E-07
     3    0.81314E+03   -0.47631E+01    0.19890E-02   -0.47631E+01    0.91654E-01   -0.61200E-05    0.19890E-02   -0.61200E-05    0.73883E-08
     4    0.69645E+03   -0.43718E+01    0.14435E-02   -0.43718E+01    0.99949E-01   -0.47805E-05    0.14435E-02   -0.47805E-05    0.52307E-08
     5    0.65651E+03   -0.37913E+01    0.11001E-02   -0.37913E+01    0.85936E-01   -0.34617E-05    0.11001E-02   -0.34617E-05    0.39595E-08
     6    0.65982E+03   -0.31642E+01    0.86553E-03   -0.31642E+01    0.61472E-01   -0.23140E-05    0.86553E-03   -0.23140E-05    0.31280E-08
     7    0.69052E+03   -0.25816E+01    0.69755E-03   -0.25816E+01    0.37822E-01   -0.14031E-05    0.69755E-03   -0.14031E-05    0.25466E-08
     8    0.73786E+03   -0.20736E+01    0.57236E-03   -0.20736E+01    0.21029E-01   -0.73871E-06    0.57236E-03   -0.73871E-06    0.21203E-08
     9    0.79564E+03   -0.16402E+01    0.47582E-03   -0.16402E+01    0.11837E-01   -0.29970E-06    0.47582E-03   -0.29970E-06    0.17964E-08
    10    0.86108E+03   -0.12702E+01    0.39944E-03   -0.12702E+01    0.80217E-02   -0.55960E-07    0.39944E-03   -0.55960E-07    0.15431E-08
    11    0.93188E+03   -0.94708E+00    0.33832E-03   -0.94708E+00    0.68518E-02    0.28250E-07    0.33832E-03    0.28250E-07    0.13410E-08
    12    0.10046E+04   -0.65083E+00    0.28884E-03   -0.65083E+00    0.65796E-02   -0.13484E-09    0.28884E-03   -0.13484E-09    0.11762E-08
    13    0.10788E+04   -0.37333E+00    0.24846E-03   -0.37333E+00    0.64126E-02   -0.88431E-07    0.24846E-03   -0.88431E-07    0.10402E-08
    14    0.11551E+04   -0.11526E+00    0.21501E-03   -0.11526E+00    0.65076E-02   -0.19003E-06    0.21501E-03   -0.19003E-06    0.92625E-09
    15    0.12320E+04    0.10775E+00    0.18704E-03    0.10775E+00    0.69100E-02   -0.28591E-06    0.18704E-03   -0.28591E-06    0.82985E-09
    16    0.13075E+04    0.27916E+00    0.16339E-03    0.27916E+00    0.75585E-02   -0.36492E-06    0.16339E-03   -0.36492E-06    0.74741E-09
    17    0.13822E+04    0.39060E+00    0.14324E-03    0.39060E+00    0.82941E-02   -0.41990E-06    0.14324E-03   -0.41990E-06    0.67640E-09
