#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
     2    0.10885E+04   -0.46980E+01    0.29880E-02   -0.46980E+01    0.57788E-01   -0.70788E-05    0.29880E-02   -0.70788E-05    0.11753E-07
     3    0.81380E+03   -0.47691E+01    0.19892E-02   -0.47691E+01    0.91655E-01   -0.61200E-05    0.19892E-02   -0.61200E-05    0.73884E-08
     4    0.69707E+03   -0.43775E+01    0.14436E-02   -0.43775E+01    0.99950E-01   -0.47805E-05    0.14436E-02   -0.47805E-05    0.52308E-08
     5    0.65715E+03   -0.37965E+01    0.11002E-02   -0.37965E+01    0.85937E-01   -0.34617E-05    0.11002E-02   -0.34617E-05    0.39595E-08
     6    0.66048E+03   -0.31686E+01    0.86561E-03   -0.31686E+01    0.61474E-01   -0.23140E-05    0.86561E-03   -0.23140E-05    0.31280E-08
     7    0.69124E+03   -0.25854E+01    0.69761E-03   -0.25854E+01    0.37823E-01   -0.14031E-05    0.69761E-03   -0.14031E-05    0.25467E-08
     8    0.73863E+03   -0.20768E+01    0.57241E-03   -0.20768E+01    0.21030E-01   -0.73869E-06    0.57241E-03   -0.73869E-06    0.21203E-08
     9    0.79646E+03   -0.16428E+01    0.47587E-03   -0.16428E+01    0.11838E-01   -0.29967E-06    0.47587E-03   -0.29967E-06    0.17964E-08
    10    0.86195E+03   -0.12723E+01    0.39948E-03   -0.12723E+01    0.80224E-02   -0.55940E-07    0.39948E-03   -0.55940E-07    0.15432E-08
    11    0.93280E+03   -0.94867E+00    0.33836E-03   -0.94867E+00    0.68524E-02    0.28291E-07    0.33836E-03    0.28291E-07    0.13410E-08
    12    0.10056E+04   -0.65202E+00    0.28888E-03   -0.65202E+00    0.65801E-02   -0.48828E-10    0.28888E-03   -0.48828E-10    0.11762E-08
    13    0.10798E+04   -0.37419E+00    0.24849E-03   -0.37419E+00    0.64128E-02   -0.88313E-07    0.24849E-03   -0.88313E-07    0.10402E-08
    14    0.11562E+04   -0.11588E+00    0.21503E-03   -0.11588E+00    0.65072E-02   -0.18993E-06    0.21503E-03   -0.18993E-06    0.92627E-09
    15    0.12331E+04    0.10730E+00    0.18707E-03    0.10730E+00    0.69091E-02   -0.28584E-06    0.18707E-03   -0.28584E-06    0.82987E-09
