#    L    TT             EE             BB             TE          
     2   0.478424E+03   0.162415E-01   0.266095E-01   0.390874E+00
     3   0.385598E+03   0.201080E-01   0.298773E-01  -0.319255E+00
     4   0.361332E+03   0.206795E-01   0.285619E-01  -0.539383E+00
     5   0.351472E+03   0.183578E-01   0.244190E-01  -0.576994E+00
     6   0.347168E+03   0.145731E-01   0.192077E-01  -0.534993E+00
     7   0.345682E+03   0.106367E-01   0.142182E-01  -0.466293E+00
     8   0.345681E+03   0.742165E-02   0.101604E-01  -0.397812E+00
     9   0.346582E+03   0.525679E-02   0.726883E-02  -0.343083E+00
    10   0.347962E+03   0.412294E-02   0.547680E-02  -0.301505E+00
    11   0.349402E+03   0.378584E-02   0.458558E-02  -0.276333E+00
    12   0.350348E+03   0.398617E-02   0.436410E-02  -0.265883E+00
    13   0.350919E+03   0.448279E-02   0.458363E-02  -0.263975E+00
    14   0.351600E+03   0.514928E-02   0.508231E-02  -0.273668E+00
    15   0.352758E+03   0.590476E-02   0.574715E-02  -0.290083E+00
    16   0.354064E+03   0.670410E-02   0.650228E-02  -0.312978E+00
    17   0.355194E+03   0.753849E-02   0.731329E-02  -0.341614E+00
    18   0.355924E+03   0.840716E-02   0.815848E-02  -0.374631E+00
    19   0.356228E+03   0.931169E-02   0.903096E-02  -0.410871E+00
    20   0.356146E+03   0.102535E-01   0.992781E-02  -0.449501E+00
    21   0.355763E+03   0.112309E-01   0.108471E-01  -0.490805E+00
    22   0.355159E+03   0.122407E-01   0.117873E-01  -0.535150E+00
    23   0.354341E+03   0.132762E-01   0.127466E-01  -0.582130E+00
    24   0.353303E+03   0.143316E-01   0.137232E-01  -0.631201E+00
    25   0.352072E+03   0.154080E-01   0.147141E-01  -0.682046E+00
    26   0.350675E+03   0.165067E-01   0.157171E-01  -0.734367E+00
    27   0.349106E+03   0.176243E-01   0.167332E-01  -0.787721E+00
    28   0.347359E+03   0.187588E-01   0.177640E-01  -0.841825E+00
    29   0.345450E+03   0.199181E-01   0.188089E-01  -0.897194E+00
    30   0.343397E+03   0.211105E-01   0.198664E-01  -0.954294E+00
    31   0.341200E+03   0.223338E-01   0.209343E-01  -0.101260E+01
    32   0.338858E+03   0.235815E-01   0.220105E-01  -0.107148E+01
    33   0.336375E+03   0.248405E-01   0.230943E-01  -0.113072E+01
    34   0.333760E+03   0.261004E-01   0.241848E-01  -0.119025E+01
    35   0.331026E+03   0.273692E-01   0.252793E-01  -0.124990E+01
    36   0.328184E+03   0.286575E-01   0.263754E-01  -0.130952E+01
    37   0.325230E+03   0.299668E-01   0.274744E-01  -0.136895E+01
    38   0.322160E+03   0.312957E-01   0.285772E-01  -0.142808E+01
    39   0.318980E+03   0.326405E-01   0.296812E-01  -0.148680E+01
    40   0.315699E+03   0.339963E-01   0.307829E-01  -0.154499E+01
    41   0.312326E+03   0.353593E-01   0.318789E-01  -0.160255E+01
    42   0.308865E+03   0.367279E-01   0.329680E-01  -0.165940E+01
    43   0.305321E+03   0.381010E-01   0.340491E-01  -0.171546E+01
    44   0.301695E+03   0.394779E-01   0.351212E-01  -0.177067E+01
    45   0.297993E+03   0.408576E-01   0.361833E-01  -0.182493E+01
    46   0.294218E+03   0.422392E-01   0.372343E-01  -0.187816E+01
    47   0.290374E+03   0.436215E-01   0.382728E-01  -0.193025E+01
    48   0.286464E+03   0.450035E-01   0.392973E-01  -0.198108E+01
    49   0.282494E+03   0.463841E-01   0.403062E-01  -0.203050E+01
    50   0.278467E+03   0.477623E-01   0.412980E-01  -0.207841E+01
    51   0.274387E+03   0.491369E-01   0.422713E-01  -0.212468E+01
    52   0.270259E+03   0.505063E-01   0.432251E-01  -0.216929E+01
    53   0.266086E+03   0.518685E-01   0.441588E-01  -0.221222E+01
    54   0.261874E+03   0.532219E-01   0.450715E-01  -0.225345E+01
    55   0.257626E+03   0.545648E-01   0.459624E-01  -0.229298E+01
    56   0.253347E+03   0.558953E-01   0.468307E-01  -0.233076E+01
    57   0.249041E+03   0.572126E-01   0.476755E-01  -0.236674E+01
    58   0.244710E+03   0.585158E-01   0.484958E-01  -0.240082E+01
    59   0.240357E+03   0.598038E-01   0.492909E-01  -0.243294E+01
    60   0.235987E+03   0.610760E-01   0.500596E-01  -0.246300E+01
    61   0.231602E+03   0.623314E-01   0.508012E-01  -0.249095E+01
    62   0.227205E+03   0.635696E-01   0.515152E-01  -0.251681E+01
    63   0.222800E+03   0.647900E-01   0.522011E-01  -0.254063E+01
    64   0.218391E+03   0.659924E-01   0.528584E-01  -0.256245E+01
    65   0.213979E+03   0.671761E-01   0.534868E-01  -0.258231E+01
    66   0.209568E+03   0.683404E-01   0.540858E-01  -0.260023E+01
    67   0.205163E+03   0.694830E-01   0.546550E-01  -0.261617E+01
    68   0.200767E+03   0.706010E-01   0.551938E-01  -0.263003E+01
    69   0.196382E+03   0.716919E-01   0.557018E-01  -0.264173E+01
    70   0.192013E+03   0.727527E-01   0.561786E-01  -0.265120E+01
    71   0.187664E+03   0.737818E-01   0.566237E-01  -0.265838E+01
    72   0.183336E+03   0.747805E-01   0.570372E-01  -0.266339E+01
    73   0.179030E+03   0.757514E-01   0.574191E-01  -0.266636E+01
    74   0.174749E+03   0.766969E-01   0.577695E-01  -0.266744E+01
    75   0.170494E+03   0.776193E-01   0.580885E-01  -0.266676E+01
    76   0.166266E+03   0.785200E-01   0.583761E-01  -0.266443E+01
    77   0.162070E+03   0.793961E-01   0.586325E-01  -0.266040E+01
    78   0.157908E+03   0.802437E-01   0.588578E-01  -0.265460E+01
    79   0.153782E+03   0.810589E-01   0.590520E-01  -0.264693E+01
    80   0.149696E+03   0.818377E-01   0.592154E-01  -0.263733E+01
    81   0.145653E+03   0.825770E-01   0.593480E-01  -0.262573E+01
    82   0.141654E+03   0.832772E-01   0.594499E-01  -0.261220E+01
    83   0.137700E+03   0.839395E-01   0.595210E-01  -0.259684E+01
    84   0.133793E+03   0.845651E-01   0.595615E-01  -0.257974E+01
    85   0.129934E+03   0.851553E-01   0.595713E-01  -0.256101E+01
    86   0.126123E+03   0.857108E-01   0.595505E-01  -0.254072E+01
    87   0.122364E+03   0.862312E-01   0.594995E-01  -0.251893E+01
    88   0.118658E+03   0.867155E-01   0.594188E-01  -0.249568E+01
    89   0.115007E+03   0.871627E-01   0.593089E-01  -0.247100E+01
    90   0.111413E+03   0.875720E-01   0.591701E-01  -0.244494E+01
    91   0.107878E+03   0.879426E-01   0.590030E-01  -0.241753E+01
    92   0.104403E+03   0.882745E-01   0.588083E-01  -0.238883E+01
    93   0.100988E+03   0.885682E-01   0.585867E-01  -0.235889E+01
    94   0.976341E+02   0.888238E-01   0.583388E-01  -0.232778E+01
    95   0.943408E+02   0.890416E-01   0.580654E-01  -0.229553E+01
    96   0.911089E+02   0.892219E-01   0.577671E-01  -0.226221E+01
    97   0.879388E+02   0.893649E-01   0.574446E-01  -0.222788E+01
    98   0.848310E+02   0.894710E-01   0.570987E-01  -0.219259E+01
