#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.965945E-05   0.208848E+08   0.208848E+08   0.278318E+08   0.278314E+08   0.208849E+08   0.208849E+08   0.208848E+08   0.208918E+08  -0.451475E+00   0.996766E+07   0.996766E+07   0.684100E+01
   0.106736E-04   0.208849E+08   0.208848E+08   0.278286E+08   0.278280E+08   0.208849E+08   0.208849E+08   0.208849E+08   0.208918E+08  -0.451475E+00   0.996766E+07   0.996766E+07   0.755900E+01
   0.117942E-04   0.208849E+08   0.208849E+08   0.278246E+08   0.278240E+08   0.208850E+08   0.208849E+08   0.208849E+08   0.208918E+08  -0.451476E+00   0.996767E+07   0.996767E+07   0.835229E+01
   0.130324E-04   0.208849E+08   0.208849E+08   0.278198E+08   0.278190E+08   0.208850E+08   0.208849E+08   0.208849E+08   0.208918E+08  -0.451476E+00   0.996768E+07   0.996768E+07   0.922876E+01
   0.144007E-04   0.208849E+08   0.208849E+08   0.278139E+08   0.278129E+08   0.208850E+08   0.208849E+08   0.208849E+08   0.208918E+08  -0.451477E+00   0.996769E+07   0.996769E+07   0.101971E+02
   0.159126E-04   0.208849E+08   0.208849E+08   0.278068E+08   0.278055E+08   0.208850E+08   0.208849E+08   0.208849E+08   0.208918E+08  -0.451478E+00   0.996770E+07   0.996770E+07   0.112669E+02
   0.175832E-04   0.208849E+08   0.208849E+08   0.277980E+08   0.277965E+08   0.208850E+08   0.208849E+08   0.208849E+08   0.208918E+08  -0.451479E+00   0.996772E+07   0.996772E+07   0.124488E+02
   0.194293E-04   0.208849E+08   0.208849E+08   0.277873E+08   0.277855E+08   0.208850E+08   0.208849E+08   0.208849E+08   0.208918E+08  -0.451481E+00   0.996774E+07   0.996773E+07   0.137544E+02
   0.214691E-04   0.208849E+08   0.208849E+08   0.277742E+08   0.277720E+08   0.208850E+08   0.208849E+08   0.208849E+08   0.208919E+08  -0.451483E+00   0.996776E+07   0.996776E+07   0.151965E+02
   0.237231E-04   0.208849E+08   0.208849E+08   0.277583E+08   0.277556E+08   0.208850E+08   0.208849E+08   0.208849E+08   0.208919E+08  -0.451485E+00   0.996779E+07   0.996778E+07   0.167894E+02
   0.262138E-04   0.208849E+08   0.208849E+08   0.277388E+08   0.277355E+08   0.208850E+08   0.208850E+08   0.208849E+08   0.208919E+08  -0.451488E+00   0.996782E+07   0.996782E+07   0.185487E+02
   0.289659E-04   0.208850E+08   0.208850E+08   0.277151E+08   0.277111E+08   0.208851E+08   0.208850E+08   0.208850E+08   0.208919E+08  -0.451491E+00   0.996786E+07   0.996786E+07   0.204915E+02
   0.320070E-04   0.208850E+08   0.208850E+08   0.276862E+08   0.276813E+08   0.208851E+08   0.208850E+08   0.208850E+08   0.208919E+08  -0.451495E+00   0.996791E+07   0.996791E+07   0.226366E+02
   0.353674E-04   0.208850E+08   0.208850E+08   0.276509E+08   0.276449E+08   0.208851E+08   0.208850E+08   0.208850E+08   0.208920E+08  -0.451500E+00   0.996798E+07   0.996797E+07   0.250048E+02
   0.390806E-04   0.208851E+08   0.208851E+08   0.276078E+08   0.276005E+08   0.208852E+08   0.208851E+08   0.208851E+08   0.208920E+08  -0.451506E+00   0.996805E+07   0.996805E+07   0.276186E+02
   0.431836E-04   0.208851E+08   0.208851E+08   0.275553E+08   0.275464E+08   0.208852E+08   0.208851E+08   0.208851E+08   0.208920E+08  -0.451513E+00   0.996815E+07   0.996814E+07   0.305030E+02
   0.477173E-04   0.208852E+08   0.208852E+08   0.274914E+08   0.274805E+08   0.208853E+08   0.208852E+08   0.208852E+08   0.208921E+08  -0.451522E+00   0.996826E+07   0.996826E+07   0.336848E+02
   0.527271E-04   0.208853E+08   0.208853E+08   0.274135E+08   0.274002E+08   0.208854E+08   0.208853E+08   0.208853E+08   0.208921E+08  -0.451533E+00   0.996840E+07   0.996839E+07   0.371935E+02
   0.582628E-04   0.208854E+08   0.208854E+08   0.273186E+08   0.273025E+08   0.208855E+08   0.208854E+08   0.208854E+08   0.208922E+08  -0.451547E+00   0.996857E+07   0.996856E+07   0.410609E+02
   0.643797E-04   0.208855E+08   0.208855E+08   0.272032E+08   0.271836E+08   0.208856E+08   0.208855E+08   0.208855E+08   0.208923E+08  -0.451563E+00   0.996878E+07   0.996877E+07   0.453214E+02
   0.711389E-04   0.208857E+08   0.208856E+08   0.270629E+08   0.270390E+08   0.208857E+08   0.208857E+08   0.208857E+08   0.208924E+08  -0.451583E+00   0.996903E+07   0.996902E+07   0.500116E+02
   0.786076E-04   0.208858E+08   0.208858E+08   0.268924E+08   0.268635E+08   0.208859E+08   0.208858E+08   0.208858E+08   0.208926E+08  -0.451607E+00   0.996934E+07   0.996933E+07   0.551707E+02
   0.868605E-04   0.208861E+08   0.208860E+08   0.266857E+08   0.266505E+08   0.208861E+08   0.208861E+08   0.208861E+08   0.208927E+08  -0.451637E+00   0.996972E+07   0.996970E+07   0.608398E+02
