#    L    TT             EE             BB             TE          
     2    0.16408E+04    0.68607E-01    0.24764E-01    0.37281E+01
     3    0.14708E+04    0.10654E+00    0.28549E-01    0.38546E+01
     4    0.13754E+04    0.11863E+00    0.28028E-01    0.37395E+01
     5    0.13097E+04    0.10613E+00    0.24629E-01    0.33825E+01
     6    0.12641E+04    0.80319E-01    0.19920E-01    0.29125E+01
     7    0.12333E+04    0.53264E-01    0.15151E-01    0.24192E+01
     8    0.12128E+04    0.32534E-01    0.11086E-01    0.19587E+01
     9    0.12002E+04    0.20166E-01    0.80411E-02    0.15610E+01
    10    0.11934E+04    0.14485E-01    0.60331E-02    0.12479E+01
    11    0.11906E+04    0.12550E-01    0.49195E-02    0.10242E+01
    12    0.11914E+04    0.12004E-01    0.45009E-02    0.89006E+00
    13    0.11942E+04    0.11616E-01    0.45789E-02    0.82677E+00
    14    0.11984E+04    0.11281E-01    0.49738E-02    0.81092E+00
    15    0.12044E+04    0.11210E-01    0.55717E-02    0.82719E+00
    16    0.12126E+04    0.11600E-01    0.62856E-02    0.86296E+00
    17    0.12226E+04    0.12480E-01    0.70699E-02    0.90482E+00
    18    0.12329E+04    0.13639E-01    0.78945E-02    0.94229E+00
    19    0.12445E+04    0.14917E-01    0.87492E-02    0.97053E+00
    20    0.12557E+04    0.16256E-01    0.96291E-02    0.98487E+00
    21    0.12669E+04    0.17676E-01    0.10532E-01    0.98996E+00
    22    0.12784E+04    0.19296E-01    0.11457E-01    0.99049E+00
    23    0.12902E+04    0.21180E-01    0.12401E-01    0.98695E+00
    24    0.13022E+04    0.23336E-01    0.13363E-01    0.97935E+00
    25    0.13145E+04    0.25774E-01    0.14342E-01    0.97007E+00
    26    0.13267E+04    0.28461E-01    0.15333E-01    0.96266E+00
    27    0.13392E+04    0.31348E-01    0.16337E-01    0.95590E+00
    28    0.13519E+04    0.34422E-01    0.17356E-01    0.94846E+00
    29    0.13647E+04    0.37703E-01    0.18389E-01    0.93814E+00
    30    0.13776E+04    0.41218E-01    0.19435E-01    0.92127E+00
    31    0.13906E+04    0.44950E-01    0.20493E-01    0.89534E+00
    32    0.14037E+04    0.48869E-01    0.21561E-01    0.85840E+00
    33    0.14171E+04    0.52976E-01    0.22639E-01    0.80981E+00
