#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
     2    0.11565E+04    0.33117E+01    0.12156E-02    0.33117E+01    0.52265E-01   -0.64134E-05    0.12156E-02   -0.64134E-05    0.63706E-08
     3    0.10894E+04    0.40697E+01    0.86263E-03    0.40697E+01    0.86052E-01   -0.55197E-05    0.86263E-03   -0.55197E-05    0.37452E-08
     4    0.10244E+04    0.41446E+01    0.65977E-03    0.41446E+01    0.97758E-01   -0.42803E-05    0.65977E-03   -0.42803E-05    0.25209E-08
     5    0.97380E+03    0.38456E+01    0.52853E-03    0.38456E+01    0.87857E-01   -0.30512E-05    0.52853E-03   -0.30512E-05    0.18316E-08
     6    0.93710E+03    0.34004E+01    0.43716E-03    0.34004E+01    0.65970E-01   -0.19582E-05    0.43716E-03   -0.19582E-05    0.13981E-08
     7    0.91197E+03    0.29395E+01    0.37034E-03    0.29395E+01    0.42841E-01   -0.10598E-05    0.37034E-03   -0.10598E-05    0.11053E-08
     8    0.89519E+03    0.25275E+01    0.31921E-03    0.25275E+01    0.25350E-01   -0.37881E-06    0.31921E-03   -0.37881E-06    0.89704E-09
     9    0.88441E+03    0.21849E+01    0.27860E-03    0.21849E+01    0.15366E-01    0.90222E-07    0.27860E-03    0.90222E-07    0.74311E-09
    10    0.87837E+03    0.19146E+01    0.24567E-03    0.19146E+01    0.11257E-01    0.37505E-06    0.24567E-03    0.37505E-06    0.62575E-09
    11    0.87616E+03    0.17107E+01    0.21889E-03    0.17107E+01    0.10155E-01    0.51373E-06    0.21889E-03    0.51373E-06    0.53418E-09
    12    0.87807E+03    0.15658E+01    0.19689E-03    0.15658E+01    0.97452E-02    0.54153E-06    0.19689E-03    0.54153E-06    0.46105E-09
    13    0.88211E+03    0.14646E+01    0.17857E-03    0.14646E+01    0.88735E-02    0.49191E-06    0.17857E-03    0.49191E-06    0.40189E-09
    14    0.88710E+03    0.13912E+01    0.16294E-03    0.13912E+01    0.75421E-02    0.39784E-06    0.16294E-03    0.39784E-06    0.35316E-09
    15    0.89331E+03    0.13434E+01    0.14940E-03    0.13434E+01    0.61720E-02    0.29098E-06    0.14940E-03    0.29098E-06    0.31260E-09
    16    0.90116E+03    0.13228E+01    0.13747E-03    0.13228E+01    0.51784E-02    0.19787E-06    0.13747E-03    0.19787E-06    0.27842E-09
    17    0.91059E+03    0.13268E+01    0.12696E-03    0.13268E+01    0.47558E-02    0.12597E-06    0.12696E-03    0.12597E-06    0.24941E-09
    18    0.92065E+03    0.13534E+01    0.11774E-03    0.13534E+01    0.48158E-02    0.77062E-07    0.11774E-03    0.77062E-07    0.22453E-09
    19    0.93213E+03    0.14000E+01    0.10956E-03    0.14000E+01    0.52064E-02    0.49403E-07    0.10956E-03    0.49403E-07    0.20305E-09
    20    0.94332E+03    0.14610E+01    0.10221E-03    0.14610E+01    0.58350E-02    0.40419E-07    0.10221E-03    0.40419E-07    0.18436E-09
    21    0.95461E+03    0.15350E+01    0.95574E-04    0.15350E+01    0.66422E-02    0.47730E-07    0.95574E-04    0.47730E-07    0.16801E-09
    22    0.96633E+03    0.16191E+01    0.89567E-04    0.16191E+01    0.76597E-02    0.67648E-07    0.89567E-04    0.67648E-07    0.15363E-09
    23    0.97833E+03    0.17047E+01    0.84126E-04    0.17047E+01    0.88909E-02    0.91049E-07    0.84126E-04    0.91049E-07    0.14092E-09
    24    0.99069E+03    0.17833E+01    0.79190E-04    0.17833E+01    0.10295E-01    0.10904E-06    0.79190E-04    0.10904E-06    0.12963E-09
    25    0.10034E+04    0.18523E+01    0.74697E-04    0.18523E+01    0.11852E-01    0.11909E-06    0.74697E-04    0.11909E-06    0.11956E-09
    26    0.10162E+04    0.19114E+01    0.70587E-04    0.19114E+01    0.13513E-01    0.12101E-06    0.70587E-04    0.12101E-06    0.11054E-09
    27    0.10295E+04    0.19580E+01    0.66817E-04    0.19580E+01    0.15256E-01    0.11763E-06    0.66817E-04    0.11763E-06    0.10244E-09
    28    0.10431E+04    0.19910E+01    0.63349E-04    0.19910E+01    0.17099E-01    0.11176E-06    0.63349E-04    0.11176E-06    0.95133E-10
    29    0.10570E+04    0.20128E+01    0.60158E-04    0.20128E+01    0.19088E-01    0.10327E-06    0.60158E-04    0.10327E-06    0.88522E-10
    30    0.10712E+04    0.20254E+01    0.57221E-04    0.20254E+01    0.21275E-01    0.91697E-07    0.57221E-04    0.91697E-07    0.82517E-10
    31    0.10855E+04    0.20303E+01    0.54502E-04    0.20303E+01    0.23684E-01    0.78313E-07    0.54502E-04    0.78313E-07    0.77052E-10
    32    0.11001E+04    0.20291E+01    0.51966E-04    0.20291E+01    0.26323E-01    0.65013E-07    0.51966E-04    0.65013E-07    0.72068E-10
    33    0.11152E+04    0.20230E+01    0.49595E-04    0.20230E+01    0.29213E-01    0.54489E-07    0.49595E-04    0.54489E-07    0.67513E-10
    34    0.11304E+04    0.20136E+01    0.47373E-04    0.20136E+01    0.32378E-01    0.48915E-07    0.47373E-04    0.48915E-07    0.63337E-10
    35    0.11457E+04    0.20029E+01    0.45293E-04    0.20029E+01    0.35802E-01    0.47596E-07    0.45293E-04    0.47596E-07    0.59503E-10
    36    0.11612E+04    0.19905E+01    0.43349E-04    0.19905E+01    0.39467E-01    0.48935E-07    0.43349E-04    0.48935E-07    0.55974E-10
    37    0.11769E+04    0.19700E+01    0.41537E-04    0.19700E+01    0.43362E-01    0.50602E-07    0.41537E-04    0.50602E-07    0.52720E-10
    38    0.11930E+04    0.19371E+01    0.39850E-04    0.19371E+01    0.47485E-01    0.50673E-07    0.39850E-04    0.50673E-07    0.49714E-10
    39    0.12095E+04    0.18929E+01    0.38275E-04    0.18929E+01    0.51834E-01    0.49597E-07    0.38275E-04    0.49597E-07    0.46933E-10
    40    0.12262E+04    0.18395E+01    0.36792E-04    0.18395E+01    0.56414E-01    0.48414E-07    0.36792E-04    0.48414E-07    0.44355E-10
    41    0.12432E+04    0.17782E+01    0.35389E-04    0.17782E+01    0.61234E-01    0.47893E-07    0.35389E-04    0.47893E-07    0.41959E-10
    42    0.12602E+04    0.17070E+01    0.34058E-04    0.17070E+01    0.66303E-01    0.47732E-07    0.34058E-04    0.47732E-07    0.39732E-10
    43    0.12775E+04    0.16231E+01    0.32797E-04    0.16231E+01    0.71632E-01    0.47358E-07    0.32797E-04    0.47358E-07    0.37659E-10
    44    0.12947E+04    0.15247E+01    0.31603E-04    0.15247E+01    0.77215E-01    0.46199E-07    0.31603E-04    0.46199E-07    0.35727E-10
    45    0.13124E+04    0.14099E+01    0.30473E-04    0.14099E+01    0.83056E-01    0.43683E-07    0.30473E-04    0.43683E-07    0.33925E-10
    46    0.13304E+04    0.12760E+01    0.29403E-04    0.12760E+01    0.89163E-01    0.39459E-07    0.29403E-04    0.39459E-07    0.32238E-10
    47    0.13486E+04    0.11254E+01    0.28388E-04    0.11254E+01    0.95536E-01    0.34069E-07    0.28388E-04    0.34069E-07    0.30659E-10
