#    L    TxT            TxE            TxP            TxW1           TxW2           ExT            ExE            ExP            ExW1           ExW2           PxT            PxE            PxP            PxW1           PxW2           W1xT           W1xE           W1xP           W1xW1          W1xW2          W2xT           W2xE           W2xP           W2xW1          W2xW2       
     2   0.113934E+04   0.336565E+01   0.331690E-02   0.345048E-01   0.135428E-02   0.336565E+01   0.531138E-01  -0.160557E-04   0.215411E-05  -0.425439E-06   0.331690E-02  -0.160557E-04   0.448709E-07   0.285676E-06   0.203815E-07   0.345048E-01   0.215411E-05   0.285676E-06   0.109382E-04   0.108175E-06   0.135428E-02  -0.425439E-06   0.203815E-07   0.108175E-06   0.149814E-07
     3   0.106674E+04   0.418531E+01   0.333982E-02   0.414016E-01   0.150983E-02   0.418531E+01   0.865843E-01  -0.195837E-04   0.920095E-05  -0.557464E-07   0.333982E-02  -0.195837E-04   0.538855E-07   0.470935E-06   0.294745E-07   0.414016E-01   0.920095E-05   0.470935E-06   0.216455E-04   0.232576E-06   0.150983E-02  -0.557464E-07   0.294745E-07   0.232576E-06   0.294160E-07
     4   0.996658E+03   0.429533E+01   0.329289E-02   0.461279E-01   0.160355E-02   0.429533E+01   0.974093E-01  -0.196735E-04   0.102663E-04   0.122777E-06   0.329289E-02  -0.196735E-04   0.615347E-07   0.685284E-06   0.383884E-07   0.461279E-01   0.102663E-04   0.685284E-06   0.360622E-04   0.414487E-06   0.160355E-02   0.122777E-06   0.383884E-07   0.414487E-06   0.475933E-07
     5   0.941462E+03   0.398396E+01   0.321493E-02   0.501479E-01   0.166259E-02   0.398396E+01   0.866096E-01  -0.172982E-04   0.960350E-05   0.170193E-06   0.321493E-02  -0.172982E-04   0.680824E-07   0.922084E-06   0.468984E-07   0.501479E-01   0.960350E-05   0.922084E-06   0.544071E-04   0.655725E-06   0.166259E-02   0.170193E-06   0.468984E-07   0.655725E-06   0.686996E-07
     6   0.900674E+03   0.347701E+01   0.312564E-02   0.539363E-01   0.169661E-02   0.347701E+01   0.642442E-01  -0.133431E-04   0.921622E-05   0.186225E-06   0.312564E-02  -0.133431E-04   0.737134E-07   0.117479E-05   0.548458E-07   0.539363E-01   0.921622E-05   0.117479E-05   0.768572E-04   0.955067E-06   0.169661E-02   0.186225E-06   0.548458E-07   0.955067E-06   0.919502E-07
     7   0.871856E+03   0.291571E+01   0.303452E-02   0.575203E-01   0.171293E-02   0.291571E+01   0.411017E-01  -0.867881E-05   0.113778E-04   0.203513E-06   0.303452E-02  -0.867881E-05   0.786019E-07   0.143776E-05   0.621963E-07   0.575203E-01   0.113778E-04   0.143776E-05   0.103526E-03   0.131028E-05   0.171293E-02   0.203513E-06   0.621963E-07   0.131028E-05   0.116739E-06
     8   0.851905E+03   0.238454E+01   0.294214E-02   0.608264E-01   0.171647E-02   0.238454E+01   0.238150E-01  -0.410499E-05   0.122070E-04   0.202091E-06   0.294214E-02  -0.410499E-05   0.828718E-07   0.170657E-05   0.689336E-07   0.608264E-01   0.122070E-04   0.170657E-05   0.134413E-03   0.171870E-05   0.171647E-02   0.202091E-06   0.689336E-07   0.171870E-05   0.142547E-06
     9   0.838729E+03   0.192677E+01   0.284812E-02   0.636860E-01   0.171004E-02   0.192677E+01   0.139692E-01  -0.244732E-06   0.981327E-05   0.170960E-06   0.284812E-02  -0.244732E-06   0.866240E-07   0.197772E-05   0.750709E-07   0.636860E-01   0.981327E-05   0.197772E-05   0.169510E-03   0.217709E-05   0.171004E-02   0.170960E-06   0.750709E-07   0.217709E-05   0.168967E-06
    10   0.830918E+03   0.156569E+01   0.275481E-02   0.659608E-01   0.169494E-02   0.156569E+01   0.980200E-02   0.255926E-05   0.816236E-05   0.144882E-06   0.275481E-02   0.255926E-05   0.899210E-07   0.224752E-05   0.806237E-07   0.659608E-01   0.816236E-05   0.224752E-05   0.208625E-03   0.268089E-05   0.169494E-02   0.144882E-06   0.806237E-07   0.268089E-05   0.195660E-06
    11   0.827063E+03   0.130890E+01   0.266771E-02   0.677125E-01   0.167324E-02   0.130890E+01   0.852055E-02   0.422275E-05   0.882191E-05   0.149316E-06   0.266771E-02   0.422275E-05   0.928455E-07   0.251424E-05   0.856389E-07   0.677125E-01   0.882191E-05   0.251424E-05   0.251641E-03   0.322667E-05   0.167324E-02   0.149316E-06   0.856389E-07   0.322667E-05   0.222402E-06
