#    L    TT             EE             BB             TE          
     2    0.49370E+03    0.15471E-01    0.24474E-01    0.31576E+00
     3    0.39395E+03    0.20021E-01    0.28389E-01   -0.39699E+00
     4    0.36790E+03    0.21460E-01    0.28046E-01   -0.62927E+00
     5    0.35708E+03    0.19901E-01    0.24804E-01   -0.67532E+00
     6    0.35204E+03    0.16542E-01    0.20194E-01   -0.63342E+00
     7    0.34997E+03    0.12632E-01    0.15459E-01   -0.55714E+00
     8    0.34943E+03    0.91214E-02    0.11376E-01   -0.47754E+00
     9    0.34987E+03    0.64995E-02    0.82828E-02   -0.40875E+00
    10    0.35090E+03    0.48818E-02    0.62139E-02   -0.35368E+00
    11    0.35203E+03    0.41444E-02    0.50408E-02   -0.31485E+00
    12    0.35270E+03    0.40528E-02    0.45732E-02   -0.29139E+00
    13    0.35318E+03    0.43885E-02    0.46149E-02   -0.28118E+00
    14    0.35383E+03    0.49631E-02    0.49861E-02   -0.28210E+00
    15    0.35479E+03    0.56715E-02    0.55704E-02   -0.29224E+00
    16    0.35603E+03    0.64418E-02    0.62777E-02   -0.30989E+00
    17    0.35720E+03    0.72526E-02    0.70597E-02   -0.33382E+00
    18    0.35795E+03    0.80968E-02    0.78840E-02   -0.36291E+00
    19    0.35827E+03    0.89746E-02    0.87391E-02   -0.39581E+00
    20    0.35824E+03    0.98879E-02    0.96194E-02   -0.43145E+00
    21    0.35792E+03    0.10837E-01    0.10522E-01   -0.46998E+00
    22    0.35739E+03    0.11819E-01    0.11446E-01   -0.51167E+00
    23    0.35665E+03    0.12830E-01    0.12389E-01   -0.55613E+00
    24    0.35571E+03    0.13865E-01    0.13350E-01   -0.60285E+00
    25    0.35458E+03    0.14921E-01    0.14326E-01   -0.65155E+00
    26    0.35330E+03    0.15998E-01    0.15314E-01   -0.70196E+00
    27    0.35185E+03    0.17090E-01    0.16315E-01   -0.75349E+00
    28    0.35025E+03    0.18196E-01    0.17330E-01   -0.80575E+00
    29    0.34849E+03    0.19325E-01    0.18359E-01   -0.85928E+00
    30    0.34658E+03    0.20488E-01    0.19400E-01   -0.91462E+00
