#    L    TT             EE             BB             TE          
     2    0.16408E+04    0.68606E-01    0.24763E-01    0.37281E+01
     3    0.14708E+04    0.10654E+00    0.28547E-01    0.38546E+01
     4    0.13754E+04    0.11863E+00    0.28025E-01    0.37395E+01
     5    0.13097E+04    0.10612E+00    0.24625E-01    0.33825E+01
     6    0.12641E+04    0.80312E-01    0.19913E-01    0.29125E+01
     7    0.12333E+04    0.53255E-01    0.15143E-01    0.24192E+01
     8    0.12128E+04    0.32523E-01    0.11075E-01    0.19587E+01
     9    0.12001E+04    0.20152E-01    0.80274E-02    0.15610E+01
    10    0.11933E+04    0.14468E-01    0.60163E-02    0.12479E+01
    11    0.11905E+04    0.12530E-01    0.48993E-02    0.10242E+01
    12    0.11913E+04    0.11980E-01    0.44770E-02    0.89008E+00
    13    0.11941E+04    0.11588E-01    0.45510E-02    0.82679E+00
    14    0.11983E+04    0.11248E-01    0.49416E-02    0.81094E+00
    15    0.12043E+04    0.11173E-01    0.55349E-02    0.82723E+00
    16    0.12125E+04    0.11558E-01    0.62438E-02    0.86300E+00
    17    0.12225E+04    0.12433E-01    0.70228E-02    0.90487E+00
    18    0.12328E+04    0.13586E-01    0.78418E-02    0.94235E+00
    19    0.12444E+04    0.14858E-01    0.86906E-02    0.97061E+00
    20    0.12555E+04    0.16191E-01    0.95643E-02    0.98497E+00
    21    0.12667E+04    0.17605E-01    0.10461E-01    0.99007E+00
    22    0.12783E+04    0.19218E-01    0.11378E-01    0.99063E+00
    23    0.12900E+04    0.21094E-01    0.12315E-01    0.98711E+00
    24    0.13020E+04    0.23243E-01    0.13270E-01    0.97954E+00
    25    0.13142E+04    0.25673E-01    0.14241E-01    0.97028E+00
    26    0.13265E+04    0.28352E-01    0.15224E-01    0.96290E+00
    27    0.13390E+04    0.31231E-01    0.16220E-01    0.95618E+00
    28    0.13516E+04    0.34296E-01    0.17230E-01    0.94878E+00
    29    0.13644E+04    0.37567E-01    0.18254E-01    0.93851E+00
    30    0.13773E+04    0.41073E-01    0.19290E-01    0.92168E+00
    31    0.13903E+04    0.44796E-01    0.20338E-01    0.89579E+00
    32    0.14034E+04    0.48704E-01    0.21396E-01    0.85891E+00
    33    0.14168E+04    0.52801E-01    0.22463E-01    0.81037E+00
    34    0.14302E+04    0.57108E-01    0.23539E-01    0.75115E+00
    35    0.14436E+04    0.61638E-01    0.24619E-01    0.68449E+00
    36    0.14570E+04    0.66409E-01    0.25702E-01    0.61154E+00
    37    0.14705E+04    0.71422E-01    0.26788E-01    0.52673E+00
    38    0.14842E+04    0.76682E-01    0.27881E-01    0.42670E+00
    39    0.14983E+04    0.82198E-01    0.28976E-01    0.31486E+00
    40    0.15124E+04    0.87983E-01    0.30072E-01    0.19606E+00
    41    0.15266E+04    0.94053E-01    0.31165E-01    0.73613E-01
    42    0.15407E+04    0.10041E+00    0.32253E-01   -0.54649E-01
    43    0.15548E+04    0.10704E+00    0.33335E-01   -0.19224E+00
    44    0.15689E+04    0.11395E+00    0.34411E-01   -0.34180E+00
    45    0.15832E+04    0.12111E+00    0.35479E-01   -0.50586E+00
    46    0.15978E+04    0.12853E+00    0.36538E-01   -0.68799E+00
    47    0.16124E+04    0.13620E+00    0.37588E-01   -0.88584E+00
    48    0.16270E+04    0.14413E+00    0.38625E-01   -0.10930E+01
    49    0.16417E+04    0.15232E+00    0.39650E-01   -0.13035E+01
    50    0.16568E+04    0.16073E+00    0.40660E-01   -0.15183E+01
    51    0.16720E+04    0.16934E+00    0.41655E-01   -0.17404E+01
    52    0.16874E+04    0.17824E+00    0.42632E-01   -0.19752E+01
    53    0.17029E+04    0.18756E+00    0.43593E-01   -0.22270E+01
    54    0.17183E+04    0.19729E+00    0.44534E-01   -0.24921E+01
    55    0.17337E+04    0.20741E+00    0.45457E-01   -0.27666E+01
    56    0.17495E+04    0.21777E+00    0.46359E-01   -0.30528E+01
    57    0.17656E+04    0.22826E+00    0.47241E-01   -0.33501E+01
    58    0.17820E+04    0.23889E+00    0.48101E-01   -0.36586E+01
    59    0.17984E+04    0.24971E+00    0.48937E-01   -0.39787E+01
    60    0.18150E+04    0.26076E+00    0.49750E-01   -0.43090E+01
    61    0.18321E+04    0.27215E+00    0.50538E-01   -0.46483E+01
    62    0.18489E+04    0.28386E+00    0.51301E-01   -0.49978E+01
    63    0.18659E+04    0.29584E+00    0.52037E-01   -0.53588E+01
    64    0.18832E+04    0.30810E+00    0.52748E-01   -0.57332E+01
    65    0.19006E+04    0.32060E+00    0.53432E-01   -0.61219E+01
    66    0.19183E+04    0.33329E+00    0.54089E-01   -0.65233E+01
    67    0.19362E+04    0.34615E+00    0.54718E-01   -0.69345E+01
    68    0.19545E+04    0.35923E+00    0.55319E-01   -0.73535E+01
    69    0.19730E+04    0.37249E+00    0.55891E-01   -0.77781E+01
    70    0.19918E+04    0.38598E+00    0.56434E-01   -0.82096E+01
    71    0.20108E+04    0.39967E+00    0.56947E-01   -0.86501E+01
    72    0.20300E+04    0.41355E+00    0.57431E-01   -0.91012E+01
    73    0.20493E+04    0.42758E+00    0.57884E-01   -0.95633E+01
    74    0.20689E+04    0.44176E+00    0.58307E-01   -0.10036E+02
    75    0.20888E+04    0.45609E+00    0.58701E-01   -0.10517E+02
    76    0.21090E+04    0.47057E+00    0.59065E-01   -0.11008E+02
    77    0.21296E+04    0.48519E+00    0.59399E-01   -0.11506E+02
    78    0.21505E+04    0.49998E+00    0.59703E-01   -0.12014E+02
    79    0.21716E+04    0.51488E+00    0.59977E-01   -0.12529E+02
    80    0.21931E+04    0.52987E+00    0.60221E-01   -0.13051E+02
    81    0.22147E+04    0.54492E+00    0.60435E-01   -0.13582E+02
