#    L    TT             EE             BB             TE             PP             TP             EP          
     2   0.162136E+04   0.689019E-01   0.248700E-01   0.369411E+01   0.454928E-07   0.332110E-02  -0.161049E-04
     3   0.145171E+04   0.106751E+00   0.286302E-01   0.380917E+01   0.547126E-07   0.334163E-02  -0.196299E-04
     4   0.135692E+04   0.118634E+00   0.280680E-01   0.369138E+01   0.625517E-07   0.329183E-02  -0.197022E-04
     5   0.129189E+04   0.105891E+00   0.246278E-01   0.333423E+01   0.692752E-07   0.321084E-02  -0.173049E-04
     6   0.124685E+04   0.799469E-01   0.198874E-01   0.286592E+01   0.750684E-07   0.311854E-02  -0.133310E-04
     7   0.121660E+04   0.528873E-01   0.151017E-01   0.237539E+01   0.801071E-07   0.302451E-02  -0.865547E-05
     8   0.119666E+04   0.322433E-01   0.110308E-01   0.191785E+01   0.845163E-07   0.292940E-02  -0.408033E-05
     9   0.118441E+04   0.199845E-01   0.798699E-02   0.152307E+01   0.883979E-07   0.283289E-02  -0.232177E-06
    10   0.117808E+04   0.143842E-01   0.598398E-02   0.121261E+01   0.918150E-07   0.273737E-02   0.254562E-05
    11   0.117572E+04   0.124864E-01   0.487582E-02   0.991561E+00   0.948518E-07   0.264827E-02   0.417550E-05
    12   0.117707E+04   0.119361E-01   0.446536E-02   0.858136E+00   0.975147E-07   0.256603E-02   0.471009E-05
    13   0.118009E+04   0.115555E-01   0.454113E-02   0.799804E+00   0.998928E-07   0.249421E-02   0.427885E-05
    14   0.118501E+04   0.112180E-01   0.493730E-02   0.786068E+00   0.101978E-06   0.242558E-02   0.312777E-05
    15   0.119113E+04   0.111671E-01   0.553081E-02   0.804673E+00   0.103834E-06   0.236064E-02   0.164312E-05
    16   0.119967E+04   0.116047E-01   0.623977E-02   0.842086E+00   0.105466E-06   0.229646E-02   0.245554E-06
    17   0.121004E+04   0.124621E-01   0.701948E-02   0.883906E+00   0.106897E-06   0.223430E-02  -0.874212E-06
    18   0.122083E+04   0.136024E-01   0.783823E-02   0.919766E+00   0.108159E-06   0.217627E-02  -0.161820E-05
    19   0.123274E+04   0.148896E-01   0.868612E-02   0.947653E+00   0.109260E-06   0.212145E-02  -0.200981E-05
    20   0.124418E+04   0.162107E-01   0.955913E-02   0.959602E+00   0.110206E-06   0.206848E-02  -0.208910E-05
    21   0.125592E+04   0.176261E-01   0.104549E-01   0.962423E+00   0.111018E-06   0.201704E-02  -0.184719E-05
    22   0.126803E+04   0.192436E-01   0.113718E-01   0.960142E+00   0.111712E-06   0.196717E-02  -0.130482E-05
    23   0.128012E+04   0.211141E-01   0.123082E-01   0.954401E+00   0.112298E-06   0.191923E-02  -0.649357E-06
    24   0.129248E+04   0.232698E-01   0.132627E-01   0.946375E+00   0.112781E-06   0.187356E-02  -0.843226E-07
    25   0.130524E+04   0.256955E-01   0.142323E-01   0.933289E+00   0.113170E-06   0.183007E-02   0.281718E-06
    26   0.131793E+04   0.283681E-01   0.152147E-01   0.922860E+00   0.113476E-06   0.178853E-02   0.399542E-06
    27   0.133094E+04   0.312575E-01   0.162104E-01   0.915774E+00   0.113706E-06   0.174864E-02   0.361259E-06
    28   0.134410E+04   0.343243E-01   0.172202E-01   0.905831E+00   0.113865E-06   0.171023E-02   0.269538E-06
    29   0.135735E+04   0.375973E-01   0.182436E-01   0.895558E+00   0.113955E-06   0.167353E-02   0.131450E-06
    30   0.137091E+04   0.411086E-01   0.192796E-01   0.875089E+00   0.113976E-06   0.163872E-02  -0.655188E-07
    31   0.138419E+04   0.448262E-01   0.203271E-01   0.850238E+00   0.113937E-06   0.160537E-02  -0.317294E-06
    32   0.139798E+04   0.487401E-01   0.213850E-01   0.812063E+00   0.113849E-06   0.157299E-02  -0.598365E-06
    33   0.141174E+04   0.528253E-01   0.224523E-01   0.761318E+00   0.113714E-06   0.154132E-02  -0.814040E-06
    34   0.142542E+04   0.571269E-01   0.235277E-01   0.702683E+00   0.113535E-06   0.151025E-02  -0.873555E-06
    35   0.143964E+04   0.616476E-01   0.246080E-01   0.629898E+00   0.113315E-06   0.147987E-02  -0.769424E-06
    36   0.145353E+04   0.664065E-01   0.256905E-01   0.554557E+00   0.113057E-06   0.145039E-02  -0.535057E-06
    37   0.146760E+04   0.714206E-01   0.267770E-01   0.466715E+00   0.112764E-06   0.142221E-02  -0.284504E-06
    38   0.148198E+04   0.766758E-01   0.278696E-01   0.364619E+00   0.112439E-06   0.139564E-02  -0.120773E-06
    39   0.149654E+04   0.821832E-01   0.289656E-01   0.251240E+00   0.112085E-06   0.137036E-02  -0.237118E-07
    40   0.151119E+04   0.879628E-01   0.300616E-01   0.129705E+00   0.111701E-06   0.134588E-02   0.573840E-07
    41   0.152585E+04   0.940302E-01   0.311543E-01   0.249092E-02   0.111291E-06   0.132184E-02   0.160486E-06
    42   0.154052E+04   0.100382E+00   0.322425E-01  -0.130596E+00   0.110857E-06   0.129823E-02   0.273343E-06
    43   0.155523E+04   0.107012E+00   0.333250E-01  -0.270820E+00   0.110399E-06   0.127516E-02   0.371235E-06
    44   0.157002E+04   0.113908E+00   0.344010E-01  -0.421046E+00   0.109920E-06   0.125271E-02   0.429520E-06
    45   0.158499E+04   0.121059E+00   0.354694E-01  -0.584447E+00   0.109422E-06   0.123098E-02   0.423626E-06
    46   0.160009E+04   0.128453E+00   0.365292E-01  -0.763022E+00   0.108908E-06   0.121005E-02   0.338397E-06
    47   0.161532E+04   0.136100E+00   0.375790E-01  -0.955948E+00   0.108378E-06   0.118979E-02   0.196099E-06
    48   0.163065E+04   0.144008E+00   0.386172E-01  -0.116171E+01   0.107833E-06   0.117006E-02   0.282735E-07
    49   0.164607E+04   0.152181E+00   0.396426E-01  -0.137872E+01   0.107275E-06   0.115071E-02  -0.133628E-06
    50   0.166165E+04   0.160638E+00   0.406534E-01  -0.160526E+01   0.106706E-06   0.113160E-02  -0.258232E-06
    51   0.167743E+04   0.169392E+00   0.416484E-01  -0.183987E+01   0.106126E-06   0.111263E-02  -0.322345E-06
    52   0.169338E+04   0.178443E+00   0.426267E-01  -0.208241E+01   0.105536E-06   0.109393E-02  -0.335254E-06
    53   0.170942E+04   0.187778E+00   0.435875E-01  -0.233328E+01   0.104938E-06   0.107566E-02  -0.314315E-06
    54   0.172555E+04   0.197389E+00   0.445299E-01  -0.259371E+01   0.104331E-06   0.105799E-02  -0.276848E-06
    55   0.174177E+04   0.207268E+00   0.454533E-01  -0.286535E+01   0.103717E-06   0.104109E-02  -0.240132E-06
    56   0.175818E+04   0.217402E+00   0.463568E-01  -0.315007E+01   0.103097E-06   0.102508E-02  -0.217402E-06
    57   0.177490E+04   0.227793E+00   0.472395E-01  -0.344833E+01   0.102470E-06   0.100984E-02  -0.205841E-06
    58   0.179187E+04   0.238447E+00   0.481002E-01  -0.375953E+01   0.101838E-06   0.995202E-03  -0.198635E-06
    59   0.180901E+04   0.249369E+00   0.489380E-01  -0.408278E+01   0.101200E-06   0.980994E-03  -0.188980E-06
