#           k/h    P           
   0.100000E-03   0.505922E+03
   0.102020E-03   0.515723E+03
   0.104081E-03   0.525713E+03
   0.106184E-03   0.535897E+03
   0.108329E-03   0.546278E+03
   0.110517E-03   0.556860E+03
   0.112750E-03   0.567646E+03
   0.115027E-03   0.578641E+03
   0.117351E-03   0.589848E+03
   0.119722E-03   0.601272E+03
   0.122140E-03   0.612917E+03
   0.124608E-03   0.624787E+03
   0.127125E-03   0.636886E+03
   0.129693E-03   0.649219E+03
   0.132313E-03   0.661791E+03
   0.134986E-03   0.674605E+03
   0.137713E-03   0.687667E+03
   0.140495E-03   0.700981E+03
   0.143333E-03   0.714552E+03
   0.146228E-03   0.728385E+03
   0.149182E-03   0.742485E+03
   0.152196E-03   0.756857E+03
   0.155271E-03   0.771507E+03
   0.158407E-03   0.786439E+03
   0.161607E-03   0.801659E+03
   0.164872E-03   0.817173E+03
   0.168203E-03   0.832986E+03
   0.171601E-03   0.849104E+03
   0.175067E-03   0.865532E+03
   0.178604E-03   0.882277E+03
   0.182212E-03   0.899344E+03
   0.185893E-03   0.916741E+03
   0.189648E-03   0.934472E+03
   0.193479E-03   0.952544E+03
   0.197388E-03   0.970964E+03
   0.201375E-03   0.989739E+03
   0.205443E-03   0.100887E+04
   0.209594E-03   0.102838E+04
   0.213828E-03   0.104826E+04
   0.218147E-03   0.106852E+04
   0.222554E-03   0.108917E+04
   0.227050E-03   0.111021E+04
   0.231637E-03   0.113166E+04
   0.236316E-03   0.115352E+04
   0.241090E-03   0.117580E+04
   0.245960E-03   0.119851E+04
   0.250929E-03   0.122165E+04
   0.255998E-03   0.124524E+04
   0.261170E-03   0.126928E+04
   0.266446E-03   0.129377E+04
   0.271828E-03   0.131874E+04
   0.277319E-03   0.134418E+04
   0.282922E-03   0.137011E+04
   0.288637E-03   0.139654E+04
   0.294468E-03   0.142346E+04
   0.300417E-03   0.145091E+04
   0.306485E-03   0.147887E+04
   0.312677E-03   0.150737E+04
   0.318993E-03   0.153641E+04
   0.325437E-03   0.156600E+04
   0.332012E-03   0.159615E+04
   0.338719E-03   0.162688E+04
   0.345561E-03   0.165819E+04
   0.352542E-03   0.169009E+04
   0.359664E-03   0.172260E+04
   0.366930E-03   0.175572E+04
   0.374342E-03   0.178947E+04
   0.381904E-03   0.182386E+04
   0.389619E-03   0.185890E+04
   0.397490E-03   0.189459E+04
   0.405520E-03   0.193096E+04
   0.413712E-03   0.196802E+04
   0.422070E-03   0.200577E+04
   0.430596E-03   0.204423E+04
   0.439295E-03   0.208341E+04
   0.448169E-03   0.212332E+04
   0.457222E-03   0.216399E+04
   0.466459E-03   0.220541E+04
   0.475882E-03   0.224760E+04
   0.485496E-03   0.229058E+04
   0.495303E-03   0.233436E+04
   0.505309E-03   0.237896E+04
   0.515517E-03   0.242438E+04
   0.525931E-03   0.247064E+04
   0.536556E-03   0.251776E+04
   0.547395E-03   0.256575E+04
   0.558453E-03   0.261463E+04
   0.569734E-03   0.266440E+04
   0.581244E-03   0.271509E+04
   0.592986E-03   0.276671E+04
   0.604965E-03   0.281928E+04
   0.617186E-03   0.287280E+04
   0.629654E-03   0.292730E+04
   0.642374E-03   0.298280E+04
   0.655350E-03   0.303930E+04
   0.668589E-03   0.309682E+04
   0.682096E-03   0.315538E+04
   0.695875E-03   0.321501E+04
   0.709933E-03   0.327570E+04
   0.724274E-03   0.333748E+04
   0.738906E-03   0.340037E+04
   0.753832E-03   0.346439E+04
   0.769061E-03   0.352954E+04
   0.784597E-03   0.359585E+04
   0.800447E-03   0.366334E+04
   0.816617E-03   0.373202E+04
   0.833114E-03   0.380191E+04
   0.849944E-03   0.387302E+04
   0.867114E-03   0.394538E+04
   0.884631E-03   0.401901E+04
   0.902501E-03   0.409391E+04
   0.920733E-03   0.417011E+04
   0.939333E-03   0.424762E+04
   0.958309E-03   0.432647E+04
   0.977668E-03   0.440667E+04
   0.997418E-03   0.448824E+04
   0.101757E-02   0.457119E+04
   0.103812E-02   0.465555E+04
   0.105910E-02   0.474133E+04
   0.108049E-02   0.482855E+04
   0.110232E-02   0.491722E+04
   0.112459E-02   0.500737E+04
   0.114730E-02   0.509901E+04
   0.117048E-02   0.519215E+04
   0.119413E-02   0.528682E+04
   0.121825E-02   0.538303E+04
   0.124286E-02   0.548079E+04
   0.126797E-02   0.558013E+04
   0.129358E-02   0.568106E+04
   0.131971E-02   0.578358E+04
   0.134637E-02   0.588773E+04
   0.137357E-02   0.599351E+04
   0.140132E-02   0.610094E+04
   0.142963E-02   0.621003E+04
   0.145851E-02   0.632079E+04
   0.148797E-02   0.643324E+04
   0.151803E-02   0.654740E+04
   0.154870E-02   0.666326E+04
   0.157998E-02   0.678085E+04
   0.161190E-02   0.690017E+04
   0.164446E-02   0.702124E+04
   0.167768E-02   0.714406E+04
   0.171158E-02   0.726864E+04
   0.174615E-02   0.739499E+04
   0.178143E-02   0.752312E+04
   0.181741E-02   0.765303E+04
   0.185413E-02   0.778473E+04
   0.189158E-02   0.791823E+04
   0.192980E-02   0.805352E+04
   0.196878E-02   0.819062E+04
   0.200855E-02   0.832951E+04
   0.204913E-02   0.847022E+04
   0.209052E-02   0.861272E+04
   0.213276E-02   0.875702E+04
   0.217584E-02   0.890313E+04
   0.221979E-02   0.905103E+04
   0.226464E-02   0.920073E+04
   0.231039E-02   0.935221E+04
   0.235706E-02   0.950547E+04
   0.240467E-02   0.966050E+04
   0.245325E-02   0.981729E+04
   0.250281E-02   0.997584E+04
   0.255337E-02   0.101361E+05
   0.260495E-02   0.102981E+05
   0.265758E-02   0.104619E+05
   0.271126E-02   0.106273E+05
   0.276603E-02   0.107944E+05
   0.282191E-02   0.109632E+05
   0.287892E-02   0.111336E+05
   0.293708E-02   0.113056E+05
   0.299641E-02   0.114793E+05
   0.305694E-02   0.116545E+05
   0.311870E-02   0.118313E+05
   0.318170E-02   0.120096E+05
   0.324597E-02   0.121894E+05
   0.331155E-02   0.123706E+05
   0.337844E-02   0.125533E+05
   0.344669E-02   0.127375E+05
   0.351632E-02   0.129229E+05
   0.358735E-02   0.131098E+05
   0.365982E-02   0.132979E+05
   0.373376E-02   0.134873E+05
   0.380918E-02   0.136778E+05
   0.388613E-02   0.138696E+05
   0.396464E-02   0.140625E+05
   0.404473E-02   0.142564E+05
   0.412644E-02   0.144514E+05
   0.420980E-02   0.146474E+05
   0.429484E-02   0.148442E+05
   0.438160E-02   0.150420E+05
   0.447012E-02   0.152405E+05
   0.456042E-02   0.154397E+05
   0.465255E-02   0.156395E+05
   0.474653E-02   0.158400E+05
   0.484242E-02   0.160409E+05
   0.494024E-02   0.162423E+05
   0.504004E-02   0.164440E+05
   0.514186E-02   0.166459E+05
   0.524573E-02   0.168480E+05
   0.535170E-02   0.170501E+05
   0.545981E-02   0.172522E+05
   0.557011E-02   0.174541E+05
   0.568263E-02   0.176557E+05
   0.579743E-02   0.178569E+05
   0.591455E-02   0.180577E+05
   0.603403E-02   0.182577E+05
   0.615592E-02   0.184570E+05
   0.628028E-02   0.186554E+05
   0.640715E-02   0.188528E+05
   0.653658E-02   0.190490E+05
   0.666863E-02   0.192438E+05
   0.680335E-02   0.194372E+05
   0.694078E-02   0.196290E+05
   0.708100E-02   0.198190E+05
   0.722404E-02   0.200070E+05
   0.736998E-02   0.201929E+05
   0.751886E-02   0.203766E+05
   0.767075E-02   0.205579E+05
   0.782571E-02   0.207366E+05
   0.798380E-02   0.209125E+05
   0.814509E-02   0.210854E+05
   0.830963E-02   0.212552E+05
   0.847750E-02   0.214216E+05
   0.864875E-02   0.215846E+05
   0.882347E-02   0.217438E+05
   0.900171E-02   0.218990E+05
   0.918356E-02   0.220501E+05
   0.936908E-02   0.221968E+05
   0.955835E-02   0.223388E+05
   0.975144E-02   0.224760E+05
   0.994843E-02   0.226081E+05
   0.101494E-01   0.227349E+05
   0.103544E-01   0.228561E+05
   0.105636E-01   0.229716E+05
   0.107770E-01   0.230810E+05
   0.109947E-01   0.231840E+05
   0.112168E-01   0.232805E+05
   0.114434E-01   0.233700E+05
   0.116746E-01   0.234525E+05
   0.119104E-01   0.235276E+05
   0.121510E-01   0.235954E+05
   0.123965E-01   0.236557E+05
   0.126469E-01   0.237084E+05
   0.129024E-01   0.237533E+05
   0.131631E-01   0.237897E+05
   0.134290E-01   0.238169E+05
   0.137003E-01   0.238341E+05
   0.139770E-01   0.238407E+05
   0.142594E-01   0.238361E+05
   0.145474E-01   0.238207E+05
   0.148413E-01   0.237952E+05
   0.151411E-01   0.237600E+05
   0.154470E-01   0.237159E+05
   0.157590E-01   0.236630E+05
   0.160774E-01   0.236007E+05
   0.164022E-01   0.235280E+05
   0.167335E-01   0.234441E+05
   0.170716E-01   0.233483E+05
   0.174164E-01   0.232401E+05
   0.177683E-01   0.231203E+05
   0.181272E-01   0.229898E+05
   0.184934E-01   0.228494E+05
   0.188670E-01   0.227000E+05
   0.192481E-01   0.225416E+05
   0.196370E-01   0.223721E+05
   0.200337E-01   0.221893E+05
   0.204384E-01   0.219911E+05
   0.208513E-01   0.217756E+05
   0.212725E-01   0.215436E+05
   0.217022E-01   0.213016E+05
   0.221406E-01   0.210559E+05
   0.225879E-01   0.208128E+05
   0.230442E-01   0.205782E+05
   0.235097E-01   0.203478E+05
   0.239847E-01   0.201021E+05
   0.244692E-01   0.198210E+05
   0.249635E-01   0.194857E+05
   0.254678E-01   0.190798E+05
   0.259823E-01   0.186251E+05
   0.265072E-01   0.181916E+05
   0.270426E-01   0.178468E+05
   0.275889E-01   0.176541E+05
   0.281463E-01   0.176741E+05
   0.287149E-01   0.178862E+05
   0.292949E-01   0.181625E+05
   0.298867E-01   0.183622E+05
   0.304905E-01   0.183393E+05
   0.311064E-01   0.179586E+05
   0.317348E-01   0.172344E+05
   0.323759E-01   0.163299E+05
   0.330299E-01   0.153971E+05
   0.336972E-01   0.145605E+05
   0.343779E-01   0.139153E+05
   0.350724E-01   0.134664E+05
   0.357809E-01   0.131494E+05
   0.365038E-01   0.129068E+05
   0.372412E-01   0.126866E+05
   0.379935E-01   0.124424E+05
   0.387610E-01   0.121616E+05
   0.395440E-01   0.118592E+05
   0.403429E-01   0.115497E+05
   0.411579E-01   0.112464E+05
   0.419893E-01   0.109607E+05
   0.428375E-01   0.106952E+05
   0.437029E-01   0.104467E+05
   0.445858E-01   0.102120E+05
   0.454865E-01   0.998816E+04
   0.464053E-01   0.977290E+04
   0.473428E-01   0.956632E+04
   0.482992E-01   0.936937E+04
   0.492749E-01   0.918293E+04
   0.502703E-01   0.900774E+04
   0.512858E-01   0.884287E+04
   0.523219E-01   0.868587E+04
   0.533789E-01   0.853436E+04
   0.544572E-01   0.838620E+04
   0.555573E-01   0.824077E+04
   0.566796E-01   0.809900E+04
   0.578246E-01   0.796179E+04
   0.589927E-01   0.782952E+04
   0.601845E-01   0.769887E+04
   0.614003E-01   0.756502E+04
   0.626407E-01   0.742353E+04
   0.639061E-01   0.727396E+04
   0.651971E-01   0.712149E+04
   0.665142E-01   0.697141E+04
   0.678578E-01   0.682573E+04
   0.692287E-01   0.667792E+04
   0.706272E-01   0.652057E+04
   0.720539E-01   0.634915E+04
   0.735095E-01   0.616663E+04
   0.749945E-01   0.597717E+04
   0.765095E-01   0.578357E+04
   0.780551E-01   0.558628E+04
   0.796319E-01   0.538558E+04
   0.812406E-01   0.518268E+04
   0.828817E-01   0.497962E+04
   0.845561E-01   0.477832E+04
   0.862642E-01   0.458091E+04
   0.880068E-01   0.438938E+04
   0.897847E-01   0.420559E+04
   0.915985E-01   0.403128E+04
   0.934489E-01   0.386789E+04
   0.953367E-01   0.371642E+04
   0.972626E-01   0.357757E+04
   0.992274E-01   0.345190E+04
   0.101232E+00   0.333993E+04
   0.103277E+00   0.324210E+04
   0.105363E+00   0.315772E+04
   0.107492E+00   0.308428E+04
   0.109663E+00   0.301937E+04
   0.111879E+00   0.296095E+04
   0.114139E+00   0.290718E+04
   0.116445E+00   0.285580E+04
   0.118797E+00   0.280408E+04
   0.121197E+00   0.274952E+04
   0.123645E+00   0.268988E+04
   0.126143E+00   0.262337E+04
   0.128691E+00   0.254917E+04
   0.131291E+00   0.246704E+04
   0.133943E+00   0.237775E+04
   0.136649E+00   0.228251E+04
   0.139409E+00   0.218317E+04
   0.142226E+00   0.208182E+04
   0.145099E+00   0.198089E+04
   0.148030E+00   0.188303E+04
   0.151020E+00   0.179116E+04
   0.154071E+00   0.170762E+04
   0.157184E+00   0.163408E+04
   0.160359E+00   0.157124E+04
   0.163598E+00   0.151877E+04
   0.166903E+00   0.147505E+04
   0.170275E+00   0.143818E+04
   0.173715E+00   0.140610E+04
   0.177224E+00   0.137635E+04
   0.180804E+00   0.134636E+04
   0.184457E+00   0.131370E+04
   0.188183E+00   0.127658E+04
   0.191985E+00   0.123356E+04
   0.195863E+00   0.118476E+04
   0.199820E+00   0.113241E+04
   0.203856E+00   0.107847E+04
   0.207974E+00   0.102523E+04
   0.212176E+00   0.974822E+03
   0.216462E+00   0.928856E+03
   0.220835E+00   0.889172E+03
   0.225296E+00   0.855868E+03
   0.229847E+00   0.828130E+03
   0.234490E+00   0.804438E+03
   0.239227E+00   0.782766E+03
   0.244060E+00   0.761068E+03
   0.248990E+00   0.737600E+03
   0.254020E+00   0.711324E+03
   0.259152E+00   0.682333E+03
   0.264387E+00   0.651707E+03
   0.269728E+00   0.620962E+03
   0.275177E+00   0.591614E+03
   0.280736E+00   0.565116E+03
   0.286407E+00   0.541325E+03
   0.292193E+00   0.521378E+03
   0.298096E+00   0.504674E+03
   0.304118E+00   0.487786E+03
   0.310261E+00   0.471416E+03
   0.316529E+00   0.445395E+03
   0.322923E+00   0.427523E+03
   0.329447E+00   0.408124E+03
   0.336102E+00   0.389436E+03
   0.342892E+00   0.371972E+03
   0.349819E+00   0.356128E+03
   0.356885E+00   0.341901E+03
   0.364095E+00   0.328826E+03
   0.371450E+00   0.316191E+03
   0.378954E+00   0.303482E+03
   0.386609E+00   0.290582E+03
   0.394419E+00   0.277683E+03
   0.402387E+00   0.265243E+03
   0.410516E+00   0.253591E+03
   0.418809E+00   0.242818E+03
   0.427269E+00   0.232768E+03
   0.435901E+00   0.223107E+03
   0.444706E+00   0.213618E+03
   0.453690E+00   0.204235E+03
   0.462855E+00   0.195072E+03
   0.472206E+00   0.186352E+03
   0.481745E+00   0.178118E+03
   0.491477E+00   0.170368E+03
   0.501405E+00   0.162931E+03
   0.511534E+00   0.155713E+03
   0.521868E+00   0.148701E+03
   0.532411E+00   0.141934E+03
   0.543166E+00   0.135497E+03
   0.554139E+00   0.129364E+03
   0.565333E+00   0.123487E+03
   0.576753E+00   0.117831E+03
   0.588404E+00   0.112387E+03
   0.600291E+00   0.107154E+03
   0.612418E+00   0.102169E+03
   0.624789E+00   0.973904E+02
   0.637411E+00   0.928042E+02
   0.650288E+00   0.884057E+02
   0.663424E+00   0.841899E+02
   0.676826E+00   0.801505E+02
   0.690499E+00   0.762804E+02
   0.704448E+00   0.725728E+02
   0.718679E+00   0.690213E+02
   0.733197E+00   0.656196E+02
   0.748009E+00   0.623614E+02
   0.763119E+00   0.592410E+02
   0.778536E+00   0.562528E+02
   0.794263E+00   0.533908E+02
   0.810308E+00   0.506492E+02
   0.826677E+00   0.480224E+02
   0.843378E+00   0.455054E+02
   0.860415E+00   0.430938E+02
   0.877797E+00   0.407840E+02
   0.895529E+00   0.385721E+02
   0.913620E+00   0.364548E+02
   0.932076E+00   0.344285E+02
   0.950906E+00   0.324894E+02
   0.970115E+00   0.306344E+02
   0.989713E+00   0.288598E+02
   0.100971E+01   0.271592E+02
   0.103010E+01   0.255252E+02
   0.105091E+01   0.239519E+02
   0.107214E+01   0.224357E+02
   0.109380E+01   0.209822E+02
   0.111590E+01   0.195995E+02
   0.113844E+01   0.182930E+02
   0.116144E+01   0.170625E+02
   0.118490E+01   0.158794E+02
   0.120884E+01   0.147111E+02
   0.123326E+01   0.135352E+02
   0.125817E+01   0.123499E+02
   0.128359E+01   0.112244E+02
   0.130952E+01   0.102309E+02
   0.133597E+01   0.941607E+01
   0.136296E+01   0.877480E+01
   0.139049E+01   0.811042E+01
   0.141858E+01   0.722140E+01
   0.144724E+01   0.601585E+01
   0.147648E+01   0.462817E+01
   0.150630E+01   0.353212E+01
   0.153673E+01   0.295285E+01
   0.156778E+01   0.298605E+01
   0.159945E+01   0.376669E+01
   0.163176E+01   0.443268E+01
   0.166472E+01   0.331242E+01
   0.169835E+01   0.106983E+01
   0.173266E+01   0.123620E+00
   0.176766E+01   0.964370E-02
   0.180337E+01   0.119060E-02
   0.183980E+01   0.545288E-03
   0.187697E+01   0.160843E-02
   0.191489E+01   0.170608E-01
   0.195357E+01   0.277975E+00
   0.199304E+01   0.297176E+01
   0.203330E+01   0.113544E+02
   0.207437E+01   0.192523E+02
   0.211628E+01   0.214183E+02
   0.215903E+01   0.231130E+02
   0.220265E+01   0.321278E+02
   0.224714E+01   0.550842E+02
   0.229254E+01   0.104837E+03
   0.233885E+01   0.199340E+03
   0.238610E+01   0.362536E+03
   0.243430E+01   0.715164E+03
   0.248348E+01   0.178599E+04
   0.253365E+01   0.658689E+04
   0.258483E+01   0.353199E+05
   0.263705E+01   0.178215E+06
   0.269032E+01   0.513864E+06
   0.274466E+01   0.514927E+06
   0.280011E+01   0.147155E+06
   0.285668E+01   0.192060E+05
   0.291439E+01   0.200692E+04
   0.297326E+01   0.293839E+03
   0.303332E+01   0.832892E+02
   0.309460E+01   0.391985E+02
   0.315712E+01   0.248051E+02
   0.322090E+01   0.170990E+02
   0.328596E+01   0.108301E+02
   0.335234E+01   0.572238E+01
   0.342006E+01   0.230814E+01
   0.348916E+01   0.651801E+00
   0.355964E+01   0.138892E+00
   0.363155E+01   0.314510E-01
   0.370491E+01   0.109293E-01
   0.377976E+01   0.837262E-02
   0.385611E+01   0.151752E-01
   0.393401E+01   0.450482E-01
