#    L    TT             EE             TE             PP             TP          
     2    0.11452E+04    0.53276E-01    0.34065E+01    0.94174E+06    0.30870E+05
     3    0.10739E+04    0.86785E-01    0.42424E+01    0.14353E+07    0.37091E+05
     4    0.10044E+04    0.97427E-01    0.43532E+01    0.18668E+07    0.40243E+05
     5    0.94944E+03    0.86412E-01    0.40359E+01    0.22431E+07    0.41733E+05
     6    0.90877E+03    0.63921E-01    0.35191E+01    0.25713E+07    0.42281E+05
     7    0.87995E+03    0.40779E-01    0.29465E+01    0.28592E+07    0.42293E+05
     8    0.85996E+03    0.23580E-01    0.24049E+01    0.31129E+07    0.41944E+05
     9    0.84677E+03    0.13838E-01    0.19386E+01    0.33375E+07    0.41326E+05
    10    0.83892E+03    0.97407E-02    0.15717E+01    0.35366E+07    0.40538E+05
    11    0.83499E+03    0.84827E-02    0.13118E+01    0.37145E+07    0.39709E+05
    12    0.83507E+03    0.79653E-02    0.11578E+01    0.38727E+07    0.38904E+05
    13    0.83738E+03    0.71983E-02    0.10881E+01    0.40135E+07    0.38128E+05
    14    0.84094E+03    0.62753E-02    0.10768E+01    0.41393E+07    0.37370E+05
    15    0.84602E+03    0.55052E-02    0.11064E+01    0.42517E+07    0.36605E+05
    16    0.85302E+03    0.51424E-02    0.11623E+01    0.43520E+07    0.35814E+05
    17    0.86182E+03    0.52260E-02    0.12297E+01    0.44415E+07    0.35028E+05
    18    0.87146E+03    0.55437E-02    0.12969E+01    0.45215E+07    0.34276E+05
    19    0.88276E+03    0.59393E-02    0.13578E+01    0.45925E+07    0.33550E+05
    20    0.89402E+03    0.63577E-02    0.14068E+01    0.46551E+07    0.32833E+05
    21    0.90558E+03    0.68237E-02    0.14490E+01    0.47103E+07    0.32124E+05
    22    0.91774E+03    0.74585E-02    0.14898E+01    0.47591E+07    0.31425E+05
    23    0.93030E+03    0.83301E-02    0.15295E+01    0.48017E+07    0.30745E+05
    24    0.94332E+03    0.94502E-02    0.15675E+01    0.48388E+07    0.30091E+05
    25    0.95673E+03    0.10831E-01    0.16062E+01    0.48706E+07    0.29462E+05
    26    0.97033E+03    0.12439E-01    0.16487E+01    0.48978E+07    0.28855E+05
    27    0.98436E+03    0.14232E-01    0.16934E+01    0.49208E+07    0.28268E+05
    28    0.99866E+03    0.16199E-01    0.17384E+01    0.49399E+07    0.27699E+05
    29    0.10133E+04    0.18348E-01    0.17819E+01    0.49552E+07    0.27151E+05
    30    0.10282E+04    0.20695E-01    0.18205E+01    0.49667E+07    0.26630E+05
    31    0.10433E+04    0.23227E-01    0.18514E+01    0.49749E+07    0.26127E+05
    32    0.10586E+04    0.25917E-01    0.18718E+01    0.49804E+07    0.25636E+05
    33    0.10744E+04    0.28779E-01    0.18807E+01    0.49832E+07    0.25153E+05
    34    0.10903E+04    0.31843E-01    0.18789E+01    0.49835E+07    0.24676E+05
    35    0.11064E+04    0.35120E-01    0.18695E+01    0.49815E+07    0.24208E+05
    36    0.11225E+04    0.38622E-01    0.18541E+01    0.49774E+07    0.23752E+05
    37    0.11388E+04    0.42346E-01    0.18269E+01    0.49713E+07    0.23315E+05
    38    0.11555E+04    0.46300E-01    0.17846E+01    0.49635E+07    0.22902E+05
    39    0.11727E+04    0.50493E-01    0.17304E+01    0.49539E+07    0.22509E+05
    40    0.11899E+04    0.54943E-01    0.16689E+01    0.49427E+07    0.22126E+05
    41    0.12073E+04    0.59670E-01    0.16032E+01    0.49299E+07    0.21750E+05
    42    0.12248E+04    0.64675E-01    0.15311E+01    0.49158E+07    0.21378E+05
    43    0.12424E+04    0.69956E-01    0.14490E+01    0.49004E+07    0.21014E+05
    44    0.12599E+04    0.75496E-01    0.13545E+01    0.48837E+07    0.20660E+05
    45    0.12779E+04    0.81289E-01    0.12449E+01    0.48660E+07    0.20316E+05
    46    0.12961E+04    0.87331E-01    0.11167E+01    0.48472E+07    0.19983E+05
    47    0.13144E+04    0.93625E-01    0.97192E+00    0.48276E+07    0.19661E+05
    48    0.13329E+04    0.10018E+00    0.81690E+00    0.48070E+07    0.19347E+05
    49    0.13515E+04    0.10698E+00    0.65723E+00    0.47857E+07    0.19037E+05
    50    0.13704E+04    0.11401E+00    0.49178E+00    0.47637E+07    0.18731E+05
    51    0.13896E+04    0.12124E+00    0.31740E+00    0.47410E+07    0.18427E+05
    52    0.14091E+04    0.12876E+00    0.12864E+00    0.47177E+07    0.18126E+05
    53    0.14287E+04    0.13671E+00   -0.78686E-01    0.46939E+07    0.17832E+05
    54    0.14481E+04    0.14507E+00   -0.30079E+00    0.46695E+07    0.17547E+05
    55    0.14678E+04    0.15383E+00   -0.53377E+00    0.46447E+07    0.17275E+05
    56    0.14877E+04    0.16284E+00   -0.77972E+00    0.46194E+07    0.17016E+05
    57    0.15080E+04    0.17199E+00   -0.10383E+01    0.45937E+07    0.16771E+05
    58    0.15286E+04    0.18130E+00   -0.13098E+01    0.45676E+07    0.16535E+05
    59    0.15494E+04    0.19080E+00   -0.15947E+01    0.45412E+07    0.16305E+05
    60    0.15703E+04    0.20055E+00   -0.18918E+01    0.45145E+07    0.16080E+05
    61    0.15917E+04    0.21064E+00   -0.21999E+01    0.44874E+07    0.15856E+05
    62    0.16129E+04    0.22107E+00   -0.25203E+01    0.44601E+07    0.15633E+05
    63    0.16342E+04    0.23178E+00   -0.28543E+01    0.44326E+07    0.15412E+05
    64    0.16560E+04    0.24278E+00   -0.32033E+01    0.44048E+07    0.15192E+05
    65    0.16777E+04    0.25406E+00   -0.35684E+01    0.43770E+07    0.14975E+05
    66    0.16998E+04    0.26552E+00   -0.39479E+01    0.43490E+07    0.14760E+05
    67    0.17221E+04    0.27719E+00   -0.43389E+01    0.43210E+07    0.14549E+05
    68    0.17448E+04    0.28910E+00   -0.47395E+01    0.42928E+07    0.14342E+05
    69    0.17676E+04    0.30121E+00   -0.51477E+01    0.42647E+07    0.14141E+05
    70    0.17908E+04    0.31357E+00   -0.55650E+01    0.42365E+07    0.13947E+05
    71    0.18142E+04    0.32617E+00   -0.59934E+01    0.42082E+07    0.13762E+05
    72    0.18377E+04    0.33897E+00   -0.64345E+01    0.41800E+07    0.13583E+05
    73    0.18614E+04    0.35196E+00   -0.68886E+01    0.41518E+07    0.13410E+05
    74    0.18853E+04    0.36510E+00   -0.73551E+01    0.41235E+07    0.13241E+05
    75    0.19095E+04    0.37842E+00   -0.78324E+01    0.40953E+07    0.13076E+05
    76    0.19339E+04    0.39192E+00   -0.83199E+01    0.40670E+07    0.12913E+05
    77    0.19587E+04    0.40558E+00   -0.88176E+01    0.40387E+07    0.12752E+05
    78    0.19839E+04    0.41943E+00   -0.93270E+01    0.40105E+07    0.12592E+05
    79    0.20092E+04    0.43341E+00   -0.98445E+01    0.39824E+07    0.12434E+05
    80    0.20348E+04    0.44754E+00   -0.10372E+02    0.39542E+07    0.12277E+05
    81    0.20606E+04    0.46174E+00   -0.10909E+02    0.39262E+07    0.12122E+05
    82    0.20866E+04    0.47606E+00   -0.11456E+02    0.38982E+07    0.11968E+05
    83    0.21129E+04    0.49046E+00   -0.12012E+02    0.38704E+07    0.11817E+05
    84    0.21394E+04    0.50494E+00   -0.12574E+02    0.38426E+07    0.11668E+05
    85    0.21660E+04    0.51947E+00   -0.13144E+02    0.38150E+07    0.11523E+05
    86    0.21928E+04    0.53407E+00   -0.13720E+02    0.37875E+07    0.11383E+05
    87    0.22201E+04    0.54872E+00   -0.14302E+02    0.37601E+07    0.11246E+05
    88    0.22474E+04    0.56341E+00   -0.14890E+02    0.37329E+07    0.11112E+05
    89    0.22750E+04    0.57814E+00   -0.15486E+02    0.37058E+07    0.10981E+05
    90    0.23028E+04    0.59288E+00   -0.16086E+02    0.36788E+07    0.10853E+05
    91    0.23308E+04    0.60761E+00   -0.16691E+02    0.36520E+07    0.10727E+05
    92    0.23590E+04    0.62232E+00   -0.17301E+02    0.36254E+07    0.10604E+05
    93    0.23876E+04    0.63700E+00   -0.17915E+02    0.35989E+07    0.10482E+05
    94    0.24162E+04    0.65161E+00   -0.18533E+02    0.35726E+07    0.10363E+05
    95    0.24451E+04    0.66617E+00   -0.19154E+02    0.35464E+07    0.10245E+05
    96    0.24740E+04    0.68064E+00   -0.19779E+02    0.35204E+07    0.10130E+05
    97    0.25033E+04    0.69503E+00   -0.20407E+02    0.34945E+07    0.10016E+05
    98    0.25329E+04    0.70931E+00   -0.21035E+02    0.34689E+07    0.99047E+04
    99    0.25625E+04    0.72346E+00   -0.21666E+02    0.34433E+07    0.97948E+04
   100    0.25924E+04    0.73748E+00   -0.22296E+02    0.34180E+07    0.96867E+04
   101    0.26225E+04    0.75142E+00   -0.22929E+02    0.33928E+07    0.95803E+04
   102    0.26530E+04    0.76515E+00   -0.23561E+02    0.33678E+07    0.94757E+04
   103    0.26835E+04    0.77872E+00   -0.24194E+02    0.33430E+07    0.93726E+04
