#    L    TT             EE             BB             TE          
     2   0.113405E+04   0.548748E-01   0.292854E-05   0.340090E+01
     3   0.105522E+04   0.882244E-01   0.585754E-05   0.423908E+01
     4   0.982129E+03   0.977031E-01   0.976359E-05   0.434241E+01
     5   0.925686E+03   0.853541E-01   0.146473E-04   0.401040E+01
     6   0.884562E+03   0.621036E-01   0.205094E-04   0.347749E+01
     7   0.855882E+03   0.389804E-01   0.273508E-04   0.289103E+01
     8   0.836369E+03   0.223119E-01   0.351725E-04   0.233998E+01
     9   0.823855E+03   0.131927E-01   0.439755E-04   0.186916E+01
    10   0.816802E+03   0.951174E-02   0.537613E-04   0.150263E+01
    11   0.813661E+03   0.839697E-02   0.645310E-04   0.124828E+01
    12   0.814638E+03   0.782996E-02   0.762862E-04   0.110313E+01
    13   0.817570E+03   0.703949E-02   0.890283E-04   0.104529E+01
    14   0.822320E+03   0.612420E-02   0.102759E-03   0.104517E+01
    15   0.827706E+03   0.544511E-02   0.117480E-03   0.108221E+01
    16   0.835302E+03   0.521149E-02   0.133192E-03   0.114329E+01
    17   0.844876E+03   0.532991E-02   0.149898E-03   0.121285E+01
    18   0.855243E+03   0.564657E-02   0.167599E-03   0.127844E+01
    19   0.867143E+03   0.604502E-02   0.186297E-03   0.133729E+01
    20   0.878949E+03   0.643932E-02   0.205994E-03   0.138131E+01
    21   0.891328E+03   0.690856E-02   0.226690E-03   0.141823E+01
    22   0.904277E+03   0.757210E-02   0.248389E-03   0.145316E+01
    23   0.917389E+03   0.847285E-02   0.271090E-03   0.148867E+01
    24   0.930969E+03   0.963295E-02   0.294797E-03   0.152648E+01
    25   0.945133E+03   0.110370E-01   0.319510E-03   0.156322E+01
    26   0.959375E+03   0.126648E-01   0.345230E-03   0.160559E+01
    27   0.974096E+03   0.144907E-01   0.371959E-03   0.165272E+01
    28   0.989125E+03   0.164765E-01   0.399697E-03   0.169716E+01
    29   0.100439E+04   0.186399E-01   0.428447E-03   0.174182E+01
    30   0.102010E+04   0.210023E-01   0.458208E-03   0.177750E+01
    31   0.103564E+04   0.235342E-01   0.488981E-03   0.181021E+01
    32   0.105183E+04   0.262319E-01   0.520767E-03   0.183072E+01
    33   0.106813E+04   0.290786E-01   0.553567E-03   0.183806E+01
    34   0.108450E+04   0.321274E-01   0.587380E-03   0.183539E+01
    35   0.110153E+04   0.353865E-01   0.622207E-03   0.181716E+01
    36   0.111832E+04   0.388773E-01   0.658047E-03   0.179628E+01
    37   0.113538E+04   0.426086E-01   0.694902E-03   0.176415E+01
    38   0.115283E+04   0.465587E-01   0.732770E-03   0.171992E+01
    39   0.117056E+04   0.507424E-01   0.771650E-03   0.166549E+01
    40   0.118848E+04   0.551862E-01   0.811544E-03   0.160242E+01
    41   0.120650E+04   0.599110E-01   0.852449E-03   0.153199E+01
    42   0.122463E+04   0.649140E-01   0.894365E-03   0.145417E+01
    43   0.124287E+04   0.701863E-01   0.937291E-03   0.136821E+01
    44   0.126129E+04   0.757170E-01   0.981227E-03   0.127177E+01
    45   0.127995E+04   0.814922E-01   0.102617E-02   0.116218E+01
    46   0.129882E+04   0.875009E-01   0.107212E-02   0.103778E+01
    47   0.131789E+04   0.937546E-01   0.111908E-02   0.898949E+00
