#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.995086E-05   0.202967E+08   0.202967E+08   0.270481E+08   0.270477E+08   0.000000E+00   0.202967E+08   0.202967E+08   0.203051E+08  -0.458758E+00   0.993596E+07   0.993596E+07   0.635344E+01
   0.109876E-04   0.202967E+08   0.202967E+08   0.270450E+08   0.270445E+08   0.000000E+00   0.202967E+08   0.202967E+08   0.203051E+08  -0.458758E+00   0.993596E+07   0.993596E+07   0.701518E+01
   0.121324E-04   0.202967E+08   0.202967E+08   0.270412E+08   0.270406E+08   0.000000E+00   0.202967E+08   0.202967E+08   0.203051E+08  -0.458758E+00   0.993596E+07   0.993596E+07   0.774578E+01
   0.133964E-04   0.202967E+08   0.202966E+08   0.270366E+08   0.270358E+08   0.000000E+00   0.202967E+08   0.202967E+08   0.203051E+08  -0.458758E+00   0.993595E+07   0.993595E+07   0.855241E+01
   0.147922E-04   0.202966E+08   0.202966E+08   0.270309E+08   0.270300E+08   0.000000E+00   0.202966E+08   0.202966E+08   0.203050E+08  -0.458757E+00   0.993594E+07   0.993594E+07   0.944294E+01
   0.163333E-04   0.202966E+08   0.202966E+08   0.270241E+08   0.270229E+08   0.000000E+00   0.202966E+08   0.202966E+08   0.203050E+08  -0.458757E+00   0.993594E+07   0.993594E+07   0.104261E+02
   0.180350E-04   0.202966E+08   0.202966E+08   0.270157E+08   0.270143E+08   0.000000E+00   0.202966E+08   0.202966E+08   0.203050E+08  -0.458756E+00   0.993593E+07   0.993593E+07   0.115114E+02
   0.199141E-04   0.202966E+08   0.202966E+08   0.270055E+08   0.270038E+08   0.000000E+00   0.202966E+08   0.202966E+08   0.203050E+08  -0.458756E+00   0.993592E+07   0.993592E+07   0.127095E+02
   0.219889E-04   0.202966E+08   0.202966E+08   0.269931E+08   0.269910E+08   0.000000E+00   0.202966E+08   0.202966E+08   0.203049E+08  -0.458755E+00   0.993590E+07   0.993590E+07   0.140319E+02
   0.242798E-04   0.202965E+08   0.202965E+08   0.269779E+08   0.269754E+08   0.000000E+00   0.202965E+08   0.202965E+08   0.203049E+08  -0.458754E+00   0.993588E+07   0.993588E+07   0.154916E+02
   0.268095E-04   0.202965E+08   0.202965E+08   0.269595E+08   0.269564E+08   0.000000E+00   0.202965E+08   0.202965E+08   0.203049E+08  -0.458752E+00   0.993586E+07   0.993586E+07   0.171025E+02
   0.296027E-04   0.202964E+08   0.202964E+08   0.269370E+08   0.269333E+08   0.000000E+00   0.202964E+08   0.202964E+08   0.203048E+08  -0.458751E+00   0.993584E+07   0.993584E+07   0.188803E+02
   0.326869E-04   0.202964E+08   0.202964E+08   0.269096E+08   0.269051E+08   0.000000E+00   0.202964E+08   0.202964E+08   0.203047E+08  -0.458749E+00   0.993581E+07   0.993581E+07   0.208418E+02
   0.360925E-04   0.202963E+08   0.202963E+08   0.268763E+08   0.268707E+08   0.000000E+00   0.202963E+08   0.202963E+08   0.203047E+08  -0.458747E+00   0.993577E+07   0.993577E+07   0.230057E+02
   0.398528E-04   0.202962E+08   0.202962E+08   0.268356E+08   0.268289E+08   0.000000E+00   0.202962E+08   0.202962E+08   0.203046E+08  -0.458744E+00   0.993573E+07   0.993572E+07   0.253925E+02
   0.440050E-04   0.202961E+08   0.202961E+08   0.267862E+08   0.267779E+08   0.000000E+00   0.202961E+08   0.202961E+08   0.203044E+08  -0.458741E+00   0.993567E+07   0.993567E+07   0.280244E+02
   0.485898E-04   0.202960E+08   0.202960E+08   0.267260E+08   0.267160E+08   0.000000E+00   0.202960E+08   0.202960E+08   0.203043E+08  -0.458737E+00   0.993560E+07   0.993560E+07   0.309259E+02
   0.536522E-04   0.202958E+08   0.202958E+08   0.266528E+08   0.266406E+08   0.000000E+00   0.202958E+08   0.202958E+08   0.203041E+08  -0.458732E+00   0.993552E+07   0.993552E+07   0.341233E+02
   0.592421E-04   0.202956E+08   0.202956E+08   0.265638E+08   0.265489E+08   0.000000E+00   0.202956E+08   0.202956E+08   0.203039E+08  -0.458726E+00   0.993542E+07   0.993542E+07   0.376454E+02
   0.654143E-04   0.202954E+08   0.202954E+08   0.264556E+08   0.264376E+08   0.000000E+00   0.202954E+08   0.202954E+08   0.203036E+08  -0.458719E+00   0.993530E+07   0.993529E+07   0.415230E+02
   0.722297E-04   0.202951E+08   0.202951E+08   0.263243E+08   0.263024E+08   0.000000E+00   0.202951E+08   0.202951E+08   0.203033E+08  -0.458710E+00   0.993515E+07   0.993514E+07   0.457894E+02
   0.797551E-04   0.202948E+08   0.202948E+08   0.261650E+08   0.261385E+08   0.000000E+00   0.202948E+08   0.202948E+08   0.203029E+08  -0.458699E+00   0.993497E+07   0.993496E+07   0.504796E+02
   0.880646E-04   0.202944E+08   0.202943E+08   0.259720E+08   0.259398E+08   0.000000E+00   0.202944E+08   0.202944E+08   0.203024E+08  -0.458686E+00   0.993475E+07   0.993474E+07   0.556310E+02
   0.972398E-04   0.202939E+08   0.202938E+08   0.257384E+08   0.256995E+08   0.000000E+00   0.202939E+08   0.202939E+08   0.203019E+08  -0.458670E+00   0.993448E+07   0.993447E+07   0.612821E+02
   0.107371E-03   0.202933E+08   0.202932E+08   0.254562E+08   0.254092E+08   0.000000E+00   0.202932E+08   0.202932E+08   0.203011E+08  -0.458651E+00   0.993416E+07   0.993414E+07   0.674725E+02
   0.118558E-03   0.202925E+08   0.202924E+08   0.251161E+08   0.250593E+08   0.000000E+00   0.202925E+08   0.202925E+08   0.203003E+08  -0.458628E+00   0.993376E+07   0.993374E+07   0.742418E+02
   0.130910E-03   0.202916E+08   0.202915E+08   0.247069E+08   0.246386E+08   0.000000E+00   0.202916E+08   0.202916E+08   0.202992E+08  -0.458599E+00   0.993328E+07   0.993325E+07   0.816281E+02
   0.144549E-03   0.202905E+08   0.202903E+08   0.242164E+08   0.241345E+08   0.000000E+00   0.202904E+08   0.202904E+08   0.202980E+08  -0.458564E+00   0.993269E+07   0.993265E+07   0.896664E+02
   0.159609E-03   0.202891E+08   0.202889E+08   0.236305E+08   0.235326E+08   0.000000E+00   0.202891E+08   0.202891E+08   0.202964E+08  -0.458522E+00   0.993197E+07   0.993193E+07   0.983859E+02
   0.176238E-03   0.202875E+08   0.202873E+08   0.229338E+08   0.228172E+08   0.000000E+00   0.202874E+08   0.202874E+08   0.202945E+08  -0.458472E+00   0.993110E+07   0.993105E+07   0.107807E+03
   0.194600E-03   0.202855E+08   0.202852E+08   0.221099E+08   0.219720E+08   0.000000E+00   0.202854E+08   0.202854E+08   0.202923E+08  -0.458410E+00   0.993005E+07   0.992998E+07   0.117936E+03
