#    L    TT             EE             BB             TE          
     2   0.243155E+04   0.660086E-01   0.238261E-01   0.562755E+01
     3   0.227268E+04   0.102935E+00   0.276264E-01   0.601806E+01
     4   0.216764E+04   0.115995E+00   0.273677E-01   0.591917E+01
     5   0.208673E+04   0.105595E+00   0.243196E-01   0.544894E+01
     6   0.202345E+04   0.817097E-01   0.199212E-01   0.481045E+01
     7   0.197333E+04   0.555387E-01   0.153541E-01   0.413833E+01
     8   0.193171E+04   0.345559E-01   0.113760E-01   0.350875E+01
     9   0.189669E+04   0.213023E-01   0.832463E-02   0.295862E+01
    10   0.186628E+04   0.146858E-01   0.624527E-02   0.250673E+01
    11   0.183925E+04   0.121304E-01   0.503391E-02   0.215912E+01
    12   0.181624E+04   0.113343E-01   0.451702E-02   0.191362E+01
    13   0.179299E+04   0.109647E-01   0.449585E-02   0.176081E+01
    14   0.176966E+04   0.106973E-01   0.481649E-02   0.166918E+01
    15   0.174694E+04   0.106555E-01   0.535236E-02   0.162361E+01
    16   0.172806E+04   0.110517E-01   0.601714E-02   0.161091E+01
    17   0.171171E+04   0.118617E-01   0.676360E-02   0.161971E+01
    18   0.169527E+04   0.129889E-01   0.755727E-02   0.164244E+01
    19   0.167949E+04   0.143126E-01   0.838355E-02   0.167709E+01
    20   0.166306E+04   0.157215E-01   0.923447E-02   0.171414E+01
    21   0.164682E+04   0.172474E-01   0.101089E-01   0.175529E+01
    22   0.163094E+04   0.189691E-01   0.110069E-01   0.180043E+01
    23   0.161518E+04   0.209401E-01   0.119260E-01   0.185435E+01
    24   0.160006E+04   0.231983E-01   0.128634E-01   0.192144E+01
    25   0.158581E+04   0.257135E-01   0.138176E-01   0.199508E+01
    26   0.157201E+04   0.284493E-01   0.147874E-01   0.207805E+01
    27   0.155908E+04   0.313887E-01   0.157722E-01   0.216883E+01
    28   0.154682E+04   0.345060E-01   0.167714E-01   0.225951E+01
    29   0.153514E+04   0.378213E-01   0.177840E-01   0.235019E+01
    30   0.152428E+04   0.413623E-01   0.188090E-01   0.242888E+01
    31   0.151379E+04   0.451328E-01   0.198468E-01   0.250134E+01
    32   0.150461E+04   0.491524E-01   0.208980E-01   0.255827E+01
    33   0.149624E+04   0.533584E-01   0.219613E-01   0.259683E+01
    34   0.148863E+04   0.577549E-01   0.230350E-01   0.261765E+01
    35   0.148245E+04   0.623555E-01   0.241156E-01   0.261192E+01
    36   0.147685E+04   0.671998E-01   0.252006E-01   0.259064E+01
