#           k/h    P           
    0.10000E-03    0.54029E+03
    0.10202E-03    0.55074E+03
    0.10408E-03    0.56139E+03
    0.10618E-03    0.57224E+03
    0.10833E-03    0.58331E+03
    0.11052E-03    0.59459E+03
    0.11275E-03    0.60608E+03
    0.11503E-03    0.61780E+03
    0.11735E-03    0.62974E+03
    0.11972E-03    0.64191E+03
    0.12214E-03    0.65431E+03
    0.12461E-03    0.66695E+03
    0.12712E-03    0.67983E+03
    0.12969E-03    0.69296E+03
    0.13231E-03    0.70635E+03
    0.13499E-03    0.71999E+03
    0.13771E-03    0.73389E+03
    0.14049E-03    0.74805E+03
    0.14333E-03    0.76249E+03
    0.14623E-03    0.77720E+03
    0.14918E-03    0.79220E+03
    0.15220E-03    0.80748E+03
    0.15527E-03    0.82305E+03
    0.15841E-03    0.83892E+03
    0.16161E-03    0.85509E+03
    0.16487E-03    0.87157E+03
    0.16820E-03    0.88836E+03
    0.17160E-03    0.90548E+03
    0.17507E-03    0.92292E+03
    0.17860E-03    0.94069E+03
    0.18221E-03    0.95879E+03
    0.18589E-03    0.97725E+03
    0.18965E-03    0.99605E+03
    0.19348E-03    0.10152E+04
    0.19739E-03    0.10347E+04
    0.20138E-03    0.10546E+04
    0.20544E-03    0.10749E+04
    0.20959E-03    0.10955E+04
    0.21383E-03    0.11166E+04
    0.21815E-03    0.11380E+04
    0.22255E-03    0.11598E+04
    0.22705E-03    0.11821E+04
    0.23164E-03    0.12047E+04
    0.23632E-03    0.12278E+04
    0.24109E-03    0.12514E+04
    0.24596E-03    0.12753E+04
    0.25093E-03    0.12997E+04
    0.25600E-03    0.13246E+04
    0.26117E-03    0.13499E+04
    0.26645E-03    0.13757E+04
    0.27183E-03    0.14020E+04
    0.27732E-03    0.14288E+04
    0.28292E-03    0.14561E+04
    0.28864E-03    0.14838E+04
    0.29447E-03    0.15121E+04
    0.30042E-03    0.15409E+04
    0.30649E-03    0.15703E+04
    0.31268E-03    0.16002E+04
    0.31899E-03    0.16306E+04
    0.32544E-03    0.16616E+04
    0.33201E-03    0.16932E+04
    0.33872E-03    0.17253E+04
    0.34556E-03    0.17580E+04
    0.35254E-03    0.17914E+04
    0.35966E-03    0.18253E+04
    0.36693E-03    0.18598E+04
    0.37434E-03    0.18950E+04
    0.38190E-03    0.19308E+04
    0.38962E-03    0.19673E+04
    0.39749E-03    0.20044E+04
    0.40552E-03    0.20423E+04
    0.41371E-03    0.20807E+04
    0.42207E-03    0.21199E+04
    0.43060E-03    0.21598E+04
    0.43929E-03    0.22004E+04
    0.44817E-03    0.22417E+04
    0.45722E-03    0.22838E+04
    0.46646E-03    0.23266E+04
    0.47588E-03    0.23702E+04
