#    L    TT             EE             TE             PP             TP          
     2   0.194360E+04   0.510823E-01   0.532581E+01   0.101763E+07   0.289159E+05
     3   0.188134E+04   0.835029E-01   0.642773E+01   0.156903E+07   0.356970E+05
     4   0.180155E+04   0.949971E-01   0.656453E+01   0.206228E+07   0.391982E+05
     5   0.173098E+04   0.859356E-01   0.614237E+01   0.250032E+07   0.408729E+05
     6   0.167242E+04   0.651914E-01   0.546351E+01   0.288898E+07   0.415386E+05
     7   0.162416E+04   0.427682E-01   0.471441E+01   0.323543E+07   0.415826E+05
     8   0.158285E+04   0.252371E-01   0.400283E+01   0.354554E+07   0.411581E+05
     9   0.154723E+04   0.146218E-01   0.338074E+01   0.382443E+07   0.403980E+05
    10   0.151563E+04   0.969137E-02   0.286990E+01   0.407554E+07   0.394841E+05
    11   0.148728E+04   0.796300E-02   0.247885E+01   0.430326E+07   0.385705E+05
    12   0.146339E+04   0.732907E-02   0.220814E+01   0.450839E+07   0.376645E+05
    13   0.143958E+04   0.670784E-02   0.203911E+01   0.469549E+07   0.367946E+05
    14   0.141552E+04   0.591681E-02   0.194530E+01   0.486455E+07   0.358989E+05
    15   0.139156E+04   0.521461E-02   0.190523E+01   0.501894E+07   0.350155E+05
    16   0.137121E+04   0.487515E-02   0.190637E+01   0.515914E+07   0.341225E+05
    17   0.135353E+04   0.490078E-02   0.193626E+01   0.528657E+07   0.332316E+05
    18   0.133615E+04   0.521299E-02   0.198515E+01   0.540290E+07   0.323652E+05
    19   0.131983E+04   0.569069E-02   0.204961E+01   0.550873E+07   0.315261E+05
    20   0.130320E+04   0.621903E-02   0.211913E+01   0.560458E+07   0.307122E+05
    21   0.128705E+04   0.683125E-02   0.219559E+01   0.569151E+07   0.299220E+05
    22   0.127147E+04   0.760854E-02   0.227917E+01   0.577059E+07   0.291538E+05
    23   0.125623E+04   0.860352E-02   0.237435E+01   0.584230E+07   0.284048E+05
    24   0.124179E+04   0.985381E-02   0.248507E+01   0.590705E+07   0.276736E+05
    25   0.122840E+04   0.113344E-01   0.260438E+01   0.596542E+07   0.269650E+05
    26   0.121563E+04   0.130156E-01   0.273473E+01   0.601800E+07   0.262847E+05
    27   0.120389E+04   0.148870E-01   0.287406E+01   0.606526E+07   0.256338E+05
    28   0.119296E+04   0.169260E-01   0.301412E+01   0.610756E+07   0.250116E+05
    29   0.118276E+04   0.191411E-01   0.315556E+01   0.614496E+07   0.244143E+05
    30   0.117352E+04   0.215488E-01   0.328692E+01   0.617758E+07   0.238384E+05
    31   0.116478E+04   0.241565E-01   0.341342E+01   0.620595E+07   0.232857E+05
    32   0.115751E+04   0.269899E-01   0.352510E+01   0.623064E+07   0.227578E+05
    33   0.115114E+04   0.299905E-01   0.361903E+01   0.625187E+07   0.222504E+05
    34   0.114565E+04   0.331648E-01   0.369587E+01   0.626978E+07   0.217571E+05
    35   0.114170E+04   0.365259E-01   0.374681E+01   0.628459E+07   0.212694E+05
    36   0.113846E+04   0.401128E-01   0.378269E+01   0.629652E+07   0.207824E+05
    37   0.113631E+04   0.439504E-01   0.379874E+01   0.630577E+07   0.203059E+05
    38   0.113521E+04   0.480297E-01   0.379820E+01   0.631251E+07   0.198512E+05
    39   0.113510E+04   0.523663E-01   0.378244E+01   0.631686E+07   0.194185E+05
    40   0.113601E+04   0.569848E-01   0.375135E+01   0.631895E+07   0.190053E+05
    41   0.113795E+04   0.619048E-01   0.370517E+01   0.631887E+07   0.186092E+05
    42   0.114090E+04   0.671265E-01   0.364550E+01   0.631677E+07   0.182276E+05
    43   0.114481E+04   0.726448E-01   0.357391E+01   0.631276E+07   0.178581E+05
    44   0.114971E+04   0.784524E-01   0.349034E+01   0.630698E+07   0.174984E+05
    45   0.115560E+04   0.845395E-01   0.339444E+01   0.629957E+07   0.171459E+05
    46   0.116242E+04   0.908972E-01   0.328614E+01   0.629063E+07   0.167989E+05
    47   0.117014E+04   0.975341E-01   0.316479E+01   0.628027E+07   0.164585E+05
    48   0.117875E+04   0.104456E+00   0.302955E+01   0.626857E+07   0.161267E+05
    49   0.118824E+04   0.111668E+00   0.287966E+01   0.625562E+07   0.158051E+05
    50   0.119868E+04   0.119186E+00   0.271447E+01   0.624152E+07   0.154956E+05
    51   0.121011E+04   0.127024E+00   0.253371E+01   0.622634E+07   0.151995E+05
    52   0.122247E+04   0.135186E+00   0.233817E+01   0.621015E+07   0.149148E+05
    53   0.123564E+04   0.143667E+00   0.212875E+01   0.619301E+07   0.146393E+05
    54   0.124957E+04   0.152466E+00   0.190546E+01   0.617496E+07   0.143704E+05
    55   0.126424E+04   0.161580E+00   0.166796E+01   0.615607E+07   0.141058E+05
    56   0.127971E+04   0.171004E+00   0.141520E+01   0.613639E+07   0.138438E+05
    57   0.129609E+04   0.180735E+00   0.114599E+01   0.611596E+07   0.135853E+05
    58   0.131333E+04   0.190776E+00   0.859727E+00   0.609481E+07   0.133320E+05
    59   0.133134E+04   0.201130E+00   0.556127E+00   0.607297E+07   0.130855E+05
    60   0.135009E+04   0.211793E+00   0.235310E+00   0.605049E+07   0.128475E+05
    61   0.136959E+04   0.222761E+00  -0.102467E+00   0.602739E+07   0.126192E+05
    62   0.138981E+04   0.234034E+00  -0.456769E+00   0.600373E+07   0.123997E+05
    63   0.141076E+04   0.245611E+00  -0.827130E+00   0.597955E+07   0.121876E+05
    64   0.143241E+04   0.257494E+00  -0.121308E+01   0.595493E+07   0.119815E+05
    65   0.145476E+04   0.269685E+00  -0.161419E+01   0.592990E+07   0.117800E+05
    66   0.147783E+04   0.282178E+00  -0.203025E+01   0.590452E+07   0.115819E+05
    67   0.150158E+04   0.294966E+00  -0.246087E+01   0.587882E+07   0.113872E+05
    68   0.152599E+04   0.308040E+00  -0.290565E+01   0.585282E+07   0.111959E+05
    69   0.155100E+04   0.321389E+00  -0.336422E+01   0.582655E+07   0.110082E+05
    70   0.157659E+04   0.335006E+00  -0.383638E+01   0.580005E+07   0.108241E+05
    71   0.160272E+04   0.348885E+00  -0.432222E+01   0.577332E+07   0.106440E+05
    72   0.162948E+04   0.363025E+00  -0.482262E+01   0.574638E+07   0.104686E+05
    73   0.165696E+04   0.377420E+00  -0.533848E+01   0.571924E+07   0.102987E+05
    74   0.168514E+04   0.392060E+00  -0.586962E+01   0.569189E+07   0.101353E+05
    75   0.171400E+04   0.406934E+00  -0.641552E+01   0.566435E+07   0.997916E+04
    76   0.174346E+04   0.422029E+00  -0.697558E+01   0.563663E+07   0.983082E+04
    77   0.177339E+04   0.437340E+00  -0.754834E+01   0.560873E+07   0.968873E+04
    78   0.180378E+04   0.452857E+00  -0.813333E+01   0.558069E+07   0.955092E+04
    79   0.183465E+04   0.468574E+00  -0.873039E+01   0.555253E+07   0.941542E+04
    80   0.186605E+04   0.484483E+00  -0.933949E+01   0.552427E+07   0.928027E+04
    81   0.189797E+04   0.500577E+00  -0.996040E+01   0.549593E+07   0.914441E+04
    82   0.193042E+04   0.516845E+00  -0.105927E+02   0.546754E+07   0.901052E+04
    83   0.196339E+04   0.533273E+00  -0.112361E+02   0.543910E+07   0.888220E+04
    84   0.199685E+04   0.549850E+00  -0.118900E+02   0.541063E+07   0.876306E+04
    85   0.203080E+04   0.566561E+00  -0.125542E+02   0.538216E+07   0.865671E+04
    86   0.206522E+04   0.583397E+00  -0.132282E+02   0.535368E+07   0.856376E+04
    87   0.210007E+04   0.600345E+00  -0.139114E+02   0.532523E+07   0.847295E+04
    88   0.213532E+04   0.617395E+00  -0.146031E+02   0.529679E+07   0.837003E+04
    89   0.217095E+04   0.634537E+00  -0.153030E+02   0.526839E+07   0.824075E+04
    90   0.220698E+04   0.651757E+00  -0.160107E+02   0.524002E+07   0.807087E+04
    91   0.224338E+04   0.669041E+00  -0.167255E+02   0.521169E+07   0.784937E+04
    92   0.228016E+04   0.686377E+00  -0.174474E+02   0.518341E+07   0.757812E+04
    93   0.231732E+04   0.703749E+00  -0.181758E+02   0.515519E+07   0.726222E+04
    94   0.235486E+04   0.721144E+00  -0.189105E+02   0.512703E+07   0.690677E+04
    95   0.239277E+04   0.738548E+00  -0.196510E+02   0.509893E+07   0.651686E+04
    96   0.243105E+04   0.755947E+00  -0.203969E+02   0.507090E+07   0.609759E+04
    97   0.246969E+04   0.773325E+00  -0.211477E+02   0.504295E+07   0.565406E+04
    98   0.250870E+04   0.790667E+00  -0.219030E+02   0.501507E+07   0.519136E+04
    99   0.254805E+04   0.807959E+00  -0.226624E+02   0.498728E+07   0.471461E+04
   100   0.258773E+04   0.825190E+00  -0.234253E+02   0.495958E+07   0.422888E+04
   101   0.262775E+04   0.842344E+00  -0.241913E+02   0.493198E+07   0.373929E+04
   102   0.266810E+04   0.859400E+00  -0.249600E+02   0.490447E+07   0.325093E+04
   103   0.270876E+04   0.876357E+00  -0.257307E+02   0.487707E+07   0.276889E+04
   104   0.274971E+04   0.893187E+00  -0.265029E+02   0.484978E+07   0.229828E+04
   105   0.279095E+04   0.909881E+00  -0.272763E+02   0.482261E+07   0.184419E+04
   106   0.283247E+04   0.926425E+00  -0.280500E+02   0.479555E+07   0.141172E+04
   107   0.287425E+04   0.942813E+00  -0.288236E+02   0.476862E+07   0.100597E+04
   108   0.291627E+04   0.959020E+00  -0.295967E+02   0.474183E+07   0.632031E+03
   109   0.295854E+04   0.975041E+00  -0.303685E+02   0.471516E+07   0.295009E+03
   110   0.300102E+04   0.990853E+00  -0.311386E+02   0.468864E+07   0.000000E+00
   111   0.304372E+04   0.100645E+01  -0.319065E+02   0.466226E+07  -0.249246E+03
   112   0.308663E+04   0.102182E+01  -0.326715E+02   0.463603E+07  -0.454365E+03
   113   0.312972E+04   0.103694E+01  -0.334331E+02   0.460994E+07  -0.618338E+03
   114   0.317301E+04   0.105179E+01  -0.341906E+02   0.458400E+07  -0.744147E+03
   115   0.321647E+04   0.106637E+01  -0.349435E+02   0.455821E+07  -0.834773E+03
   116   0.326010E+04   0.108066E+01  -0.356912E+02   0.453257E+07  -0.893200E+03
   117   0.330388E+04   0.109464E+01  -0.364331E+02   0.450708E+07  -0.922408E+03
   118   0.334781E+04   0.110830E+01  -0.371686E+02   0.448174E+07  -0.925379E+03
   119   0.339188E+04   0.112164E+01  -0.378971E+02   0.445655E+07  -0.905096E+03
   120   0.343607E+04   0.113463E+01  -0.386181E+02   0.443151E+07  -0.864541E+03
   121   0.348038E+04   0.114726E+01  -0.393309E+02   0.440662E+07  -0.806694E+03
   122   0.352479E+04   0.115952E+01  -0.400351E+02   0.438189E+07  -0.734539E+03
   123   0.356929E+04   0.117141E+01  -0.407299E+02   0.435731E+07  -0.651056E+03
   124   0.361387E+04   0.118289E+01  -0.414148E+02   0.433288E+07  -0.559228E+03
   125   0.365852E+04   0.119398E+01  -0.420893E+02   0.430861E+07  -0.462038E+03
   126   0.370323E+04   0.120465E+01  -0.427529E+02   0.428449E+07  -0.362465E+03
   127   0.374798E+04   0.121491E+01  -0.434048E+02   0.426053E+07  -0.263493E+03
   128   0.379276E+04   0.122472E+01  -0.440447E+02   0.423673E+07  -0.168104E+03
   129   0.383758E+04   0.123410E+01  -0.446720E+02   0.421308E+07  -0.792790E+02
   130   0.388240E+04   0.124303E+01  -0.452860E+02   0.418960E+07   0.000000E+00
   131   0.392721E+04   0.125149E+01  -0.458863E+02   0.416627E+07   0.673773E+02
   132   0.397203E+04   0.125950E+01  -0.464722E+02   0.414310E+07   0.123003E+03
   133   0.401682E+04   0.126702E+01  -0.470434E+02   0.412008E+07   0.167654E+03
   134   0.406159E+04   0.127407E+01  -0.475992E+02   0.409723E+07   0.202106E+03
   135   0.410632E+04   0.128062E+01  -0.481393E+02   0.407453E+07   0.227137E+03
   136   0.415102E+04   0.128667E+01  -0.486629E+02   0.405199E+07   0.243522E+03
   137   0.419566E+04   0.129222E+01  -0.491696E+02   0.402961E+07   0.252038E+03
   138   0.424024E+04   0.129725E+01  -0.496589E+02   0.400738E+07   0.253462E+03
   139   0.428475E+04   0.130177E+01  -0.501305E+02   0.398531E+07   0.248570E+03
   140   0.432919E+04   0.130577E+01  -0.505837E+02   0.396340E+07   0.238138E+03
   141   0.437354E+04   0.130926E+01  -0.510183E+02   0.394164E+07   0.222944E+03
   142   0.441780E+04   0.131221E+01  -0.514337E+02   0.392003E+07   0.203764E+03
   143   0.446196E+04   0.131463E+01  -0.518294E+02   0.389858E+07   0.181374E+03
   144   0.450600E+04   0.131652E+01  -0.522051E+02   0.387729E+07   0.156551E+03
   145   0.454993E+04   0.131788E+01  -0.525602E+02   0.385615E+07   0.130071E+03
   146   0.459371E+04   0.131870E+01  -0.528944E+02   0.383516E+07   0.102711E+03
   147   0.463733E+04   0.131900E+01  -0.532071E+02   0.381433E+07   0.752471E+02
   148   0.468078E+04   0.131877E+01  -0.534979E+02   0.379365E+07   0.484564E+02
   149   0.472404E+04   0.131801E+01  -0.537665E+02   0.377312E+07   0.231152E+02
   150   0.476711E+04   0.131672E+01  -0.540123E+02   0.375275E+07   0.000000E+00
   151   0.480996E+04   0.131491E+01  -0.542349E+02   0.373253E+07  -0.202674E+02
   152   0.485259E+04   0.131258E+01  -0.544340E+02   0.371246E+07  -0.376838E+02
   153   0.489499E+04   0.130973E+01  -0.546092E+02   0.369254E+07  -0.524009E+02
   154   0.493715E+04   0.130638E+01  -0.547602E+02   0.367277E+07  -0.645701E+02
   155   0.497907E+04   0.130252E+01  -0.548866E+02   0.365315E+07  -0.743431E+02
   156   0.502076E+04   0.129816E+01  -0.549881E+02   0.363367E+07  -0.818714E+02
   157   0.506219E+04   0.129330E+01  -0.550644E+02   0.361435E+07  -0.873065E+02
   158   0.510336E+04   0.128797E+01  -0.551151E+02   0.359517E+07  -0.908001E+02
   159   0.514427E+04   0.128215E+01  -0.551398E+02   0.357613E+07  -0.925038E+02
   160   0.518489E+04   0.127586E+01  -0.551385E+02   0.355724E+07  -0.925689E+02
   161   0.522521E+04   0.126912E+01  -0.551106E+02   0.353849E+07  -0.911473E+02
   162   0.526522E+04   0.126193E+01  -0.550559E+02   0.351988E+07  -0.883903E+02
   163   0.530492E+04   0.125431E+01  -0.549741E+02   0.350142E+07  -0.844496E+02
   164   0.534426E+04   0.124626E+01  -0.548650E+02   0.348309E+07  -0.794767E+02
   165   0.538327E+04   0.123779E+01  -0.547282E+02   0.346491E+07  -0.736233E+02
   166   0.542191E+04   0.122892E+01  -0.545636E+02   0.344686E+07  -0.670408E+02
