#    L    TT             EE             BB             TE          
     2    0.71857E+04    0.38487E-01    0.61677E-05    0.10808E+02
     3    0.73060E+04    0.66430E-01    0.12336E-04    0.12878E+02
     4    0.73514E+04    0.82657E-01    0.20563E-04    0.13426E+02
     5    0.73924E+04    0.84011E-01    0.30848E-04    0.13050E+02
     6    0.74388E+04    0.73408E-01    0.43195E-04    0.12197E+02
     7    0.74914E+04    0.56583E-01    0.57604E-04    0.11154E+02
     8    0.75401E+04    0.39169E-01    0.74078E-04    0.10084E+02
     9    0.75854E+04    0.24927E-01    0.92619E-04    0.90910E+01
    10    0.76217E+04    0.15321E-01    0.11323E-03    0.82140E+01
    11    0.76552E+04    0.99647E-02    0.13591E-03    0.74713E+01
    12    0.76899E+04    0.76169E-02    0.16068E-03    0.68605E+01
    13    0.77124E+04    0.66369E-02    0.18752E-03    0.63714E+01
    14    0.77123E+04    0.62133E-02    0.21644E-03    0.59921E+01
    15    0.77036E+04    0.59735E-02    0.24745E-03    0.57121E+01
    16    0.77014E+04    0.57088E-02    0.28055E-03    0.55207E+01
    17    0.77002E+04    0.56457E-02    0.31574E-03    0.54024E+01
    18    0.76909E+04    0.58820E-02    0.35303E-03    0.53453E+01
    19    0.76734E+04    0.64128E-02    0.39243E-03    0.53488E+01
    20    0.76472E+04    0.72428E-02    0.43393E-03    0.54113E+01
    21    0.76140E+04    0.82508E-02    0.47753E-03    0.55282E+01
    22    0.75753E+04    0.93965E-02    0.52326E-03    0.56943E+01
    23    0.75317E+04    0.10729E-01    0.57109E-03    0.59098E+01
    24    0.74842E+04    0.12281E-01    0.62105E-03    0.61761E+01
    25    0.74332E+04    0.14106E-01    0.67313E-03    0.64928E+01
    26    0.73794E+04    0.16212E-01    0.72733E-03    0.68596E+01
    27    0.73238E+04    0.18556E-01    0.78367E-03    0.72717E+01
    28    0.72666E+04    0.21097E-01    0.84213E-03    0.77234E+01
    29    0.72076E+04    0.23745E-01    0.90273E-03    0.82049E+01
    30    0.71465E+04    0.26429E-01    0.96547E-03    0.87053E+01
    31    0.70837E+04    0.29179E-01    0.10303E-02    0.92218E+01
    32    0.70207E+04    0.32044E-01    0.10973E-02    0.97502E+01
    33    0.69576E+04    0.35104E-01    0.11665E-02    0.10274E+02
    34    0.68946E+04    0.38448E-01    0.12378E-02    0.10779E+02
    35    0.68320E+04    0.42124E-01    0.13112E-02    0.11261E+02
    36    0.67701E+04    0.46166E-01    0.13868E-02    0.11720E+02
    37    0.67089E+04    0.50549E-01    0.14645E-02    0.12145E+02
    38    0.66486E+04    0.55241E-01    0.15444E-02    0.12526E+02
    39    0.65896E+04    0.60207E-01    0.16264E-02    0.12861E+02
    40    0.65317E+04    0.65419E-01    0.17105E-02    0.13151E+02
    41    0.64754E+04    0.70866E-01    0.17968E-02    0.13395E+02
    42    0.64206E+04    0.76579E-01    0.18852E-02    0.13595E+02
    43    0.63673E+04    0.82599E-01    0.19757E-02    0.13752E+02
    44    0.63156E+04    0.88955E-01    0.20684E-02    0.13869E+02
    45    0.62658E+04    0.95685E-01    0.21632E-02    0.13948E+02
    46    0.62178E+04    0.10282E+00    0.22601E-02    0.13990E+02
    47    0.61717E+04    0.11036E+00    0.23591E-02    0.13999E+02
    48    0.61273E+04    0.11832E+00    0.24603E-02    0.13982E+02
    49    0.60848E+04    0.12666E+00    0.25635E-02    0.13945E+02
    50    0.60446E+04    0.13536E+00    0.26689E-02    0.13888E+02
    51    0.60063E+04    0.14439E+00    0.27764E-02    0.13808E+02
    52    0.59703E+04    0.15382E+00    0.28860E-02    0.13703E+02
    53    0.59362E+04    0.16381E+00    0.29977E-02    0.13570E+02
    54    0.59038E+04    0.17435E+00    0.31114E-02    0.13415E+02
    55    0.58735E+04    0.18540E+00    0.32273E-02    0.13244E+02
    56    0.58453E+04    0.19682E+00    0.33452E-02    0.13057E+02
    57    0.58192E+04    0.20851E+00    0.34653E-02    0.12851E+02
    58    0.57952E+04    0.22051E+00    0.35874E-02    0.12623E+02
    59    0.57731E+04    0.23286E+00    0.37115E-02    0.12371E+02
    60    0.57530E+04    0.24562E+00    0.38377E-02    0.12092E+02
    61    0.57351E+04    0.25891E+00    0.39660E-02    0.11786E+02
    62    0.57188E+04    0.27271E+00    0.40964E-02    0.11452E+02
    63    0.57043E+04    0.28699E+00    0.42288E-02    0.11089E+02
    64    0.56919E+04    0.30175E+00    0.43632E-02    0.10696E+02
    65    0.56812E+04    0.31697E+00    0.44997E-02    0.10274E+02
    66    0.56725E+04    0.33258E+00    0.46382E-02    0.98234E+01
    67    0.56657E+04    0.34859E+00    0.47788E-02    0.93479E+01
    68    0.56609E+04    0.36506E+00    0.49214E-02    0.88488E+01
    69    0.56581E+04    0.38197E+00    0.50660E-02    0.83273E+01
    70    0.56573E+04    0.39936E+00    0.52126E-02    0.77817E+01
    71    0.56582E+04    0.41723E+00    0.53613E-02    0.72093E+01
    72    0.56610E+04    0.43556E+00    0.55119E-02    0.66086E+01
    73    0.56655E+04    0.45432E+00    0.56646E-02    0.59789E+01
    74    0.56716E+04    0.47348E+00    0.58193E-02    0.53211E+01
    75    0.56793E+04    0.49306E+00    0.59760E-02    0.46367E+01
    76    0.56886E+04    0.51306E+00    0.61347E-02    0.39262E+01
    77    0.56995E+04    0.53348E+00    0.62954E-02    0.31903E+01
    78    0.57121E+04    0.55435E+00    0.64580E-02    0.24280E+01
    79    0.57263E+04    0.57563E+00    0.66227E-02    0.16435E+01
