#    L    TT             EE             BB             TE             PP             TP             EP          
     2    0.76855E+04    0.50146E-01    0.18079E-01    0.10960E+02    0.49837E-07    0.18865E-02   -0.12836E-04
     3    0.77062E+04    0.83072E-01    0.22166E-01    0.12320E+02    0.61655E-07    0.24103E-02   -0.16075E-04
     4    0.77253E+04    0.10238E+00    0.23493E-01    0.12593E+02    0.71968E-07    0.26512E-02   -0.17043E-04
     5    0.77551E+04    0.10442E+00    0.22514E-01    0.12128E+02    0.81143E-07    0.27647E-02   -0.16266E-04
     6    0.77959E+04    0.92510E-01    0.20007E-01    0.11292E+02    0.89400E-07    0.28210E-02   -0.14224E-04
     7    0.78457E+04    0.73155E-01    0.16761E-01    0.10322E+02    0.96891E-07    0.28391E-02   -0.11423E-04
     8    0.78933E+04    0.52663E-01    0.13448E-01    0.93461E+01    0.10371E-06    0.28187E-02   -0.82573E-05
     9    0.79384E+04    0.35418E-01    0.10511E-01    0.84499E+01    0.10995E-06    0.27665E-02   -0.50071E-05
    10    0.79751E+04    0.23284E-01    0.81461E-02    0.76637E+01    0.11567E-06    0.27063E-02   -0.19822E-05
    11    0.80094E+04    0.16070E-01    0.64242E-02    0.69997E+01    0.12096E-06    0.26571E-02    0.45053E-06
    12    0.80444E+04    0.12548E-01    0.53221E-02    0.64512E+01    0.12583E-06    0.26156E-02    0.20354E-05
    13    0.80672E+04    0.10978E-01    0.47441E-02    0.60087E+01    0.13033E-06    0.25729E-02    0.29269E-05
    14    0.80677E+04    0.10426E-01    0.45815E-02    0.56615E+01    0.13451E-06    0.25228E-02    0.33295E-05
    15    0.80602E+04    0.10392E-01    0.47299E-02    0.54008E+01    0.13838E-06    0.24684E-02    0.32875E-05
    16    0.80594E+04    0.10549E-01    0.50937E-02    0.52179E+01    0.14199E-06    0.24143E-02    0.28160E-05
    17    0.80597E+04    0.11043E-01    0.56076E-02    0.50989E+01    0.14534E-06    0.23625E-02    0.19723E-05
    18    0.80515E+04    0.11910E-01    0.62188E-02    0.50335E+01    0.14848E-06    0.23138E-02    0.88552E-06
    19    0.80349E+04    0.13117E-01    0.68954E-02    0.50231E+01    0.15140E-06    0.22664E-02   -0.69522E-07
    20    0.80092E+04    0.14648E-01    0.76138E-02    0.50674E+01    0.15411E-06    0.22184E-02   -0.56549E-06
    21    0.79763E+04    0.16379E-01    0.83635E-02    0.51622E+01    0.15664E-06    0.21717E-02   -0.69259E-06
    22    0.79377E+04    0.18269E-01    0.91377E-02    0.53022E+01    0.15901E-06    0.21280E-02   -0.61916E-06
    23    0.78940E+04    0.20372E-01    0.99326E-02    0.54881E+01    0.16122E-06    0.20863E-02   -0.41974E-06
    24    0.78462E+04    0.22725E-01    0.10746E-01    0.57219E+01    0.16329E-06    0.20451E-02   -0.12004E-06
    25    0.77948E+04    0.25378E-01    0.11577E-01    0.60035E+01    0.16521E-06    0.20040E-02    0.35444E-06
    26    0.77405E+04    0.28334E-01    0.12426E-01    0.63331E+01    0.16701E-06    0.19634E-02    0.10464E-05
    27    0.76841E+04    0.31547E-01    0.13292E-01    0.67065E+01    0.16870E-06    0.19241E-02    0.17744E-05
    28    0.76261E+04    0.34979E-01    0.14172E-01    0.71183E+01    0.17027E-06    0.18869E-02    0.23335E-05
    29    0.75662E+04    0.38535E-01    0.15065E-01    0.75581E+01    0.17173E-06    0.18512E-02    0.26439E-05
    30    0.75039E+04    0.42142E-01    0.15972E-01    0.80150E+01    0.17309E-06    0.18161E-02    0.26811E-05
    31    0.74399E+04    0.45825E-01    0.16890E-01    0.84865E+01    0.17434E-06    0.17817E-02    0.25166E-05
    32    0.73755E+04    0.49632E-01    0.17820E-01    0.89690E+01    0.17551E-06    0.17486E-02    0.22233E-05
    33    0.73110E+04    0.53650E-01    0.18761E-01    0.94460E+01    0.17659E-06    0.17168E-02    0.17848E-05
    34    0.72464E+04    0.57975E-01    0.19711E-01    0.99023E+01    0.17760E-06    0.16864E-02    0.11770E-05
    35    0.71822E+04    0.62655E-01    0.20670E-01    0.10336E+02    0.17853E-06    0.16573E-02    0.43248E-06
    36    0.71185E+04    0.67717E-01    0.21641E-01    0.10745E+02    0.17939E-06    0.16296E-02   -0.37982E-06
    37    0.70553E+04    0.73131E-01    0.22620E-01    0.11119E+02    0.18019E-06    0.16025E-02   -0.11028E-05
    38    0.69931E+04    0.78859E-01    0.23606E-01    0.11450E+02    0.18092E-06    0.15753E-02   -0.15948E-05
    39    0.69320E+04    0.84871E-01    0.24599E-01    0.11735E+02    0.18159E-06    0.15482E-02   -0.18633E-05
    40    0.68720E+04    0.91143E-01    0.25598E-01    0.11974E+02    0.18221E-06    0.15220E-02   -0.19524E-05
    41    0.68134E+04    0.97665E-01    0.26602E-01    0.12168E+02    0.18276E-06    0.14969E-02   -0.19033E-05
    42    0.67562E+04    0.10447E+00    0.27610E-01    0.12316E+02    0.18327E-06    0.14729E-02   -0.17462E-05
    43    0.67005E+04    0.11159E+00    0.28621E-01    0.12421E+02    0.18372E-06    0.14496E-02   -0.15084E-05
    44    0.66462E+04    0.11906E+00    0.29635E-01    0.12486E+02    0.18412E-06    0.14265E-02   -0.12171E-05
    45    0.65938E+04    0.12691E+00    0.30652E-01    0.12513E+02    0.18448E-06    0.14034E-02   -0.89950E-06
    46    0.65432E+04    0.13517E+00    0.31670E-01    0.12503E+02    0.18480E-06    0.13800E-02   -0.58178E-06
    47    0.64943E+04    0.14385E+00    0.32687E-01    0.12461E+02    0.18508E-06    0.13565E-02   -0.28703E-06
    48    0.64471E+04    0.15294E+00    0.33704E-01    0.12393E+02    0.18532E-06    0.13332E-02   -0.37521E-07
    49    0.64017E+04    0.16242E+00    0.34719E-01    0.12306E+02    0.18552E-06    0.13105E-02    0.14453E-06
    50    0.63585E+04    0.17228E+00    0.35730E-01    0.12198E+02    0.18569E-06    0.12887E-02    0.23697E-06
    51    0.63172E+04    0.18246E+00    0.36736E-01    0.12069E+02    0.18582E-06    0.12681E-02    0.22780E-06
    52    0.62781E+04    0.19306E+00    0.37737E-01    0.11915E+02    0.18592E-06    0.12485E-02    0.14561E-06
    53    0.62408E+04    0.20421E+00    0.38732E-01    0.11734E+02    0.18600E-06    0.12298E-02    0.29054E-07
    54    0.62052E+04    0.21591E+00    0.39719E-01    0.11531E+02    0.18604E-06    0.12119E-02   -0.83316E-07
    55    0.61716E+04    0.22813E+00    0.40699E-01    0.11313E+02    0.18606E-06    0.11947E-02   -0.15302E-06
    56    0.61400E+04    0.24071E+00    0.41670E-01    0.11079E+02    0.18605E-06    0.11779E-02   -0.15388E-06
    57    0.61106E+04    0.25357E+00    0.42632E-01    0.10828E+02    0.18602E-06    0.11615E-02   -0.10860E-06
    58    0.60832E+04    0.26673E+00    0.43583E-01    0.10556E+02    0.18596E-06    0.11453E-02   -0.52047E-07
    59    0.60576E+04    0.28023E+00    0.44523E-01    0.10261E+02    0.18588E-06    0.11293E-02   -0.19027E-07
    60    0.60340E+04    0.29416E+00    0.45451E-01    0.99398E+01    0.18577E-06    0.11132E-02   -0.44284E-07
    61    0.60125E+04    0.30860E+00    0.46366E-01    0.95923E+01    0.18565E-06    0.10970E-02   -0.15220E-06
    62    0.59926E+04    0.32356E+00    0.47267E-01    0.92175E+01    0.18550E-06    0.10809E-02   -0.32588E-06
    63    0.59744E+04    0.33898E+00    0.48154E-01    0.88148E+01    0.18533E-06    0.10649E-02   -0.53815E-06
    64    0.59584E+04    0.35488E+00    0.49026E-01    0.83837E+01    0.18514E-06    0.10493E-02   -0.76189E-06
    65    0.59440E+04    0.37123E+00    0.49883E-01    0.79240E+01    0.18494E-06    0.10341E-02   -0.97001E-06
    66    0.59316E+04    0.38796E+00    0.50723E-01    0.74380E+01    0.18472E-06    0.10194E-02   -0.11387E-05
    67    0.59210E+04    0.40509E+00    0.51548E-01    0.69282E+01    0.18449E-06    0.10053E-02   -0.12569E-05
    68    0.59124E+04    0.42267E+00    0.52355E-01    0.63961E+01    0.18424E-06    0.99179E-03   -0.13168E-05
    69    0.59058E+04    0.44066E+00    0.53144E-01    0.58430E+01    0.18398E-06    0.97872E-03   -0.13107E-05
    70    0.59011E+04    0.45914E+00    0.53915E-01    0.52670E+01    0.18371E-06    0.96610E-03   -0.12308E-05
    71    0.58983E+04    0.47808E+00    0.54666E-01    0.46653E+01    0.18343E-06    0.95388E-03   -0.10754E-05
    72    0.58972E+04    0.49748E+00    0.55399E-01    0.40366E+01    0.18313E-06    0.94201E-03   -0.86700E-06
    73    0.58978E+04    0.51729E+00    0.56112E-01    0.33803E+01    0.18282E-06    0.93043E-03   -0.63433E-06
    74    0.59000E+04    0.53749E+00    0.56806E-01    0.26974E+01    0.18250E-06    0.91909E-03   -0.40599E-06
    75    0.59038E+04    0.55810E+00    0.57481E-01    0.19893E+01    0.18217E-06    0.90793E-03   -0.21053E-06
    76    0.59092E+04    0.57911E+00    0.58136E-01    0.12568E+01    0.18183E-06    0.89689E-03   -0.71350E-07
    77    0.59162E+04    0.60052E+00    0.58770E-01    0.50036E+00    0.18148E-06    0.88594E-03    0.87861E-08
    78    0.59249E+04    0.62238E+00    0.59384E-01   -0.28089E+00    0.18111E-06    0.87506E-03    0.32269E-07
    79    0.59351E+04    0.64462E+00    0.59975E-01   -0.10828E+01    0.18074E-06    0.86421E-03    0.14850E-08
    80    0.59472E+04    0.66726E+00    0.60544E-01   -0.19063E+01    0.18036E-06    0.85336E-03   -0.81185E-07
    81    0.59609E+04    0.69026E+00    0.61088E-01   -0.27515E+01    0.17997E-06    0.84250E-03   -0.21076E-06
    82    0.59763E+04    0.71364E+00    0.61609E-01   -0.36177E+01    0.17957E-06    0.83167E-03   -0.37181E-06
    83    0.59932E+04    0.73739E+00    0.62107E-01   -0.45048E+01    0.17917E-06    0.82095E-03   -0.54633E-06
    84    0.60118E+04    0.76150E+00    0.62581E-01   -0.54111E+01    0.17876E-06    0.81041E-03   -0.71634E-06
    85    0.60317E+04    0.78596E+00    0.63033E-01   -0.63380E+01    0.17834E-06    0.80010E-03   -0.86384E-06
    86    0.60529E+04    0.81079E+00    0.63462E-01   -0.72846E+01    0.17792E-06    0.79008E-03   -0.97500E-06
    87    0.60757E+04    0.83594E+00    0.63867E-01   -0.82501E+01    0.17749E-06    0.78034E-03   -0.10525E-05
    88    0.60997E+04    0.86146E+00    0.64249E-01   -0.92343E+01    0.17706E-06    0.77088E-03   -0.11032E-05
    89    0.61251E+04    0.88732E+00    0.64607E-01   -0.10239E+02    0.17662E-06    0.76166E-03   -0.11338E-05
    90    0.61519E+04    0.91349E+00    0.64940E-01   -0.11260E+02    0.17618E-06    0.75268E-03   -0.11511E-05
    91    0.61800E+04    0.93998E+00    0.65249E-01   -0.12299E+02    0.17573E-06    0.74392E-03   -0.11609E-05
