#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.106175E-04   0.212216E+08   0.212216E+08   0.282820E+08   0.282817E+08   0.000000E+00   0.212216E+08   0.212216E+08   0.212304E+08  -0.455788E+00   0.950569E+07   0.950569E+07   0.490875E+01
   0.117345E-04   0.212215E+08   0.212215E+08   0.282789E+08   0.282785E+08   0.000000E+00   0.212215E+08   0.212215E+08   0.212303E+08  -0.455785E+00   0.950580E+07   0.950580E+07   0.542501E+01
   0.129691E-04   0.212213E+08   0.212213E+08   0.282750E+08   0.282745E+08   0.000000E+00   0.212213E+08   0.212213E+08   0.212301E+08  -0.455782E+00   0.950593E+07   0.950593E+07   0.599553E+01
   0.143335E-04   0.212211E+08   0.212211E+08   0.282703E+08   0.282697E+08   0.000000E+00   0.212211E+08   0.212211E+08   0.212299E+08  -0.455777E+00   0.950610E+07   0.950609E+07   0.662598E+01
   0.158414E-04   0.212209E+08   0.212209E+08   0.282646E+08   0.282638E+08   0.000000E+00   0.212209E+08   0.212209E+08   0.212297E+08  -0.455772E+00   0.950629E+07   0.950629E+07   0.732266E+01
   0.175080E-04   0.212206E+08   0.212206E+08   0.282576E+08   0.282567E+08   0.000000E+00   0.212206E+08   0.212206E+08   0.212294E+08  -0.455766E+00   0.950654E+07   0.950654E+07   0.809249E+01
   0.193499E-04   0.212202E+08   0.212202E+08   0.282490E+08   0.282479E+08   0.000000E+00   0.212202E+08   0.212202E+08   0.212290E+08  -0.455758E+00   0.950683E+07   0.950683E+07   0.894312E+01
   0.213856E-04   0.212198E+08   0.212198E+08   0.282386E+08   0.282372E+08   0.000000E+00   0.212198E+08   0.212198E+08   0.212286E+08  -0.455749E+00   0.950719E+07   0.950719E+07   0.988298E+01
   0.236355E-04   0.212193E+08   0.212193E+08   0.282258E+08   0.282242E+08   0.000000E+00   0.212193E+08   0.212193E+08   0.212281E+08  -0.455738E+00   0.950763E+07   0.950763E+07   0.109214E+02
   0.261221E-04   0.212186E+08   0.212186E+08   0.282103E+08   0.282082E+08   0.000000E+00   0.212186E+08   0.212186E+08   0.212274E+08  -0.455724E+00   0.950817E+07   0.950817E+07   0.120685E+02
   0.288702E-04   0.212179E+08   0.212179E+08   0.281913E+08   0.281888E+08   0.000000E+00   0.212179E+08   0.212179E+08   0.212266E+08  -0.455707E+00   0.950883E+07   0.950883E+07   0.133357E+02
   0.319075E-04   0.212169E+08   0.212169E+08   0.281681E+08   0.281650E+08   0.000000E+00   0.212169E+08   0.212169E+08   0.212257E+08  -0.455686E+00   0.950963E+07   0.950963E+07   0.147354E+02
   0.352644E-04   0.212158E+08   0.212157E+08   0.281397E+08   0.281360E+08   0.000000E+00   0.212158E+08   0.212158E+08   0.212245E+08  -0.455661E+00   0.951061E+07   0.951061E+07   0.162811E+02
   0.389743E-04   0.212143E+08   0.212143E+08   0.281052E+08   0.281007E+08   0.000000E+00   0.212143E+08   0.212143E+08   0.212231E+08  -0.455630E+00   0.951181E+07   0.951181E+07   0.179880E+02
   0.430746E-04   0.212126E+08   0.212126E+08   0.280630E+08   0.280575E+08   0.000000E+00   0.212126E+08   0.212126E+08   0.212213E+08  -0.455593E+00   0.951327E+07   0.951326E+07   0.198722E+02
   0.476063E-04   0.212105E+08   0.212105E+08   0.280116E+08   0.280049E+08   0.000000E+00   0.212105E+08   0.212105E+08   0.212192E+08  -0.455547E+00   0.951505E+07   0.951504E+07   0.219519E+02
   0.526147E-04   0.212079E+08   0.212079E+08   0.279490E+08   0.279407E+08   0.000000E+00   0.212079E+08   0.212079E+08   0.212166E+08  -0.455491E+00   0.951722E+07   0.951721E+07   0.242465E+02
   0.581500E-04   0.212048E+08   0.212047E+08   0.278726E+08   0.278626E+08   0.000000E+00   0.212048E+08   0.212048E+08   0.212134E+08  -0.455423E+00   0.951986E+07   0.951986E+07   0.267773E+02
   0.642677E-04   0.212009E+08   0.212009E+08   0.277796E+08   0.277673E+08   0.000000E+00   0.212009E+08   0.212009E+08   0.212095E+08  -0.455340E+00   0.952308E+07   0.952308E+07   0.295674E+02
   0.710289E-04   0.211962E+08   0.211962E+08   0.276663E+08   0.276514E+08   0.000000E+00   0.211962E+08   0.211962E+08   0.212048E+08  -0.455239E+00   0.952700E+07   0.952699E+07   0.326417E+02
   0.785015E-04   0.211905E+08   0.211905E+08   0.275286E+08   0.275105E+08   0.000000E+00   0.211905E+08   0.211905E+08   0.211991E+08  -0.455117E+00   0.953177E+07   0.953176E+07   0.360267E+02
   0.867602E-04   0.211836E+08   0.211836E+08   0.273612E+08   0.273392E+08   0.000000E+00   0.211836E+08   0.211836E+08   0.211921E+08  -0.454967E+00   0.953757E+07   0.953756E+07   0.397508E+02
   0.958878E-04   0.211752E+08   0.211751E+08   0.271580E+08   0.271313E+08   0.000000E+00   0.211751E+08   0.211751E+08   0.211836E+08  -0.454786E+00   0.954460E+07   0.954459E+07   0.438439E+02
   0.105976E-03   0.211649E+08   0.211648E+08   0.269116E+08   0.268793E+08   0.000000E+00   0.211649E+08   0.211649E+08   0.211732E+08  -0.454565E+00   0.955314E+07   0.955312E+07   0.483369E+02
   0.117125E-03   0.211524E+08   0.211524E+08   0.266136E+08   0.265745E+08   0.000000E+00   0.211524E+08   0.211524E+08   0.211607E+08  -0.454299E+00   0.956346E+07   0.956344E+07   0.532614E+02
   0.129447E-03   0.211373E+08   0.211372E+08   0.262536E+08   0.262064E+08   0.000000E+00   0.211373E+08   0.211373E+08   0.211454E+08  -0.453976E+00   0.957594E+07   0.957592E+07   0.586487E+02
   0.143065E-03   0.211190E+08   0.211189E+08   0.258200E+08   0.257632E+08   0.000000E+00   0.211190E+08   0.211190E+08   0.211270E+08  -0.453587E+00   0.959097E+07   0.959094E+07   0.645289E+02
