#    L    TxT            TxE            TxP            TxW1           TxW2           ExT            ExE            ExP            ExW1           ExW2           PxT            PxE            PxP            PxW1           PxW2           W1xT           W1xE           W1xP           W1xW1          W1xW2          W2xT           W2xE           W2xP           W2xW1          W2xW2       
     2   0.133635E+04   0.397244E+01   0.339412E-02   0.342033E-01   0.150670E-02   0.397244E+01   0.538126E-01  -0.161531E-04   0.179966E-05  -0.419204E-06   0.339412E-02  -0.161531E-04   0.487518E-07   0.304854E-06   0.235280E-07   0.342033E-01   0.179966E-05   0.304854E-06   0.117124E-04   0.119029E-06   0.150670E-02  -0.419204E-06   0.235280E-07   0.119029E-06   0.178378E-07
     3   0.125839E+04   0.490338E+01   0.341246E-02   0.428139E-01   0.173379E-02   0.490338E+01   0.870232E-01  -0.196732E-04   0.868460E-05  -0.595645E-07   0.341246E-02  -0.196732E-04   0.592683E-07   0.513821E-06   0.348375E-07   0.428139E-01   0.868460E-05   0.513821E-06   0.232857E-04   0.261986E-06   0.173379E-02  -0.595645E-07   0.348375E-07   0.261986E-06   0.358418E-07
     4   0.117949E+04   0.501930E+01   0.334752E-02   0.500709E-01   0.188999E-02   0.501930E+01   0.971308E-01  -0.197136E-04   0.962663E-05   0.118252E-06   0.334752E-02  -0.197136E-04   0.683326E-07   0.758938E-06   0.461630E-07   0.500709E-01   0.962663E-05   0.758938E-06   0.390100E-04   0.473390E-06   0.188999E-02   0.118252E-06   0.461630E-07   0.473390E-06   0.590127E-07
     5   0.111531E+04   0.465315E+01   0.324726E-02   0.564773E-01   0.200210E-02   0.465315E+01   0.856588E-01  -0.172884E-04   0.919704E-05   0.164064E-06   0.324726E-02  -0.172884E-04   0.762105E-07   0.103240E-05   0.571877E-07   0.564773E-01   0.919704E-05   0.103240E-05   0.592164E-04   0.756571E-06   0.200210E-02   0.164064E-06   0.571877E-07   0.756571E-06   0.864613E-07
     6   0.106578E+04   0.406374E+01   0.313497E-02   0.620817E-01   0.207959E-02   0.406374E+01   0.629989E-01  -0.133140E-04   0.796998E-05   0.169125E-06   0.313497E-02  -0.133140E-04   0.830873E-07   0.132713E-05   0.676852E-07   0.620817E-01   0.796998E-05   0.132713E-05   0.841870E-04   0.111173E-05   0.207959E-02   0.169125E-06   0.676852E-07   0.111173E-05   0.117281E-06
     7   0.102834E+04   0.341406E+01   0.302057E-02   0.669003E-01   0.213026E-02   0.341406E+01   0.399655E-01  -0.866100E-05   0.948010E-05   0.183879E-06   0.302057E-02  -0.866100E-05   0.891432E-07   0.163718E-05   0.775818E-07   0.669003E-01   0.948010E-05   0.163718E-05   0.114130E-03   0.153775E-05   0.213026E-02   0.183879E-06   0.775818E-07   0.153775E-05   0.150743E-06
     8   0.999775E+03   0.280152E+01   0.290494E-02   0.710984E-01   0.216059E-02   0.280152E+01   0.230008E-01  -0.412007E-05   0.115936E-04   0.197324E-06   0.290494E-02  -0.412007E-05   0.945074E-07   0.195786E-05   0.868331E-07   0.710984E-01   0.115936E-04   0.195786E-05   0.149127E-03   0.203268E-05   0.216059E-02   0.197324E-06   0.868331E-07   0.203268E-05   0.186204E-06
     9   0.978169E+03   0.227441E+01   0.278879E-02   0.747631E-01   0.217513E-02   0.227441E+01   0.134620E-01  -0.332321E-06   0.988827E-05   0.174952E-06   0.278879E-02  -0.332321E-06   0.992870E-07   0.228519E-05   0.954337E-07   0.747631E-01   0.988827E-05   0.228519E-05   0.189253E-03   0.259363E-05   0.217513E-02   0.174952E-06   0.954337E-07   0.259363E-05   0.223140E-06
    10   0.961919E+03   0.185733E+01   0.267559E-02   0.778465E-01   0.217621E-02   0.185733E+01   0.945773E-02   0.233842E-05   0.717352E-05   0.136266E-06   0.267559E-02   0.233842E-05   0.103547E-06   0.261483E-05   0.103383E-06   0.778465E-01   0.717352E-05   0.261483E-05   0.234370E-03   0.321595E-05   0.217621E-02   0.136266E-06   0.103383E-06   0.321595E-05   0.261091E-06
    11   0.949561E+03   0.155950E+01   0.257062E-02   0.804041E-01   0.216667E-02   0.155950E+01   0.819604E-02   0.383760E-05   0.686320E-05   0.126325E-06   0.257062E-02   0.383760E-05   0.107379E-06   0.294458E-05   0.110723E-06   0.804041E-01   0.686320E-05   0.294458E-05   0.284428E-03   0.389630E-05   0.216667E-02   0.126325E-06   0.110723E-06   0.389630E-05   0.299750E-06
