#    L    TT             EE             BB             TE          
     2    0.48460E+03    0.15687E-01    0.25086E-01    0.33970E+00
     3    0.38917E+03    0.20000E-01    0.28772E-01   -0.36989E+00
     4    0.36437E+03    0.21156E-01    0.28115E-01   -0.59704E+00
     5    0.35429E+03    0.19351E-01    0.24594E-01   -0.63970E+00
     6    0.34979E+03    0.15853E-01    0.19801E-01   -0.59721E+00
     7    0.34818E+03    0.11928E-01    0.14992E-01   -0.52249E+00
     8    0.34802E+03    0.85036E-02    0.10920E-01   -0.44583E+00
     9    0.34877E+03    0.60187E-02    0.78874E-02   -0.38082E+00
    10    0.35009E+03    0.45446E-02    0.59007E-02   -0.32924E+00
    11    0.35145E+03    0.39232E-02    0.48083E-02   -0.29388E+00
    12    0.35233E+03    0.39083E-02    0.44045E-02   -0.27329E+00
    13    0.35298E+03    0.42849E-02    0.44897E-02   -0.26525E+00
    14    0.35376E+03    0.48713E-02    0.48851E-02   -0.26773E+00
    15    0.35483E+03    0.55738E-02    0.54779E-02   -0.27887E+00
    16    0.35619E+03    0.63313E-02    0.61825E-02   -0.29702E+00
    17    0.35747E+03    0.71273E-02    0.69549E-02   -0.32115E+00
    18    0.35831E+03    0.79572E-02    0.77662E-02   -0.35028E+00
    19    0.35871E+03    0.88204E-02    0.86066E-02   -0.38299E+00
    20    0.35876E+03    0.97175E-02    0.94720E-02   -0.41812E+00
    21    0.35853E+03    0.10648E-01    0.10360E-01   -0.45595E+00
    22    0.35808E+03    0.11612E-01    0.11270E-01   -0.49691E+00
    23    0.35742E+03    0.12605E-01    0.12200E-01   -0.54059E+00
    24    0.35656E+03    0.13625E-01    0.13147E-01   -0.58645E+00
    25    0.35552E+03    0.14669E-01    0.14111E-01   -0.63426E+00
    26    0.35431E+03    0.15732E-01    0.15088E-01   -0.68378E+00
    27    0.35295E+03    0.16809E-01    0.16079E-01   -0.73445E+00
    28    0.35143E+03    0.17898E-01    0.17084E-01   -0.78584E+00
    29    0.34976E+03    0.19011E-01    0.18102E-01   -0.83848E+00
    30    0.34794E+03    0.20158E-01    0.19133E-01   -0.89287E+00
    31    0.34597E+03    0.21337E-01    0.20176E-01   -0.94863E+00
    32    0.34389E+03    0.22541E-01    0.21231E-01   -0.10052E+01
    33    0.34169E+03    0.23761E-01    0.22296E-01   -0.10624E+01
    34    0.33935E+03    0.24990E-01    0.23369E-01   -0.11200E+01
    35    0.33689E+03    0.26232E-01    0.24448E-01   -0.11780E+01
    36    0.33432E+03    0.27490E-01    0.25530E-01   -0.12362E+01
    37    0.33165E+03    0.28767E-01    0.26616E-01   -0.12943E+01
    38    0.32888E+03    0.30061E-01    0.27708E-01   -0.13522E+01
    39    0.32601E+03    0.31370E-01    0.28805E-01   -0.14098E+01
    40    0.32304E+03    0.32690E-01    0.29902E-01   -0.14671E+01
    41    0.31998E+03    0.34019E-01    0.30997E-01   -0.15242E+01
    42    0.31682E+03    0.35356E-01    0.32087E-01   -0.15808E+01
    43    0.31357E+03    0.36701E-01    0.33173E-01   -0.16370E+01
    44    0.31025E+03    0.38052E-01    0.34253E-01   -0.16926E+01
    45    0.30684E+03    0.39411E-01    0.35326E-01   -0.17474E+01
    46    0.30336E+03    0.40775E-01    0.36391E-01   -0.18015E+01
    47    0.29980E+03    0.42144E-01    0.37446E-01   -0.18546E+01
    48    0.29618E+03    0.43516E-01    0.38491E-01   -0.19066E+01
    49    0.29250E+03    0.44889E-01    0.39524E-01   -0.19576E+01
    50    0.28876E+03    0.46263E-01    0.40543E-01   -0.20073E+01
