#    L    TT             EE             BB             TE          
     2   0.182096E+04   0.694416E-01   0.250836E-01   0.430591E+01
     3   0.164757E+04   0.106972E+00   0.287666E-01   0.452832E+01
     4   0.154386E+04   0.118242E+00   0.281078E-01   0.441738E+01
     5   0.146960E+04   0.104975E+00   0.245864E-01   0.400864E+01
     6   0.141557E+04   0.788271E-01   0.197936E-01   0.346173E+01
     7   0.137653E+04   0.518778E-01   0.149860E-01   0.288675E+01
     8   0.134780E+04   0.314961E-01   0.109156E-01   0.235085E+01
     9   0.132695E+04   0.194793E-01   0.788424E-02   0.188872E+01
    10   0.131202E+04   0.140066E-01   0.589843E-02   0.152318E+01
    11   0.130101E+04   0.121284E-01   0.480659E-02   0.126069E+01
    12   0.129397E+04   0.115584E-01   0.440679E-02   0.109821E+01
    13   0.128828E+04   0.111793E-01   0.448850E-02   0.102083E+01
    14   0.128426E+04   0.108870E-01   0.488652E-02   0.993936E+00
    15   0.128136E+04   0.109109E-01   0.547665E-02   0.100227E+01
    16   0.128137E+04   0.114177E-01   0.618025E-02   0.103284E+01
    17   0.128353E+04   0.123189E-01   0.695355E-02   0.107108E+01
    18   0.128610E+04   0.134692E-01   0.776495E-02   0.110611E+01
    19   0.128980E+04   0.147471E-01   0.860501E-02   0.113573E+01
    20   0.129315E+04   0.160589E-01   0.947021E-02   0.115185E+01
    21   0.129689E+04   0.174790E-01   0.103585E-01   0.116111E+01
    22   0.130110E+04   0.191235E-01   0.112681E-01   0.116774E+01
    23   0.130541E+04   0.210321E-01   0.121976E-01   0.117531E+01
    24   0.131019E+04   0.232246E-01   0.131451E-01   0.118650E+01
    25   0.131559E+04   0.256846E-01   0.141084E-01   0.119683E+01
    26   0.132113E+04   0.283903E-01   0.150854E-01   0.121180E+01
    27   0.132722E+04   0.313094E-01   0.160762E-01   0.123121E+01
    28   0.133367E+04   0.344006E-01   0.170808E-01   0.124821E+01
    29   0.134040E+04   0.376945E-01   0.180988E-01   0.126438E+01
    30   0.134762E+04   0.412260E-01   0.191296E-01   0.126907E+01
    31   0.135479E+04   0.449670E-01   0.201726E-01   0.126844E+01
    32   0.136276E+04   0.489084E-01   0.212271E-01   0.125357E+01
    33   0.137099E+04   0.530138E-01   0.222920E-01   0.122298E+01
    34   0.137941E+04   0.573197E-01   0.233655E-01   0.117922E+01
    35   0.138865E+04   0.618450E-01   0.244443E-01   0.111646E+01
    36   0.139782E+04   0.666251E-01   0.255257E-01   0.104771E+01
    37   0.140741E+04   0.716699E-01   0.266117E-01   0.965706E+00
    38   0.141750E+04   0.769553E-01   0.277040E-01   0.870889E+00
    39   0.142800E+04   0.824953E-01   0.288005E-01   0.765092E+00
    40   0.143884E+04   0.883157E-01   0.298974E-01   0.649475E+00
    41   0.144995E+04   0.944366E-01   0.309919E-01   0.525069E+00
    42   0.146133E+04   0.100854E+00   0.320824E-01   0.392326E+00
    43   0.147299E+04   0.107557E+00   0.331680E-01   0.251148E+00
    44   0.148498E+04   0.114535E+00   0.342476E-01   0.998379E-01
    45   0.149735E+04   0.121770E+00   0.353204E-01  -0.636103E-01
    46   0.151006E+04   0.129252E+00   0.363851E-01  -0.240396E+00
    47   0.152310E+04   0.136991E+00   0.374405E-01  -0.430353E+00
    48   0.153644E+04   0.144995E+00   0.384851E-01  -0.632997E+00
    49   0.155008E+04   0.153273E+00   0.395175E-01  -0.847764E+00
    50   0.156407E+04   0.161846E+00   0.405363E-01  -0.107396E+01
    51   0.157848E+04   0.170728E+00   0.415402E-01  -0.131087E+01
    52   0.159324E+04   0.179916E+00   0.425282E-01  -0.155800E+01
    53   0.160828E+04   0.189400E+00   0.434995E-01  -0.181509E+01
    54   0.162358E+04   0.199168E+00   0.444534E-01  -0.208275E+01
    55   0.163911E+04   0.209212E+00   0.453889E-01  -0.236196E+01
    56   0.165499E+04   0.219520E+00   0.463054E-01  -0.265415E+01
    57   0.167131E+04   0.230090E+00   0.472017E-01  -0.296001E+01
    58   0.168804E+04   0.240931E+00   0.480769E-01  -0.327937E+01
    59   0.170508E+04   0.252049E+00   0.489300E-01  -0.361176E+01
    60   0.172241E+04   0.263443E+00   0.497599E-01  -0.395630E+01
    61   0.174005E+04   0.275112E+00   0.505659E-01  -0.431223E+01
    62   0.175799E+04   0.287050E+00   0.513472E-01  -0.467957E+01
    63   0.177625E+04   0.299249E+00   0.521036E-01  -0.505858E+01
    64   0.179484E+04   0.311702E+00   0.528345E-01  -0.544951E+01
    65   0.181377E+04   0.324404E+00   0.535397E-01  -0.585265E+01
    66   0.183309E+04   0.337343E+00   0.542185E-01  -0.626825E+01
    67   0.185278E+04   0.350511E+00   0.548704E-01  -0.669547E+01
    68   0.187278E+04   0.363897E+00   0.554949E-01  -0.713320E+01
    69   0.189308E+04   0.377494E+00   0.560911E-01  -0.758037E+01
    70   0.191362E+04   0.391293E+00   0.566586E-01  -0.803608E+01
    71   0.193440E+04   0.405290E+00   0.571968E-01  -0.849990E+01
    72   0.195551E+04   0.419482E+00   0.577056E-01  -0.897300E+01
    73   0.197708E+04   0.433868E+00   0.581851E-01  -0.945671E+01
    74   0.199910E+04   0.448437E+00   0.586355E-01  -0.995132E+01
