#    L    TT             EE             BB             TE          
     2    0.20572E+04    0.79371E-01    0.29604E-01    0.28922E+01
     3    0.19407E+04    0.11754E+00    0.32707E-01    0.31652E+01
     4    0.18066E+04    0.12072E+00    0.30425E-01    0.33373E+01
     5    0.16855E+04    0.97823E-01    0.25174E-01    0.32097E+01
     6    0.15884E+04    0.66421E-01    0.19116E-01    0.28702E+01
     7    0.15143E+04    0.39968E-01    0.13677E-01    0.24308E+01
     8    0.14581E+04    0.23591E-01    0.95278E-02    0.19799E+01
     9    0.14160E+04    0.15939E-01    0.67878E-02    0.15756E+01
    10    0.13850E+04    0.13249E-01    0.52774E-02    0.12607E+01
    11    0.13620E+04    0.12380E-01    0.47081E-02    0.10475E+01
    12    0.13458E+04    0.11966E-01    0.47776E-02    0.93732E+00
    13    0.13343E+04    0.11625E-01    0.52592E-02    0.89913E+00
    14    0.13263E+04    0.11805E-01    0.59685E-02    0.89737E+00
    15    0.13218E+04    0.12507E-01    0.68078E-02    0.91866E+00
    16    0.13207E+04    0.13582E-01    0.77121E-02    0.95446E+00
    17    0.13225E+04    0.14940E-01    0.86600E-02    0.99009E+00
    18    0.13258E+04    0.16364E-01    0.96417E-02    0.10133E+01
    19    0.13314E+04    0.17897E-01    0.10652E-01    0.10211E+01
    20    0.13373E+04    0.19688E-01    0.11685E-01    0.10123E+01
    21    0.13439E+04    0.21778E-01    0.12742E-01    0.99846E+00
    22    0.13514E+04    0.24240E-01    0.13820E-01    0.99002E+00
    23    0.13594E+04    0.27039E-01    0.14917E-01    0.98439E+00
    24    0.13682E+04    0.30092E-01    0.16029E-01    0.97684E+00
    25    0.13776E+04    0.33419E-01    0.17155E-01    0.96682E+00
    26    0.13874E+04    0.37015E-01    0.18297E-01    0.95550E+00
    27    0.13977E+04    0.40850E-01    0.19453E-01    0.93966E+00
    28    0.14085E+04    0.44919E-01    0.20624E-01    0.91638E+00
    29    0.14198E+04    0.49230E-01    0.21809E-01    0.88313E+00
    30    0.14315E+04    0.53798E-01    0.23006E-01    0.83648E+00
    31    0.14434E+04    0.58616E-01    0.24212E-01    0.77540E+00
    32    0.14556E+04    0.63671E-01    0.25422E-01    0.69924E+00
    33    0.14681E+04    0.68997E-01    0.26637E-01    0.60669E+00
    34    0.14808E+04    0.74648E-01    0.27856E-01    0.49864E+00
    35    0.14937E+04    0.80656E-01    0.29078E-01    0.38243E+00
    36    0.15069E+04    0.87036E-01    0.30301E-01    0.26322E+00
    37    0.15203E+04    0.93733E-01    0.31524E-01    0.13480E+00
    38    0.15341E+04    0.10070E+00    0.32744E-01   -0.81782E-02
    39    0.15482E+04    0.10795E+00    0.33958E-01   -0.16508E+00
    40    0.15624E+04    0.11552E+00    0.35164E-01   -0.33399E+00
    41    0.15769E+04    0.12344E+00    0.36360E-01   -0.51374E+00
    42    0.15915E+04    0.13171E+00    0.37543E-01   -0.70527E+00
    43    0.16062E+04    0.14034E+00    0.38712E-01   -0.91006E+00
    44    0.16210E+04    0.14931E+00    0.39866E-01   -0.11287E+01
    45    0.16362E+04    0.15860E+00    0.41003E-01   -0.13616E+01
    46    0.16518E+04    0.16821E+00    0.42122E-01   -0.16111E+01
    47    0.16676E+04    0.17814E+00    0.43220E-01   -0.18757E+01
    48    0.16836E+04    0.18839E+00    0.44297E-01   -0.21507E+01
    49    0.16997E+04    0.19895E+00    0.45351E-01   -0.24321E+01
    50    0.17163E+04    0.20979E+00    0.46382E-01   -0.27222E+01
    51    0.17330E+04    0.22088E+00    0.47387E-01   -0.30255E+01
    52    0.17502E+04    0.23231E+00    0.48365E-01   -0.33467E+01
    53    0.17675E+04    0.24420E+00    0.49316E-01   -0.36890E+01
