#    L    TT             EE             BB             TE          
     2    0.20572E+04    0.79370E-01    0.29603E-01    0.28922E+01
     3    0.19407E+04    0.11754E+00    0.32705E-01    0.31652E+01
     4    0.18066E+04    0.12071E+00    0.30422E-01    0.33373E+01
     5    0.16855E+04    0.97818E-01    0.25169E-01    0.32097E+01
     6    0.15884E+04    0.66415E-01    0.19109E-01    0.28702E+01
     7    0.15143E+04    0.39959E-01    0.13667E-01    0.24308E+01
     8    0.14581E+04    0.23579E-01    0.95161E-02    0.19799E+01
     9    0.14160E+04    0.15925E-01    0.67732E-02    0.15756E+01
    10    0.13849E+04    0.13231E-01    0.52595E-02    0.12607E+01
    11    0.13619E+04    0.12358E-01    0.46866E-02    0.10475E+01
    12    0.13457E+04    0.11941E-01    0.47521E-02    0.93733E+00
    13    0.13342E+04    0.11595E-01    0.52295E-02    0.89915E+00
    14    0.13262E+04    0.11771E-01    0.59342E-02    0.89739E+00
    15    0.13218E+04    0.12468E-01    0.67686E-02    0.91869E+00
    16    0.13206E+04    0.13537E-01    0.76676E-02    0.95451E+00
    17    0.13224E+04    0.14890E-01    0.86099E-02    0.99015E+00
    18    0.13257E+04    0.16308E-01    0.95857E-02    0.10134E+01
    19    0.13313E+04    0.17835E-01    0.10589E-01    0.10212E+01
    20    0.13372E+04    0.19620E-01    0.11616E-01    0.10124E+01
    21    0.13438E+04    0.21702E-01    0.12666E-01    0.99858E+00
    22    0.13512E+04    0.24157E-01    0.13736E-01    0.99016E+00
    23    0.13593E+04    0.26948E-01    0.14825E-01    0.98456E+00
    24    0.13680E+04    0.29993E-01    0.15930E-01    0.97704E+00
    25    0.13774E+04    0.33312E-01    0.17048E-01    0.96705E+00
    26    0.13872E+04    0.36899E-01    0.18180E-01    0.95576E+00
    27    0.13975E+04    0.40726E-01    0.19327E-01    0.93997E+00
    28    0.14083E+04    0.44785E-01    0.20489E-01    0.91673E+00
    29    0.14196E+04    0.49086E-01    0.21665E-01    0.88351E+00
    30    0.14313E+04    0.53644E-01    0.22851E-01    0.83691E+00
    31    0.14431E+04    0.58452E-01    0.24046E-01    0.77588E+00
    32    0.14553E+04    0.63496E-01    0.25246E-01    0.69978E+00
    33    0.14677E+04    0.68811E-01    0.26450E-01    0.60728E+00
    34    0.14804E+04    0.74451E-01    0.27657E-01    0.49929E+00
    35    0.14934E+04    0.80447E-01    0.28867E-01    0.38314E+00
    36    0.15066E+04    0.86815E-01    0.30078E-01    0.26400E+00
    37    0.15199E+04    0.93501E-01    0.31288E-01    0.13564E+00
    38    0.15336E+04    0.10045E+00    0.32495E-01   -0.72682E-02
    39    0.15477E+04    0.10769E+00    0.33696E-01   -0.16410E+00
    40    0.15620E+04    0.11525E+00    0.34888E-01   -0.33294E+00
    41    0.15764E+04    0.12315E+00    0.36070E-01   -0.51261E+00
    42    0.15910E+04    0.13142E+00    0.37239E-01   -0.70407E+00
    43    0.16057E+04    0.14003E+00    0.38393E-01   -0.90878E+00
    44    0.16205E+04    0.14898E+00    0.39532E-01   -0.11273E+01
    45    0.16357E+04    0.15826E+00    0.40654E-01   -0.13602E+01
    46    0.16513E+04    0.16785E+00    0.41756E-01   -0.16096E+01
    47    0.16670E+04    0.17777E+00    0.42838E-01   -0.18741E+01
    48    0.16830E+04    0.18800E+00    0.43899E-01   -0.21491E+01
    49    0.16991E+04    0.19855E+00    0.44937E-01   -0.24303E+01
    50    0.17156E+04    0.20938E+00    0.45950E-01   -0.27205E+01
    51    0.17324E+04    0.22045E+00    0.46937E-01   -0.30236E+01
    52    0.17496E+04    0.23186E+00    0.47898E-01   -0.33448E+01
    53    0.17668E+04    0.24373E+00    0.48830E-01   -0.36871E+01
    54    0.17840E+04    0.25606E+00    0.49733E-01   -0.40458E+01
    55    0.18014E+04    0.26880E+00    0.50606E-01   -0.44161E+01
    56    0.18193E+04    0.28181E+00    0.51446E-01   -0.47991E+01
    57    0.18375E+04    0.29497E+00    0.52255E-01   -0.51944E+01
    58    0.18561E+04    0.30829E+00    0.53030E-01   -0.56018E+01
    59    0.18750E+04    0.32181E+00    0.53773E-01   -0.60216E+01
    60    0.18942E+04    0.33557E+00    0.54482E-01   -0.64525E+01
    61    0.19140E+04    0.34967E+00    0.55157E-01   -0.68932E+01
    62    0.19338E+04    0.36409E+00    0.55798E-01   -0.73447E+01
    63    0.19538E+04    0.37878E+00    0.56404E-01   -0.78086E+01
    64    0.19743E+04    0.39375E+00    0.56973E-01   -0.82862E+01
