#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.110953E-04   0.166880E+08   0.166880E+08   0.222394E+08   0.222390E+08   0.166881E+08   0.166880E+08   0.166880E+08   0.166935E+08  -0.550192E+00   0.824920E+07   0.824920E+07   0.545164E+01
   0.122507E-04   0.166879E+08   0.166879E+08   0.222368E+08   0.222364E+08   0.166880E+08   0.166879E+08   0.166879E+08   0.166935E+08  -0.550188E+00   0.824918E+07   0.824918E+07   0.601918E+01
   0.135265E-04   0.166879E+08   0.166879E+08   0.222338E+08   0.222333E+08   0.166880E+08   0.166879E+08   0.166879E+08   0.166935E+08  -0.550182E+00   0.824916E+07   0.824915E+07   0.664575E+01
   0.149351E-04   0.166879E+08   0.166879E+08   0.222301E+08   0.222294E+08   0.166880E+08   0.166879E+08   0.166879E+08   0.166934E+08  -0.550175E+00   0.824913E+07   0.824913E+07   0.733749E+01
   0.164904E-04   0.166878E+08   0.166878E+08   0.222255E+08   0.222247E+08   0.166879E+08   0.166878E+08   0.166878E+08   0.166934E+08  -0.550167E+00   0.824909E+07   0.824909E+07   0.810116E+01
   0.182076E-04   0.166878E+08   0.166878E+08   0.222200E+08   0.222190E+08   0.166879E+08   0.166878E+08   0.166878E+08   0.166933E+08  -0.550158E+00   0.824905E+07   0.824905E+07   0.894419E+01
   0.201037E-04   0.166877E+08   0.166877E+08   0.222133E+08   0.222121E+08   0.166878E+08   0.166877E+08   0.166877E+08   0.166932E+08  -0.550146E+00   0.824900E+07   0.824900E+07   0.987482E+01
   0.221972E-04   0.166876E+08   0.166876E+08   0.222051E+08   0.222036E+08   0.166877E+08   0.166876E+08   0.166876E+08   0.166932E+08  -0.550131E+00   0.824894E+07   0.824894E+07   0.109021E+02
   0.245088E-04   0.166875E+08   0.166875E+08   0.221951E+08   0.221933E+08   0.166876E+08   0.166875E+08   0.166875E+08   0.166931E+08  -0.550113E+00   0.824887E+07   0.824887E+07   0.120359E+02
   0.270611E-04   0.166874E+08   0.166874E+08   0.221829E+08   0.221807E+08   0.166875E+08   0.166874E+08   0.166874E+08   0.166929E+08  -0.550091E+00   0.824878E+07   0.824878E+07   0.132874E+02
   0.298791E-04   0.166872E+08   0.166872E+08   0.221680E+08   0.221654E+08   0.166873E+08   0.166872E+08   0.166872E+08   0.166928E+08  -0.550065E+00   0.824867E+07   0.824867E+07   0.146685E+02
   0.329906E-04   0.166870E+08   0.166870E+08   0.221500E+08   0.221468E+08   0.166871E+08   0.166870E+08   0.166870E+08   0.166926E+08  -0.550032E+00   0.824853E+07   0.824853E+07   0.161925E+02
   0.364261E-04   0.166868E+08   0.166868E+08   0.221279E+08   0.221240E+08   0.166869E+08   0.166868E+08   0.166868E+08   0.166923E+08  -0.549993E+00   0.824837E+07   0.824837E+07   0.178740E+02
   0.402194E-04   0.166865E+08   0.166865E+08   0.221011E+08   0.220964E+08   0.166866E+08   0.166865E+08   0.166865E+08   0.166920E+08  -0.549945E+00   0.824817E+07   0.824817E+07   0.197290E+02
   0.444077E-04   0.166862E+08   0.166862E+08   0.220684E+08   0.220626E+08   0.166863E+08   0.166862E+08   0.166862E+08   0.166917E+08  -0.549886E+00   0.824793E+07   0.824793E+07   0.217750E+02
   0.490322E-04   0.166858E+08   0.166857E+08   0.220287E+08   0.220216E+08   0.166858E+08   0.166858E+08   0.166857E+08   0.166913E+08  -0.549815E+00   0.824764E+07   0.824763E+07   0.240311E+02
   0.541382E-04   0.166852E+08   0.166852E+08   0.219803E+08   0.219717E+08   0.166853E+08   0.166852E+08   0.166852E+08   0.166907E+08  -0.549728E+00   0.824727E+07   0.824727E+07   0.265181E+02
   0.597760E-04   0.166846E+08   0.166846E+08   0.219214E+08   0.219110E+08   0.166847E+08   0.166846E+08   0.166846E+08   0.166901E+08  -0.549622E+00   0.824684E+07   0.824683E+07   0.292589E+02
   0.660009E-04   0.166839E+08   0.166838E+08   0.218498E+08   0.218372E+08   0.166839E+08   0.166839E+08   0.166839E+08   0.166893E+08  -0.549493E+00   0.824630E+07   0.824629E+07   0.322778E+02
   0.728740E-04   0.166829E+08   0.166829E+08   0.217629E+08   0.217475E+08   0.166830E+08   0.166829E+08   0.166829E+08   0.166884E+08  -0.549336E+00   0.824565E+07   0.824564E+07   0.356016E+02
   0.804628E-04   0.166818E+08   0.166818E+08   0.216573E+08   0.216386E+08   0.166819E+08   0.166818E+08   0.166818E+08   0.166872E+08  -0.549145E+00   0.824486E+07   0.824485E+07   0.392585E+02
   0.888420E-04   0.166804E+08   0.166804E+08   0.215293E+08   0.215066E+08   0.166805E+08   0.166804E+08   0.166804E+08   0.166858E+08  -0.548912E+00   0.824389E+07   0.824388E+07   0.432789E+02
   0.980937E-04   0.166788E+08   0.166787E+08   0.213741E+08   0.213466E+08   0.166788E+08   0.166788E+08   0.166788E+08   0.166841E+08  -0.548629E+00   0.824272E+07   0.824270E+07   0.476948E+02
   0.108309E-03   0.166767E+08   0.166767E+08   0.211864E+08   0.211531E+08   0.166768E+08   0.166767E+08   0.166767E+08   0.166820E+08  -0.548284E+00   0.824128E+07   0.824127E+07   0.525394E+02
   0.119588E-03   0.166743E+08   0.166742E+08   0.209596E+08   0.209194E+08   0.166743E+08   0.166743E+08   0.166743E+08   0.166795E+08  -0.547865E+00   0.823955E+07   0.823952E+07   0.578467E+02
   0.132041E-03   0.166713E+08   0.166712E+08   0.206862E+08   0.206377E+08   0.166713E+08   0.166713E+08   0.166713E+08   0.166764E+08  -0.547356E+00   0.823743E+07   0.823741E+07   0.636510E+02
   0.145791E-03   0.166676E+08   0.166675E+08   0.203574E+08   0.202990E+08   0.166677E+08   0.166676E+08   0.166676E+08   0.166727E+08  -0.546738E+00   0.823486E+07   0.823483E+07   0.699854E+02
   0.160974E-03   0.166632E+08   0.166630E+08   0.199632E+08   0.198931E+08   0.166632E+08   0.166632E+08   0.166632E+08   0.166681E+08  -0.545988E+00   0.823174E+07   0.823170E+07   0.768801E+02
   0.177737E-03   0.166578E+08   0.166576E+08   0.194923E+08   0.194084E+08   0.166578E+08   0.166578E+08   0.166578E+08   0.166626E+08  -0.545079E+00   0.822796E+07   0.822791E+07   0.843610E+02
   0.196246E-03   0.166513E+08   0.166511E+08   0.189323E+08   0.188323E+08   0.166513E+08   0.166512E+08   0.166512E+08   0.166559E+08  -0.543979E+00   0.822337E+07   0.822331E+07   0.924460E+02
   0.216682E-03   0.166433E+08   0.166431E+08   0.182701E+08   0.181515E+08   0.166433E+08   0.166433E+08   0.166433E+08   0.166478E+08  -0.542650E+00   0.821782E+07   0.821775E+07   0.101142E+03
   0.239247E-03   0.166337E+08   0.166335E+08   0.174923E+08   0.173525E+08   0.166337E+08   0.166337E+08   0.166337E+08   0.166381E+08  -0.541047E+00   0.821111E+07   0.821103E+07   0.110439E+03
   0.264161E-03   0.166222E+08   0.166218E+08   0.165864E+08   0.164230E+08   0.166221E+08   0.166221E+08   0.166221E+08   0.166262E+08  -0.539119E+00   0.820303E+07   0.820293E+07   0.120305E+03
   0.291670E-03   0.166082E+08   0.166078E+08   0.155421E+08   0.153528E+08   0.166081E+08   0.166081E+08   0.166081E+08   0.166120E+08  -0.536805E+00   0.819330E+07   0.819319E+07   0.130680E+03
   0.322043E-03   0.165914E+08   0.165909E+08   0.143537E+08   0.141370E+08   0.165912E+08   0.165913E+08   0.165913E+08   0.165949E+08  -0.534038E+00   0.818163E+07   0.818150E+07   0.141464E+03
   0.355580E-03   0.165712E+08   0.165706E+08   0.130225E+08   0.127779E+08   0.165710E+08   0.165711E+08   0.165711E+08   0.165743E+08  -0.530744E+00   0.816769E+07   0.816752E+07   0.152511E+03
   0.392609E-03   0.165471E+08   0.165464E+08   0.115607E+08   0.112894E+08   0.165468E+08   0.165469E+08   0.165470E+08   0.165498E+08  -0.526841E+00   0.815108E+07   0.815089E+07   0.163618E+03
   0.433494E-03   0.165183E+08   0.165175E+08   0.999469E+07   0.970034E+07   0.165180E+08   0.165182E+08   0.165182E+08   0.165207E+08  -0.522246E+00   0.813142E+07   0.813119E+07   0.174519E+03
   0.478636E-03   0.164843E+08   0.164833E+08   0.836871E+07   0.805800E+07   0.164838E+08   0.164841E+08   0.164841E+08   0.164862E+08  -0.516876E+00   0.810827E+07   0.810801E+07   0.184880E+03
   0.528480E-03   0.164442E+08   0.164430E+08   0.674627E+07   0.642940E+07   0.164436E+08   0.164439E+08   0.164440E+08   0.164456E+08  -0.510656E+00   0.808122E+07   0.808092E+07   0.194299E+03
   0.583514E-03   0.163972E+08   0.163958E+08   0.520806E+07   0.489866E+07   0.163965E+08   0.163970E+08   0.163970E+08   0.163982E+08  -0.503527E+00   0.804989E+07   0.804954E+07   0.202323E+03
   0.644279E-03   0.163427E+08   0.163411E+08   0.384367E+07   0.355783E+07   0.163418E+08   0.163424E+08   0.163425E+08   0.163434E+08  -0.495460E+00   0.801397E+07   0.801356E+07   0.208473E+03
