#    L    TT             EE             BB             TE          
     2    0.21691E+04    0.81786E-01    0.30853E-01    0.26564E+01
     3    0.20941E+04    0.12002E+00    0.33831E-01    0.28986E+01
     4    0.19661E+04    0.12084E+00    0.31096E-01    0.31583E+01
     5    0.18366E+04    0.95436E-01    0.25353E-01    0.31379E+01
     6    0.17268E+04    0.63047E-01    0.18943E-01    0.28817E+01
     7    0.16401E+04    0.37215E-01    0.13338E-01    0.24862E+01
     8    0.15719E+04    0.22146E-01    0.91771E-02    0.20499E+01
     9    0.15189E+04    0.15561E-01    0.65236E-02    0.16522E+01
    10    0.14784E+04    0.13344E-01    0.51456E-02    0.13365E+01
    11    0.14474E+04    0.12524E-01    0.47070E-02    0.11161E+01
    12    0.14244E+04    0.12075E-01    0.48884E-02    0.98968E+00
    13    0.14069E+04    0.11756E-01    0.54576E-02    0.93868E+00
    14    0.13935E+04    0.12069E-01    0.62281E-02    0.93893E+00
    15    0.13841E+04    0.12929E-01    0.71127E-02    0.96609E+00
    16    0.13789E+04    0.14092E-01    0.80574E-02    0.99838E+00
    17    0.13771E+04    0.15496E-01    0.90418E-02    0.10213E+01
    18    0.13772E+04    0.16976E-01    0.10056E-01    0.10278E+01
    19    0.13799E+04    0.18627E-01    0.11098E-01    0.10276E+01
    20    0.13831E+04    0.20628E-01    0.12167E-01    0.10278E+01
    21    0.13873E+04    0.22959E-01    0.13259E-01    0.10249E+01
    22    0.13927E+04    0.25637E-01    0.14370E-01    0.10134E+01
    23    0.13990E+04    0.28644E-01    0.15498E-01    0.99720E+00
    24    0.14062E+04    0.31928E-01    0.16643E-01    0.98159E+00
    25    0.14140E+04    0.35483E-01    0.17803E-01    0.96816E+00
    26    0.14224E+04    0.39284E-01    0.18979E-01    0.95728E+00
    27    0.14316E+04    0.43343E-01    0.20169E-01    0.94098E+00
    28    0.14414E+04    0.47689E-01    0.21374E-01    0.91177E+00
    29    0.14517E+04    0.52278E-01    0.22591E-01    0.86724E+00
    30    0.14626E+04    0.57081E-01    0.23820E-01    0.80543E+00
    31    0.14738E+04    0.62146E-01    0.25057E-01    0.72737E+00
    32    0.14853E+04    0.67527E-01    0.26299E-01    0.63519E+00
    33    0.14971E+04    0.73263E-01    0.27544E-01    0.53262E+00
    34    0.15092E+04    0.79379E-01    0.28790E-01    0.42310E+00
    35    0.15217E+04    0.85819E-01    0.30039E-01    0.30422E+00
    36    0.15346E+04    0.92533E-01    0.31289E-01    0.17155E+00
    37    0.15478E+04    0.99560E-01    0.32537E-01    0.22245E-01
    38    0.15612E+04    0.10695E+00    0.33779E-01   -0.14324E+00
    39    0.15751E+04    0.11470E+00    0.35013E-01   -0.32161E+00
    40    0.15891E+04    0.12278E+00    0.36237E-01   -0.50911E+00
    41    0.16035E+04    0.13121E+00    0.37447E-01   -0.70332E+00
    42    0.16181E+04    0.13997E+00    0.38643E-01   -0.90643E+00
    43    0.16329E+04    0.14909E+00    0.39823E-01   -0.11218E+01
    44    0.16478E+04    0.15856E+00    0.40984E-01   -0.13518E+01
    45    0.16632E+04    0.16839E+00    0.42126E-01   -0.15988E+01
    46    0.16789E+04    0.17859E+00    0.43246E-01   -0.18664E+01
    47    0.16948E+04    0.18914E+00    0.44344E-01   -0.21528E+01
    48    0.17109E+04    0.20004E+00    0.45418E-01   -0.24521E+01
