#    L    TT             EE             BB             TE          
     2    0.43437E+03    0.18739E-01    0.30852E-01    0.41546E+00
     3    0.37053E+03    0.21767E-01    0.33829E-01   -0.21419E+00
     4    0.35522E+03    0.20868E-01    0.31093E-01   -0.40504E+00
     5    0.34854E+03    0.17183E-01    0.25349E-01   -0.43384E+00
     6    0.34550E+03    0.12617E-01    0.18936E-01   -0.39831E+00
     7    0.34466E+03    0.85934E-02    0.13330E-01   -0.34650E+00
     8    0.34498E+03    0.58075E-02    0.91659E-02   -0.30246E+00
     9    0.34606E+03    0.43261E-02    0.65097E-02   -0.27202E+00
    10    0.34755E+03    0.38770E-02    0.51286E-02   -0.25500E+00
    11    0.34896E+03    0.40980E-02    0.46865E-02   -0.25356E+00
    12    0.34976E+03    0.46819E-02    0.48642E-02   -0.26121E+00
    13    0.35022E+03    0.54649E-02    0.54293E-02   -0.27716E+00
    14    0.35073E+03    0.63363E-02    0.61954E-02   -0.30203E+00
    15    0.35143E+03    0.72609E-02    0.70754E-02   -0.33319E+00
    16    0.35234E+03    0.82261E-02    0.80150E-02   -0.36796E+00
    17    0.35312E+03    0.92326E-02    0.89940E-02   -0.40671E+00
    18    0.35341E+03    0.10283E-01    0.10003E-01   -0.45013E+00
    19    0.35323E+03    0.11375E-01    0.11039E-01   -0.49707E+00
    20    0.35266E+03    0.12505E-01    0.12102E-01   -0.54629E+00
    21    0.35179E+03    0.13672E-01    0.13187E-01   -0.59807E+00
    22    0.35067E+03    0.14872E-01    0.14291E-01   -0.65284E+00
    23    0.34932E+03    0.16095E-01    0.15411E-01   -0.71011E+00
    24    0.34774E+03    0.17332E-01    0.16548E-01   -0.76921E+00
    25    0.34595E+03    0.18590E-01    0.17701E-01   -0.82970E+00
    26    0.34399E+03    0.19879E-01    0.18868E-01   -0.89124E+00
    27    0.34184E+03    0.21205E-01    0.20050E-01   -0.95376E+00
    28    0.33953E+03    0.22569E-01    0.21245E-01   -0.10173E+01
    29    0.33704E+03    0.23959E-01    0.22453E-01   -0.10819E+01
    30    0.33437E+03    0.25363E-01    0.23673E-01   -0.11475E+01
    31    0.33155E+03    0.26778E-01    0.24900E-01   -0.12136E+01
    32    0.32861E+03    0.28209E-01    0.26131E-01   -0.12797E+01
    33    0.32552E+03    0.29661E-01    0.27365E-01   -0.13459E+01
    34    0.32228E+03    0.31140E-01    0.28601E-01   -0.14124E+01
    35    0.31890E+03    0.32641E-01    0.29838E-01   -0.14785E+01
    36    0.31541E+03    0.34157E-01    0.31076E-01   -0.15437E+01
    37    0.31181E+03    0.35684E-01    0.32312E-01   -0.16080E+01
    38    0.30810E+03    0.37218E-01    0.33542E-01   -0.16718E+01
    39    0.30429E+03    0.38758E-01    0.34763E-01   -0.17346E+01
    40    0.30037E+03    0.40305E-01    0.35973E-01   -0.17962E+01
    41    0.29636E+03    0.41856E-01    0.37171E-01   -0.18563E+01
    42    0.29225E+03    0.43411E-01    0.38353E-01   -0.19148E+01
    43    0.28806E+03    0.44968E-01    0.39518E-01   -0.19716E+01
    44    0.28379E+03    0.46525E-01    0.40665E-01   -0.20270E+01
    45    0.27945E+03    0.48080E-01    0.41793E-01   -0.20807E+01
    46    0.27504E+03    0.49631E-01    0.42898E-01   -0.21329E+01
    47    0.27056E+03    0.51176E-01    0.43980E-01   -0.21833E+01
    48    0.26603E+03    0.52711E-01    0.45038E-01   -0.22318E+01
    49    0.26145E+03    0.54234E-01    0.46071E-01   -0.22782E+01
    50    0.25682E+03    0.55742E-01    0.47076E-01   -0.23223E+01
    51    0.25215E+03    0.57232E-01    0.48054E-01   -0.23639E+01
    52    0.24744E+03    0.58703E-01    0.49003E-01   -0.24030E+01
    53    0.24270E+03    0.60158E-01    0.49921E-01   -0.24397E+01
    54    0.23794E+03    0.61595E-01    0.50807E-01   -0.24740E+01
    55    0.23315E+03    0.63015E-01    0.51659E-01   -0.25060E+01
    56    0.22835E+03    0.64418E-01    0.52478E-01   -0.25358E+01
    57    0.22354E+03    0.65802E-01    0.53262E-01   -0.25632E+01
    58    0.21872E+03    0.67163E-01    0.54011E-01   -0.25881E+01
    59    0.21390E+03    0.68499E-01    0.54724E-01   -0.26105E+01
    60    0.20907E+03    0.69806E-01    0.55401E-01   -0.26303E+01
    61    0.20424E+03    0.71081E-01    0.56041E-01   -0.26474E+01
    62    0.19942E+03    0.72325E-01    0.56645E-01   -0.26618E+01
    63    0.19461E+03    0.73537E-01    0.57211E-01   -0.26737E+01
    64    0.18982E+03    0.74718E-01    0.57738E-01   -0.26830E+01
    65    0.18506E+03    0.75867E-01    0.58227E-01   -0.26900E+01
    66    0.18032E+03    0.76985E-01    0.58676E-01   -0.26945E+01
    67    0.17561E+03    0.78069E-01    0.59086E-01   -0.26967E+01
    68    0.17093E+03    0.79118E-01    0.59457E-01   -0.26966E+01
    69    0.16629E+03    0.80130E-01    0.59788E-01   -0.26939E+01
    70    0.16169E+03    0.81102E-01    0.60080E-01   -0.26889E+01
    71    0.15712E+03    0.82033E-01    0.60334E-01   -0.26813E+01
    72    0.15260E+03    0.82922E-01    0.60548E-01   -0.26714E+01
    73    0.14813E+03    0.83771E-01    0.60723E-01   -0.26593E+01
    74    0.14370E+03    0.84579E-01    0.60860E-01   -0.26450E+01
    75    0.13933E+03    0.85346E-01    0.60958E-01   -0.26286E+01
    76    0.13502E+03    0.86073E-01    0.61017E-01   -0.26103E+01
    77    0.13076E+03    0.86760E-01    0.61038E-01   -0.25902E+01
    78    0.12657E+03    0.87405E-01    0.61023E-01   -0.25682E+01
    79    0.12243E+03    0.88008E-01    0.60971E-01   -0.25444E+01
    80    0.11836E+03    0.88570E-01    0.60883E-01   -0.25188E+01
    81    0.11436E+03    0.89088E-01    0.60761E-01   -0.24915E+01
    82    0.11042E+03    0.89562E-01    0.60605E-01   -0.24624E+01
    83    0.10655E+03    0.89991E-01    0.60415E-01   -0.24317E+01
    84    0.10274E+03    0.90372E-01    0.60192E-01   -0.23995E+01
