#           k/h    P           
    0.10000E-03    0.46642E+03
    0.10202E-03    0.47546E+03
    0.10408E-03    0.48467E+03
    0.10618E-03    0.49406E+03
    0.10833E-03    0.50363E+03
    0.11052E-03    0.51338E+03
    0.11275E-03    0.52332E+03
    0.11503E-03    0.53346E+03
    0.11735E-03    0.54379E+03
    0.11972E-03    0.55432E+03
    0.12214E-03    0.56505E+03
    0.12461E-03    0.57599E+03
    0.12712E-03    0.58715E+03
    0.12969E-03    0.59851E+03
    0.13231E-03    0.61010E+03
    0.13499E-03    0.62191E+03
    0.13771E-03    0.63395E+03
    0.14049E-03    0.64622E+03
    0.14333E-03    0.65873E+03
    0.14623E-03    0.67148E+03
    0.14918E-03    0.68447E+03
    0.15220E-03    0.69772E+03
    0.15527E-03    0.71122E+03
    0.15841E-03    0.72498E+03
    0.16161E-03    0.73901E+03
    0.16487E-03    0.75331E+03
    0.16820E-03    0.76788E+03
    0.17160E-03    0.78273E+03
    0.17507E-03    0.79787E+03
    0.17860E-03    0.81330E+03
    0.18221E-03    0.82903E+03
    0.18589E-03    0.84506E+03
    0.18965E-03    0.86140E+03
    0.19348E-03    0.87805E+03
    0.19739E-03    0.89503E+03
    0.20138E-03    0.91232E+03
    0.20544E-03    0.92996E+03
    0.20959E-03    0.94792E+03
    0.21383E-03    0.96624E+03
    0.21815E-03    0.98490E+03
    0.22255E-03    0.10039E+04
    0.22705E-03    0.10233E+04
    0.23164E-03    0.10431E+04
    0.23632E-03    0.10632E+04
    0.24109E-03    0.10837E+04
    0.24596E-03    0.11047E+04
    0.25093E-03    0.11260E+04
    0.25600E-03    0.11477E+04
    0.26117E-03    0.11698E+04
    0.26645E-03    0.11924E+04
    0.27183E-03    0.12154E+04
    0.27732E-03    0.12388E+04
    0.28292E-03    0.12627E+04
    0.28864E-03    0.12870E+04
    0.29447E-03    0.13118E+04
    0.30042E-03    0.13371E+04
    0.30649E-03    0.13628E+04
    0.31268E-03    0.13891E+04
    0.31899E-03    0.14158E+04
    0.32544E-03    0.14431E+04
    0.33201E-03    0.14708E+04
    0.33872E-03    0.14991E+04
    0.34556E-03    0.15279E+04
    0.35254E-03    0.15573E+04
    0.35966E-03    0.15872E+04
    0.36693E-03    0.16177E+04
    0.37434E-03    0.16487E+04
    0.38190E-03    0.16804E+04
    0.38962E-03    0.17126E+04
    0.39749E-03    0.17455E+04
    0.40552E-03    0.17789E+04
    0.41371E-03    0.18130E+04
    0.42207E-03    0.18477E+04
    0.43060E-03    0.18831E+04
    0.43929E-03    0.19191E+04
    0.44817E-03    0.19558E+04
    0.45722E-03    0.19932E+04
    0.46646E-03    0.20313E+04
    0.47588E-03    0.20701E+04
    0.48550E-03    0.21096E+04
    0.49530E-03    0.21499E+04
    0.50531E-03    0.21909E+04
    0.51552E-03    0.22326E+04
    0.52593E-03    0.22752E+04
    0.53656E-03    0.23185E+04
    0.54739E-03    0.23626E+04
    0.55845E-03    0.24075E+04
    0.56973E-03    0.24532E+04
    0.58124E-03    0.24998E+04
    0.59299E-03    0.25472E+04
    0.60496E-03    0.25955E+04
    0.61719E-03    0.26447E+04
    0.62965E-03    0.26948E+04
    0.64237E-03    0.27458E+04
    0.65535E-03    0.27977E+04
    0.66859E-03    0.28505E+04
    0.68210E-03    0.29043E+04
    0.69588E-03    0.29591E+04
    0.70993E-03    0.30148E+04
    0.72427E-03    0.30716E+04
    0.73891E-03    0.31294E+04
    0.75383E-03    0.31882E+04
    0.76906E-03    0.32480E+04
    0.78460E-03    0.33090E+04
    0.80045E-03    0.33710E+04
    0.81662E-03    0.34341E+04
    0.83311E-03    0.34983E+04
    0.84994E-03    0.35637E+04
    0.86711E-03    0.36302E+04
    0.88463E-03    0.36979E+04
    0.90250E-03    0.37668E+04
    0.92073E-03    0.38369E+04
    0.93933E-03    0.39082E+04
    0.95831E-03    0.39808E+04
    0.97767E-03    0.40546E+04
    0.99742E-03    0.41297E+04
    0.10176E-02    0.42061E+04
    0.10381E-02    0.42839E+04
    0.10591E-02    0.43630E+04
    0.10805E-02    0.44434E+04
    0.11023E-02    0.45253E+04
    0.11246E-02    0.46085E+04
    0.11473E-02    0.46932E+04
    0.11705E-02    0.47793E+04
    0.11941E-02    0.48668E+04
    0.12182E-02    0.49559E+04
    0.12429E-02    0.50465E+04
    0.12680E-02    0.51386E+04
    0.12936E-02    0.52322E+04
    0.13197E-02    0.53274E+04
    0.13464E-02    0.54243E+04
    0.13736E-02    0.55227E+04
    0.14013E-02    0.56227E+04
    0.14296E-02    0.57244E+04
    0.14585E-02    0.58278E+04
    0.14880E-02    0.59329E+04
    0.15180E-02    0.60397E+04
    0.15487E-02    0.61483E+04
    0.15800E-02    0.62586E+04
    0.16119E-02    0.63707E+04
    0.16445E-02    0.64845E+04
    0.16777E-02    0.66002E+04
    0.17116E-02    0.67178E+04
    0.17462E-02    0.68372E+04
    0.17814E-02    0.69584E+04
    0.18174E-02    0.70816E+04
    0.18541E-02    0.72067E+04
    0.18916E-02    0.73337E+04
    0.19298E-02    0.74626E+04
    0.19688E-02    0.75935E+04
    0.20086E-02    0.77263E+04
    0.20491E-02    0.78612E+04
    0.20905E-02    0.79980E+04
    0.21328E-02    0.81369E+04
    0.21758E-02    0.82778E+04
    0.22198E-02    0.84207E+04
    0.22646E-02    0.85656E+04
    0.23104E-02    0.87127E+04
    0.23571E-02    0.88617E+04
    0.24047E-02    0.90129E+04
    0.24533E-02    0.91661E+04
    0.25028E-02    0.93214E+04
    0.25534E-02    0.94788E+04
    0.26050E-02    0.96382E+04
    0.26576E-02    0.97998E+04
    0.27113E-02    0.99634E+04
    0.27660E-02    0.10129E+05
    0.28219E-02    0.10297E+05
    0.28789E-02    0.10467E+05
    0.29371E-02    0.10639E+05
    0.29964E-02    0.10813E+05
    0.30569E-02    0.10989E+05
    0.31187E-02    0.11167E+05
    0.31817E-02    0.11347E+05
    0.32460E-02    0.11529E+05
    0.33115E-02    0.11713E+05
    0.33784E-02    0.11899E+05
    0.34467E-02    0.12087E+05
    0.35163E-02    0.12276E+05
    0.35874E-02    0.12468E+05
    0.36598E-02    0.12662E+05
    0.37338E-02    0.12857E+05
    0.38092E-02    0.13054E+05
    0.38861E-02    0.13253E+05
    0.39646E-02    0.13453E+05
    0.40447E-02    0.13656E+05
    0.41264E-02    0.13859E+05
    0.42098E-02    0.14065E+05
    0.42948E-02    0.14271E+05
    0.43816E-02    0.14479E+05
    0.44701E-02    0.14689E+05
    0.45604E-02    0.14899E+05
    0.46525E-02    0.15111E+05
    0.47465E-02    0.15324E+05
    0.48424E-02    0.15538E+05
    0.49402E-02    0.15753E+05
    0.50400E-02    0.15969E+05
    0.51419E-02    0.16186E+05
    0.52457E-02    0.16403E+05
    0.53517E-02    0.16621E+05
    0.54598E-02    0.16839E+05
    0.55701E-02    0.17057E+05
    0.56826E-02    0.17276E+05
    0.57974E-02    0.17495E+05
    0.59145E-02    0.17714E+05
    0.60340E-02    0.17932E+05
    0.61559E-02    0.18150E+05
    0.62803E-02    0.18368E+05
    0.64072E-02    0.18585E+05
    0.65366E-02    0.18801E+05
