#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
     2    0.11424E+04    0.32890E+01    0.14219E-02    0.32890E+01    0.53210E-01   -0.65540E-05    0.14219E-02   -0.65540E-05    0.80236E-08
     3    0.10723E+04    0.41509E+01    0.10170E-02    0.41509E+01    0.87067E-01   -0.56776E-05    0.10170E-02   -0.56776E-05    0.48739E-08
     4    0.10003E+04    0.43037E+01    0.77373E-03    0.43037E+01    0.97792E-01   -0.44279E-05    0.77373E-03   -0.44279E-05    0.33670E-08
     5    0.94281E+03    0.40199E+01    0.61270E-03    0.40199E+01    0.86671E-01   -0.31804E-05    0.61270E-03   -0.31804E-05    0.25003E-08
     6    0.90010E+03    0.35222E+01    0.49948E-03    0.35222E+01    0.64028E-01   -0.20761E-05    0.49948E-03   -0.20761E-05    0.19448E-08
     7    0.86982E+03    0.29538E+01    0.41638E-03    0.29538E+01    0.40785E-01   -0.11808E-05    0.41638E-03   -0.11808E-05    0.15631E-08
     8    0.84875E+03    0.24074E+01    0.35276E-03    0.24074E+01    0.23549E-01   -0.51037E-06    0.35276E-03   -0.51037E-06    0.12874E-08
     9    0.83476E+03    0.19364E+01    0.30240E-03    0.19364E+01    0.13794E-01   -0.51515E-07    0.30240E-03   -0.51515E-07    0.10807E-08
    10    0.82643E+03    0.15648E+01    0.26195E-03    0.15648E+01    0.96736E-02    0.22095E-06    0.26195E-03    0.22095E-06    0.92094E-09
    11    0.82223E+03    0.13009E+01    0.22939E-03    0.13009E+01    0.83797E-02    0.33807E-06    0.22939E-03    0.33807E-06    0.79481E-09
    12    0.82218E+03    0.11426E+01    0.20286E-03    0.11426E+01    0.78406E-02    0.33895E-06    0.20286E-03    0.33895E-06    0.69294E-09
    13    0.82436E+03    0.10735E+01    0.18089E-03    0.10735E+01    0.70928E-02    0.27018E-06    0.18089E-03    0.27018E-06    0.60964E-09
    14    0.82773E+03    0.10718E+01    0.16227E-03    0.10718E+01    0.62455E-02    0.17469E-06    0.16227E-03    0.17469E-06    0.54035E-09
    15    0.83266E+03    0.11144E+01    0.14633E-03    0.11144E+01    0.55865E-02    0.74903E-07    0.14633E-03    0.74903E-07    0.48216E-09
    16    0.83961E+03    0.11801E+01    0.13257E-03    0.11801E+01    0.53399E-02   -0.13683E-07    0.13257E-03   -0.13683E-07    0.43271E-09
    17    0.84843E+03    0.12529E+01    0.12062E-03    0.12529E+01    0.55188E-02   -0.82754E-07    0.12062E-03   -0.82754E-07    0.39037E-09
    18    0.85807E+03    0.13224E+01    0.11021E-03    0.13224E+01    0.58944E-02   -0.12651E-06    0.11021E-03   -0.12651E-06    0.35380E-09
    19    0.86934E+03    0.13864E+01    0.10103E-03    0.13864E+01    0.63309E-02   -0.14202E-06    0.10103E-03   -0.14202E-06    0.32200E-09
    20    0.88055E+03    0.14422E+01    0.92857E-04    0.14422E+01    0.67961E-02   -0.13000E-06    0.92857E-04   -0.13000E-06    0.29413E-09
    21    0.89211E+03    0.14892E+01    0.85580E-04    0.14892E+01    0.73130E-02   -0.10290E-06    0.85580E-04   -0.10290E-06    0.26958E-09
    22    0.90430E+03    0.15275E+01    0.79111E-04    0.15275E+01    0.80007E-02   -0.74086E-07    0.79111E-04   -0.74086E-07    0.24786E-09
    23    0.91690E+03    0.15626E+01    0.73324E-04    0.15626E+01    0.89470E-02   -0.48978E-07    0.73324E-04   -0.48978E-07    0.22855E-09
    24    0.92992E+03    0.16003E+01    0.68098E-04    0.16003E+01    0.10179E-01   -0.30087E-07    0.68098E-04   -0.30087E-07    0.21130E-09
    25    0.94330E+03    0.16413E+01    0.63371E-04    0.16413E+01    0.11686E-01   -0.16245E-07    0.63371E-04   -0.16245E-07    0.19582E-09
    26    0.95687E+03    0.16863E+01    0.59097E-04    0.16863E+01    0.13413E-01   -0.62340E-08    0.59097E-04   -0.62340E-08    0.18189E-09
    27    0.97087E+03    0.17332E+01    0.55232E-04    0.17332E+01    0.15346E-01   -0.22964E-08    0.55232E-04   -0.22964E-08    0.16931E-09
    28    0.98517E+03    0.17804E+01    0.51732E-04    0.17804E+01    0.17499E-01   -0.64626E-08    0.51732E-04   -0.64626E-08    0.15790E-09
    29    0.99982E+03    0.18250E+01    0.48548E-04    0.18250E+01    0.19844E-01   -0.16447E-07    0.48548E-04   -0.16447E-07    0.14754E-09
    30    0.10148E+04    0.18628E+01    0.45633E-04    0.18628E+01    0.22362E-01   -0.28642E-07    0.45633E-04   -0.28642E-07    0.13808E-09
