#    L    TT             EE             BB             TE          
     2    0.11642E+04    0.53586E-01    0.10949E-05    0.32472E+01
     3    0.10959E+04    0.87574E-01    0.21902E-05    0.41005E+01
     4    0.10225E+04    0.97981E-01    0.36514E-05    0.42603E+01
     5    0.96266E+03    0.86392E-01    0.54790E-05    0.39870E+01
     6    0.91766E+03    0.63443E-01    0.76737E-05    0.34990E+01
     7    0.88539E+03    0.40175E-01    0.10237E-04    0.29380E+01
     8    0.86260E+03    0.23122E-01    0.13168E-04    0.23975E+01
     9    0.84716E+03    0.13603E-01    0.16470E-04    0.19310E+01
    10    0.83764E+03    0.96495E-02    0.20144E-04    0.15626E+01
    11    0.83246E+03    0.84159E-02    0.24189E-04    0.13013E+01
    12    0.83159E+03    0.78679E-02    0.28610E-04    0.11454E+01
    13    0.83307E+03    0.70947E-02    0.33405E-04    0.10787E+01
    14    0.83585E+03    0.62477E-02    0.38578E-04    0.10790E+01
    15    0.84027E+03    0.56125E-02    0.44129E-04    0.11228E+01
    16    0.84679E+03    0.54001E-02    0.50061E-04    0.11883E+01
    17    0.85523E+03    0.56080E-02    0.56375E-04    0.12603E+01
    18    0.86454E+03    0.59965E-02    0.63072E-04    0.13288E+01
    19    0.87552E+03    0.64380E-02    0.70154E-04    0.13923E+01
    20    0.88650E+03    0.69125E-02    0.77624E-04    0.14479E+01
    21    0.89785E+03    0.74505E-02    0.85482E-04    0.14947E+01
    22    0.90988E+03    0.81747E-02    0.93729E-04    0.15324E+01
    23    0.92233E+03    0.91661E-02    0.10237E-03    0.15672E+01
    24    0.93522E+03    0.10444E-01    0.11140E-03    0.16055E+01
    25    0.94849E+03    0.11996E-01    0.12083E-03    0.16474E+01
    26    0.96197E+03    0.13768E-01    0.13065E-03    0.16930E+01
    27    0.97590E+03    0.15746E-01    0.14087E-03    0.17403E+01
    28    0.99014E+03    0.17946E-01    0.15148E-03    0.17875E+01
    29    0.10048E+04    0.20337E-01    0.16250E-03    0.18315E+01
    30    0.10197E+04    0.22901E-01    0.17391E-03    0.18680E+01
    31    0.10347E+04    0.25658E-01    0.18573E-03    0.18955E+01
    32    0.10501E+04    0.28622E-01    0.19794E-03    0.19134E+01
    33    0.10658E+04    0.31782E-01    0.21055E-03    0.19210E+01
    34    0.10817E+04    0.35137E-01    0.22357E-03    0.19180E+01
    35    0.10978E+04    0.38696E-01    0.23699E-03    0.19024E+01
    36    0.11141E+04    0.42481E-01    0.25080E-03    0.18723E+01
    37    0.11305E+04    0.46536E-01    0.26502E-03    0.18297E+01
    38    0.11472E+04    0.50898E-01    0.27964E-03    0.17787E+01
    39    0.11644E+04    0.55548E-01    0.29466E-03    0.17200E+01
    40    0.11817E+04    0.60454E-01    0.31008E-03    0.16527E+01
    41    0.11993E+04    0.65601E-01    0.32590E-03    0.15759E+01
    42    0.12169E+04    0.71001E-01    0.34211E-03    0.14883E+01
    43    0.12346E+04    0.76675E-01    0.35872E-03    0.13888E+01
    44    0.12524E+04    0.82630E-01    0.37573E-03    0.12772E+01
    45    0.12705E+04    0.88883E-01    0.39313E-03    0.11533E+01
    46    0.12890E+04    0.95447E-01    0.41093E-03    0.10149E+01
    47    0.13076E+04    0.10231E+00    0.42912E-03    0.86292E+00
    48    0.13264E+04    0.10947E+00    0.44770E-03    0.70125E+00
    49    0.13453E+04    0.11689E+00    0.46667E-03    0.53334E+00
    50    0.13646E+04    0.12454E+00    0.48603E-03    0.35583E+00
    51    0.13842E+04    0.13237E+00    0.50578E-03    0.16403E+00
    52    0.14041E+04    0.14047E+00    0.52592E-03   -0.46495E-01
    53    0.14241E+04    0.14901E+00    0.54644E-03   -0.27828E+00
    54    0.14441E+04    0.15799E+00    0.56734E-03   -0.52589E+00
    55    0.14642E+04    0.16738E+00    0.58863E-03   -0.78374E+00
    56    0.14847E+04    0.17706E+00    0.61030E-03   -0.10527E+01
    57    0.15055E+04    0.18691E+00    0.63235E-03   -0.13330E+01
    58    0.15266E+04    0.19693E+00    0.65478E-03   -0.16260E+01
    59    0.15480E+04    0.20715E+00    0.67759E-03   -0.19328E+01
    60    0.15695E+04    0.21761E+00    0.70078E-03   -0.22535E+01
    61    0.15915E+04    0.22840E+00    0.72434E-03   -0.25876E+01
    62    0.16134E+04    0.23950E+00    0.74829E-03   -0.29356E+01
    63    0.16355E+04    0.25089E+00    0.77261E-03   -0.32981E+01
    64    0.16580E+04    0.26257E+00    0.79731E-03   -0.36757E+01
    65    0.16806E+04    0.27453E+00    0.82239E-03   -0.40686E+01
    66    0.17036E+04    0.28671E+00    0.84785E-03   -0.44745E+01
    67    0.17267E+04    0.29909E+00    0.87369E-03   -0.48909E+01
    68    0.17504E+04    0.31173E+00    0.89990E-03   -0.53165E+01
    69    0.17742E+04    0.32457E+00    0.92650E-03   -0.57501E+01
    70    0.17984E+04    0.33765E+00    0.95348E-03   -0.61935E+01
    71    0.18228E+04    0.35095E+00    0.98083E-03   -0.66496E+01
    72    0.18474E+04    0.36445E+00    0.10086E-02   -0.71195E+01
    73    0.18721E+04    0.37811E+00    0.10367E-02   -0.76036E+01
    74    0.18971E+04    0.39192E+00    0.10652E-02   -0.81008E+01
    75    0.19224E+04    0.40588E+00    0.10941E-02   -0.86094E+01
    76    0.19480E+04    0.41999E+00    0.11234E-02   -0.91284E+01
    77    0.19740E+04    0.43424E+00    0.11531E-02   -0.96575E+01
