#    L    TT             EE             BB             TE          
     2    0.16437E+04    0.69409E-01    0.25182E-01    0.35650E+01
     3    0.14829E+04    0.10773E+00    0.28956E-01    0.37251E+01
     4    0.13857E+04    0.11924E+00    0.28299E-01    0.36628E+01
     5    0.13160E+04    0.10578E+00    0.24730E-01    0.33498E+01
     6    0.12666E+04    0.79277E-01    0.19886E-01    0.29054E+01
     7    0.12327E+04    0.52059E-01    0.15047E-01    0.24185E+01
     8    0.12097E+04    0.31601E-01    0.10973E-01    0.19536E+01
     9    0.11949E+04    0.19645E-01    0.79686E-02    0.15499E+01
    10    0.11866E+04    0.14289E-01    0.60273E-02    0.12306E+01
    11    0.11827E+04    0.12511E-01    0.49934E-02    0.10017E+01
    12    0.11826E+04    0.12020E-01    0.46553E-02    0.86356E+00
    13    0.11846E+04    0.11689E-01    0.48090E-02    0.80188E+00
    14    0.11881E+04    0.11491E-01    0.52718E-02    0.79652E+00
    15    0.11935E+04    0.11617E-01    0.59300E-02    0.82585E+00
    16    0.12012E+04    0.12220E-01    0.66979E-02    0.87002E+00
    17    0.12107E+04    0.13281E-01    0.75329E-02    0.91479E+00
    18    0.12207E+04    0.14557E-01    0.84076E-02    0.95114E+00
    19    0.12319E+04    0.15922E-01    0.93123E-02    0.97873E+00
    20    0.12428E+04    0.17359E-01    0.10242E-01    0.99588E+00
    21    0.12537E+04    0.18897E-01    0.11195E-01    0.10013E+01
    22    0.12651E+04    0.20654E-01    0.12170E-01    0.99449E+00
    23    0.12767E+04    0.22706E-01    0.13164E-01    0.98202E+00
    24    0.12885E+04    0.25065E-01    0.14177E-01    0.97082E+00
    25    0.13005E+04    0.27718E-01    0.15204E-01    0.96144E+00
    26    0.13126E+04    0.30615E-01    0.16243E-01    0.95419E+00
    27    0.13250E+04    0.33736E-01    0.17296E-01    0.94749E+00
    28    0.13374E+04    0.37095E-01    0.18364E-01    0.93996E+00
    29    0.13501E+04    0.40672E-01    0.19446E-01    0.92795E+00
    30    0.13630E+04    0.44455E-01    0.20541E-01    0.90662E+00
    31    0.13758E+04    0.48463E-01    0.21647E-01    0.87511E+00
    32    0.13888E+04    0.52703E-01    0.22761E-01    0.83338E+00
    33    0.14021E+04    0.57150E-01    0.23883E-01    0.78094E+00
    34    0.14154E+04    0.61793E-01    0.25012E-01    0.71756E+00
    35    0.14288E+04    0.66648E-01    0.26146E-01    0.64158E+00
    36    0.14422E+04    0.71749E-01    0.27281E-01    0.55104E+00
    37    0.14557E+04    0.77140E-01    0.28420E-01    0.44812E+00
    38    0.14694E+04    0.82860E-01    0.29563E-01    0.33726E+00
    39    0.14834E+04    0.88883E-01    0.30708E-01    0.21899E+00
    40    0.14974E+04    0.95174E-01    0.31852E-01    0.92684E-01
    41    0.15116E+04    0.10171E+00    0.32990E-01   -0.42547E-01
    42    0.15258E+04    0.10851E+00    0.34121E-01   -0.18777E+00
    43    0.15400E+04    0.11559E+00    0.35245E-01   -0.34407E+00
    44    0.15542E+04    0.12295E+00    0.36361E-01   -0.51166E+00
    45    0.15686E+04    0.13061E+00    0.37466E-01   -0.69067E+00
    46    0.15833E+04    0.13859E+00    0.38561E-01   -0.88300E+00
    47    0.15981E+04    0.14687E+00    0.39643E-01   -0.10879E+01
    48    0.16130E+04    0.15544E+00    0.40712E-01   -0.13011E+01
    49    0.16279E+04    0.16428E+00    0.41765E-01   -0.15191E+01
    50    0.16432E+04    0.17333E+00    0.42800E-01   -0.17452E+01
    51    0.16587E+04    0.18257E+00    0.43817E-01   -0.19840E+01
    52    0.16745E+04    0.19208E+00    0.44815E-01   -0.22398E+01
    53    0.16904E+04    0.20201E+00    0.45792E-01   -0.25152E+01
    54    0.17061E+04    0.21237E+00    0.46748E-01   -0.28046E+01
    55    0.17220E+04    0.22314E+00    0.47682E-01   -0.31026E+01
    56    0.17382E+04    0.23418E+00    0.48593E-01   -0.34099E+01
    57    0.17547E+04    0.24538E+00    0.49481E-01   -0.37267E+01
    58    0.17715E+04    0.25673E+00    0.50344E-01   -0.40543E+01
    59    0.17885E+04    0.26826E+00    0.51181E-01   -0.43937E+01
    60    0.18056E+04    0.28003E+00    0.51992E-01   -0.47449E+01
    61    0.18232E+04    0.29210E+00    0.52775E-01   -0.51074E+01
    62    0.18408E+04    0.30447E+00    0.53530E-01   -0.54816E+01
    63    0.18584E+04    0.31710E+00    0.54257E-01   -0.58683E+01
    64    0.18765E+04    0.33002E+00    0.54955E-01   -0.62680E+01
    65    0.18947E+04    0.34319E+00    0.55624E-01   -0.66810E+01
    66    0.19132E+04    0.35656E+00    0.56263E-01   -0.71051E+01
    67    0.19320E+04    0.37011E+00    0.56872E-01   -0.75376E+01
    68    0.19512E+04    0.38389E+00    0.57450E-01   -0.79773E+01
    69    0.19706E+04    0.39785E+00    0.57997E-01   -0.84226E+01
    70    0.19904E+04    0.41201E+00    0.58512E-01   -0.88756E+01
    71    0.20104E+04    0.42637E+00    0.58995E-01   -0.93389E+01
    72    0.20307E+04    0.44089E+00    0.59447E-01   -0.98138E+01
    73    0.20511E+04    0.45555E+00    0.59866E-01   -0.10301E+02
    74    0.20718E+04    0.47032E+00    0.60254E-01   -0.10799E+02
    75    0.20928E+04    0.48523E+00    0.60609E-01   -0.11307E+02
    76    0.21142E+04    0.50026E+00    0.60933E-01   -0.11823E+02
    77    0.21359E+04    0.51541E+00    0.61225E-01   -0.12348E+02
    78    0.21581E+04    0.53070E+00    0.61486E-01   -0.12883E+02
    79    0.21805E+04    0.54608E+00    0.61715E-01   -0.13423E+02
    80    0.22034E+04    0.56153E+00    0.61914E-01   -0.13970E+02
    81    0.22265E+04    0.57702E+00    0.62081E-01   -0.14523E+02
    82    0.22499E+04    0.59255E+00    0.62217E-01   -0.15083E+02
    83    0.22736E+04    0.60810E+00    0.62322E-01   -0.15650E+02
    84    0.22977E+04    0.62367E+00    0.62396E-01   -0.16220E+02
    85    0.23220E+04    0.63923E+00    0.62439E-01   -0.16796E+02
    86    0.23465E+04    0.65478E+00    0.62451E-01   -0.17378E+02
    87    0.23716E+04    0.67030E+00    0.62433E-01   -0.17963E+02
    88    0.23967E+04    0.68581E+00    0.62385E-01   -0.18552E+02
    89    0.24222E+04    0.70127E+00    0.62307E-01   -0.19147E+02
    90    0.24481E+04    0.71666E+00    0.62200E-01   -0.19744E+02
    91    0.24741E+04    0.73196E+00    0.62064E-01   -0.20344E+02
    92    0.25006E+04    0.74715E+00    0.61901E-01   -0.20947E+02
    93    0.25274E+04    0.76224E+00    0.61710E-01   -0.21552E+02
    94    0.25543E+04    0.77718E+00    0.61493E-01   -0.22159E+02
    95    0.25817E+04    0.79198E+00    0.61251E-01   -0.22767E+02
    96    0.26091E+04    0.80661E+00    0.60983E-01   -0.23377E+02
    97    0.26370E+04    0.82107E+00    0.60691E-01   -0.23986E+02
    98    0.26653E+04    0.83534E+00    0.60376E-01   -0.24595E+02
    99    0.26937E+04    0.84939E+00    0.60037E-01   -0.25204E+02
   100    0.27225E+04    0.86322E+00    0.59677E-01   -0.25810E+02
   101    0.27514E+04    0.87689E+00    0.59295E-01   -0.26416E+02
   102    0.27810E+04    0.89025E+00    0.58893E-01   -0.27020E+02
   103    0.28106E+04    0.90338E+00    0.58470E-01   -0.27622E+02
   104    0.28405E+04    0.91626E+00    0.58029E-01   -0.28219E+02
   105    0.28706E+04    0.92884E+00    0.57568E-01   -0.28813E+02
   106    0.29010E+04    0.94118E+00    0.57090E-01   -0.29404E+02
   107    0.29314E+04    0.95314E+00    0.56595E-01   -0.29989E+02
   108    0.29623E+04    0.96478E+00    0.56084E-01   -0.30570E+02
   109    0.29933E+04    0.97604E+00    0.55557E-01   -0.31145E+02
   110    0.30246E+04    0.98692E+00    0.55015E-01   -0.31713E+02
   111    0.30560E+04    0.99749E+00    0.54458E-01   -0.32275E+02
   112    0.30877E+04    0.10077E+01    0.53889E-01   -0.32830E+02
   113    0.31196E+04    0.10175E+01    0.53307E-01   -0.33378E+02
   114    0.31517E+04    0.10268E+01    0.52713E-01   -0.33916E+02
   115    0.31840E+04    0.10359E+01    0.52108E-01   -0.34446E+02
   116    0.32165E+04    0.10444E+01    0.51493E-01   -0.34966E+02
   117    0.32492E+04    0.10525E+01    0.50870E-01   -0.35475E+02
   118    0.32822E+04    0.10603E+01    0.50237E-01   -0.35975E+02
   119    0.33152E+04    0.10676E+01    0.49598E-01   -0.36463E+02
   120    0.33484E+04    0.10744E+01    0.48951E-01   -0.36939E+02
   121    0.33817E+04    0.10808E+01    0.48299E-01   -0.37404E+02
   122    0.34151E+04    0.10867E+01    0.47642E-01   -0.37855E+02
   123    0.34485E+04    0.10921E+01    0.46981E-01   -0.38294E+02
   124    0.34821E+04    0.10970E+01    0.46316E-01   -0.38717E+02
   125    0.35157E+04    0.11014E+01    0.45650E-01   -0.39126E+02
   126    0.35495E+04    0.11054E+01    0.44981E-01   -0.39522E+02
   127    0.35832E+04    0.11089E+01    0.44312E-01   -0.39902E+02
   128    0.36170E+04    0.11119E+01    0.43643E-01   -0.40267E+02
   129    0.36508E+04    0.11143E+01    0.42974E-01   -0.40615E+02
   130    0.36847E+04    0.11162E+01    0.42308E-01   -0.40945E+02
   131    0.37185E+04    0.11176E+01    0.41644E-01   -0.41260E+02
   132    0.37525E+04    0.11185E+01    0.40983E-01   -0.41556E+02
   133    0.37864E+04    0.11189E+01    0.40326E-01   -0.41836E+02
   134    0.38203E+04    0.11188E+01    0.39674E-01   -0.42095E+02
   135    0.38542E+04    0.11182E+01    0.39025E-01   -0.42336E+02
   136    0.38880E+04    0.11170E+01    0.38382E-01   -0.42556E+02
   137    0.39217E+04    0.11154E+01    0.37745E-01   -0.42757E+02
   138    0.39554E+04    0.11132E+01    0.37114E-01   -0.42936E+02
   139    0.39889E+04    0.11107E+01    0.36489E-01   -0.43095E+02
   140    0.40225E+04    0.11076E+01    0.35872E-01   -0.43233E+02
   141    0.40558E+04    0.11039E+01    0.35263E-01   -0.43349E+02
   142    0.40892E+04    0.10998E+01    0.34661E-01   -0.43443E+02
   143    0.41224E+04    0.10953E+01    0.34069E-01   -0.43515E+02
   144    0.41554E+04    0.10903E+01    0.33486E-01   -0.43564E+02
   145    0.41883E+04    0.10849E+01    0.32912E-01   -0.43591E+02
   146    0.42213E+04    0.10790E+01    0.32349E-01   -0.43594E+02
   147    0.42538E+04    0.10727E+01    0.31797E-01   -0.43573E+02
   148    0.42863E+04    0.10659E+01    0.31256E-01   -0.43529E+02
   149    0.43186E+04    0.10588E+01    0.30726E-01   -0.43461E+02
   150    0.43506E+04    0.10513E+01    0.30209E-01   -0.43366E+02
   151    0.43825E+04    0.10434E+01    0.29705E-01   -0.43247E+02
   152    0.44141E+04    0.10351E+01    0.29214E-01   -0.43104E+02
   153    0.44454E+04    0.10265E+01    0.28736E-01   -0.42934E+02
   154    0.44766E+04    0.10175E+01    0.28271E-01   -0.42738E+02
   155    0.45075E+04    0.10083E+01    0.27819E-01   -0.42518E+02
   156    0.45380E+04    0.99879E+00    0.27380E-01   -0.42271E+02
   157    0.45684E+04    0.98899E+00    0.26954E-01   -0.41998E+02
   158    0.45985E+04    0.97899E+00    0.26542E-01   -0.41698E+02
   159    0.46283E+04    0.96864E+00    0.26144E-01   -0.41373E+02
   160    0.46578E+04    0.95810E+00    0.25759E-01   -0.41019E+02
   161    0.46870E+04    0.94744E+00    0.25388E-01   -0.40640E+02
   162    0.47159E+04    0.93654E+00    0.25030E-01   -0.40235E+02
   163    0.47446E+04    0.92546E+00    0.24687E-01   -0.39802E+02
   164    0.47728E+04    0.91428E+00    0.24357E-01   -0.39343E+02
   165    0.48008E+04    0.90295E+00    0.24041E-01   -0.38856E+02
   166    0.48285E+04    0.89160E+00    0.23739E-01   -0.38342E+02
   167    0.48558E+04    0.88003E+00    0.23452E-01   -0.37803E+02
   168    0.48827E+04    0.86862E+00    0.23178E-01   -0.37235E+02
   169    0.49092E+04    0.85706E+00    0.22919E-01   -0.36640E+02
   170    0.49354E+04    0.84559E+00    0.22675E-01   -0.36018E+02
   171    0.49610E+04    0.83422E+00    0.22445E-01   -0.35367E+02
   172    0.49862E+04    0.82287E+00    0.22229E-01   -0.34689E+02
   173    0.50109E+04    0.81156E+00    0.22028E-01   -0.33984E+02
   174    0.50352E+04    0.80058E+00    0.21841E-01   -0.33252E+02
   175    0.50591E+04    0.78964E+00    0.21670E-01   -0.32492E+02
