#    L    TT             EE             BB             TE             PP             TP             EP          
     2    0.16437E+04    0.69408E-01    0.25181E-01    0.35650E+01    0.47210E-07    0.35493E-02   -0.16044E-04
     3    0.14829E+04    0.10773E+00    0.28954E-01    0.37251E+01    0.57332E-07    0.36206E-02   -0.19647E-04
     4    0.13857E+04    0.11924E+00    0.28296E-01    0.36628E+01    0.66012E-07    0.35742E-02   -0.19731E-04
     5    0.13160E+04    0.10578E+00    0.24724E-01    0.33498E+01    0.73543E-07    0.34787E-02   -0.17283E-04
     6    0.12666E+04    0.79269E-01    0.19879E-01    0.29054E+01    0.80102E-07    0.33640E-02   -0.13259E-04
     7    0.12326E+04    0.52049E-01    0.15037E-01    0.24185E+01    0.85859E-07    0.32444E-02   -0.85996E-05
     8    0.12096E+04    0.31587E-01    0.10960E-01    0.19536E+01    0.90937E-07    0.31214E-02   -0.40751E-05
     9    0.11949E+04    0.19628E-01    0.79521E-02    0.15499E+01    0.95438E-07    0.29959E-02   -0.24262E-06
    10    0.11866E+04    0.14269E-01    0.60072E-02    0.12306E+01    0.99426E-07    0.28729E-02    0.25160E-05
    11    0.11827E+04    0.12486E-01    0.49692E-02    0.10018E+01    0.10299E-06    0.27594E-02    0.40057E-05
    12    0.11826E+04    0.11991E-01    0.46267E-02    0.86358E+00    0.10615E-06    0.26559E-02    0.42662E-05
    13    0.11845E+04    0.11656E-01    0.47756E-02    0.80190E+00    0.10896E-06    0.25597E-02    0.36408E-05
    14    0.11880E+04    0.11452E-01    0.52332E-02    0.79655E+00    0.11145E-06    0.24685E-02    0.25004E-05
    15    0.11934E+04    0.11573E-01    0.58859E-02    0.82589E+00    0.11367E-06    0.23816E-02    0.11114E-05
    16    0.12011E+04    0.12170E-01    0.66478E-02    0.87007E+00    0.11564E-06    0.22986E-02   -0.29578E-06
    17    0.12106E+04    0.13224E-01    0.74765E-02    0.91485E+00    0.11738E-06    0.22198E-02   -0.15168E-05
    18    0.12206E+04    0.14494E-01    0.83445E-02    0.95122E+00    0.11891E-06    0.21452E-02   -0.23703E-05
    19    0.12318E+04    0.15852E-01    0.92421E-02    0.97882E+00    0.12026E-06    0.20738E-02   -0.27355E-05
    20    0.12426E+04    0.17282E-01    0.10165E-01    0.99599E+00    0.12143E-06    0.20048E-02   -0.25719E-05
    21    0.12535E+04    0.18811E-01    0.11110E-01    0.10015E+01    0.12244E-06    0.19388E-02   -0.20993E-05
    22    0.12649E+04    0.20561E-01    0.12076E-01    0.99465E+00    0.12331E-06    0.18766E-02   -0.15636E-05
    23    0.12765E+04    0.22604E-01    0.13062E-01    0.98221E+00    0.12406E-06    0.18174E-02   -0.10666E-05
    24    0.12883E+04    0.24954E-01    0.14065E-01    0.97104E+00    0.12467E-06    0.17603E-02   -0.65986E-06
    25    0.13003E+04    0.27598E-01    0.15083E-01    0.96169E+00    0.12518E-06    0.17055E-02   -0.33773E-06
    26    0.13124E+04    0.30484E-01    0.16113E-01    0.95449E+00    0.12559E-06    0.16535E-02   -0.10091E-06
    27    0.13247E+04    0.33596E-01    0.17155E-01    0.94782E+00    0.12591E-06    0.16043E-02   -0.31594E-07
    28    0.13371E+04    0.36944E-01    0.18213E-01    0.94034E+00    0.12614E-06    0.15578E-02   -0.19760E-06
    29    0.13498E+04    0.40510E-01    0.19284E-01    0.92837E+00    0.12628E-06    0.15135E-02   -0.53007E-06
    30    0.13627E+04    0.44282E-01    0.20367E-01    0.90710E+00    0.12635E-06    0.14711E-02   -0.91975E-06
    31    0.13755E+04    0.48279E-01    0.21461E-01    0.87564E+00    0.12634E-06    0.14300E-02   -0.12303E-05
    32    0.13885E+04    0.52506E-01    0.22563E-01    0.83398E+00    0.12627E-06    0.13902E-02   -0.13547E-05
    33    0.14017E+04    0.56940E-01    0.23673E-01    0.78160E+00    0.12615E-06    0.13520E-02   -0.13274E-05
    34    0.14150E+04    0.61570E-01    0.24789E-01    0.71829E+00    0.12597E-06    0.13157E-02   -0.12188E-05
    35    0.14284E+04    0.66413E-01    0.25909E-01    0.64238E+00    0.12574E-06    0.12812E-02   -0.11011E-05
    36    0.14418E+04    0.71500E-01    0.27030E-01    0.55192E+00    0.12547E-06    0.12482E-02   -0.10200E-05
