#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
     2    0.11642E+04    0.32472E+01    0.14490E-02    0.32472E+01    0.53585E-01   -0.65501E-05    0.14490E-02   -0.65501E-05    0.78684E-08
     3    0.10959E+04    0.41005E+01    0.10452E-02    0.41005E+01    0.87572E-01   -0.56716E-05    0.10452E-02   -0.56716E-05    0.47777E-08
     4    0.10225E+04    0.42603E+01    0.79923E-03    0.42603E+01    0.97977E-01   -0.44121E-05    0.79923E-03   -0.44121E-05    0.33006E-08
     5    0.96265E+03    0.39870E+01    0.63512E-03    0.39870E+01    0.86387E-01   -0.31554E-05    0.63512E-03   -0.31554E-05    0.24514E-08
     6    0.91765E+03    0.34990E+01    0.51908E-03    0.34990E+01    0.63435E-01   -0.20459E-05    0.51908E-03   -0.20459E-05    0.19072E-08
     7    0.88537E+03    0.29380E+01    0.43355E-03    0.29380E+01    0.40165E-01   -0.11492E-05    0.43355E-03   -0.11492E-05    0.15332E-08
     8    0.86257E+03    0.23975E+01    0.36786E-03    0.23975E+01    0.23109E-01   -0.48025E-06    0.36786E-03   -0.48025E-06    0.12630E-08
     9    0.84713E+03    0.19310E+01    0.31580E-03    0.19310E+01    0.13586E-01   -0.25575E-07    0.31580E-03   -0.25575E-07    0.10604E-08
    10    0.83760E+03    0.15626E+01    0.27392E-03    0.15626E+01    0.96294E-02    0.23989E-06    0.27392E-03    0.23989E-06    0.90387E-09
    11    0.83241E+03    0.13013E+01    0.24018E-03    0.13013E+01    0.83917E-02    0.34865E-06    0.24018E-03    0.34865E-06    0.78023E-09
    12    0.83153E+03    0.11455E+01    0.21261E-03    0.11455E+01    0.78393E-02    0.34286E-06    0.21261E-03    0.34286E-06    0.68036E-09
    13    0.83300E+03    0.10787E+01    0.18974E-03    0.10787E+01    0.70613E-02    0.26987E-06    0.18974E-03    0.26987E-06    0.59867E-09
    14    0.83577E+03    0.10790E+01    0.17034E-03    0.10790E+01    0.62091E-02    0.17245E-06    0.17034E-03    0.17245E-06    0.53071E-09
    15    0.84017E+03    0.11228E+01    0.15373E-03    0.11228E+01    0.55684E-02    0.71740E-07    0.15373E-03    0.71740E-07    0.47363E-09
    16    0.84668E+03    0.11883E+01    0.13937E-03    0.11883E+01    0.53500E-02   -0.17800E-07    0.13937E-03   -0.17800E-07    0.42512E-09
    17    0.85511E+03    0.12603E+01    0.12690E-03    0.12603E+01    0.55516E-02   -0.86707E-07    0.12690E-03   -0.86707E-07    0.38358E-09
    18    0.86441E+03    0.13289E+01    0.11599E-03    0.13289E+01    0.59334E-02   -0.12809E-06    0.11599E-03   -0.12809E-06    0.34769E-09
    19    0.87538E+03    0.13924E+01    0.10638E-03    0.13924E+01    0.63679E-02   -0.14033E-06    0.10638E-03   -0.14033E-06    0.31648E-09
    20    0.88634E+03    0.14480E+01    0.97823E-04    0.14480E+01    0.68349E-02   -0.12580E-06    0.97823E-04   -0.12580E-06    0.28912E-09
    21    0.89768E+03    0.14949E+01    0.90202E-04    0.14949E+01    0.73651E-02   -0.97670E-07    0.90202E-04   -0.97670E-07    0.26503E-09
    22    0.90968E+03    0.15326E+01    0.83423E-04    0.15326E+01    0.80811E-02   -0.69452E-07    0.83423E-04   -0.69452E-07    0.24370E-09
    23    0.92212E+03    0.15674E+01    0.77352E-04    0.15674E+01    0.90639E-02   -0.45397E-07    0.77352E-04   -0.45397E-07    0.22474E-09
    24    0.93500E+03    0.16057E+01    0.71863E-04    0.16057E+01    0.10333E-01   -0.26905E-07    0.71863E-04   -0.26905E-07    0.20779E-09
    25    0.94825E+03    0.16477E+01    0.66897E-04    0.16477E+01    0.11875E-01   -0.13247E-07    0.66897E-04   -0.13247E-07    0.19259E-09
    26    0.96171E+03    0.16933E+01    0.62408E-04    0.16933E+01    0.13638E-01   -0.38818E-08    0.62408E-04   -0.38818E-08    0.17890E-09
    27    0.97563E+03    0.17406E+01    0.58348E-04    0.17406E+01    0.15606E-01   -0.11491E-08    0.58348E-04   -0.11491E-08    0.16654E-09
    28    0.98985E+03    0.17879E+01    0.54667E-04    0.17879E+01    0.17795E-01   -0.68774E-08    0.54667E-04   -0.68774E-08    0.15534E-09
    29    0.10045E+04    0.18319E+01    0.51313E-04    0.18319E+01    0.20175E-01   -0.17971E-07    0.51313E-04   -0.17971E-07    0.14515E-09
    30    0.10194E+04    0.18685E+01    0.48238E-04    0.18685E+01    0.22728E-01   -0.30118E-07    0.48238E-04   -0.30118E-07    0.13586E-09
    31    0.10344E+04    0.18961E+01    0.45404E-04    0.18961E+01    0.25473E-01   -0.39063E-07    0.45404E-04   -0.39063E-07    0.12736E-09
    32    0.10497E+04    0.19140E+01    0.42782E-04    0.19140E+01    0.28425E-01   -0.41721E-07    0.42782E-04   -0.41721E-07    0.11958E-09
    33    0.10654E+04    0.19217E+01    0.40363E-04    0.19217E+01    0.31573E-01   -0.39628E-07    0.40363E-04   -0.39628E-07    0.11243E-09
    34    0.10813E+04    0.19187E+01    0.38140E-04    0.19187E+01    0.34915E-01   -0.35359E-07    0.38140E-04   -0.35359E-07    0.10586E-09
    35    0.10974E+04    0.19032E+01    0.36093E-04    0.19032E+01    0.38461E-01   -0.31019E-07    0.36093E-04   -0.31019E-07    0.99795E-10
    36    0.11136E+04    0.18732E+01    0.34199E-04    0.18732E+01    0.42233E-01   -0.27884E-07    0.34199E-04   -0.27884E-07    0.94194E-10
    37    0.11300E+04    0.18306E+01    0.32437E-04    0.18306E+01    0.46273E-01   -0.24380E-07    0.32437E-04   -0.24380E-07    0.89012E-10
    38    0.11467E+04    0.17798E+01    0.30792E-04    0.17798E+01    0.50621E-01   -0.18915E-07    0.30792E-04   -0.18915E-07    0.84206E-10
    39    0.11639E+04    0.17211E+01    0.29256E-04    0.17211E+01    0.55256E-01   -0.12664E-07    0.29256E-04   -0.12664E-07    0.79745E-10
    40    0.11812E+04    0.16539E+01    0.27823E-04    0.16539E+01    0.60148E-01   -0.74949E-08    0.27823E-04   -0.74949E-08    0.75594E-10
    41    0.11987E+04    0.15771E+01    0.26489E-04    0.15771E+01    0.65279E-01   -0.48577E-08    0.26489E-04   -0.48577E-08    0.71725E-10
    42    0.12163E+04    0.14897E+01    0.25244E-04    0.14897E+01    0.70664E-01   -0.45330E-08    0.25244E-04   -0.45330E-08    0.68115E-10
    43    0.12340E+04    0.13903E+01    0.24080E-04    0.13903E+01    0.76322E-01   -0.58841E-08    0.24080E-04   -0.58841E-08    0.64745E-10
    44    0.12518E+04    0.12788E+01    0.22987E-04    0.12788E+01    0.82261E-01   -0.82741E-08    0.22987E-04   -0.82741E-08    0.61595E-10
    45    0.12699E+04    0.11549E+01    0.21956E-04    0.11549E+01    0.88497E-01   -0.11066E-07    0.21956E-04   -0.11066E-07    0.58646E-10
    46    0.12883E+04    0.10167E+01    0.20980E-04    0.10167E+01    0.95045E-01   -0.13708E-07    0.20980E-04   -0.13708E-07    0.55878E-10
    47    0.13069E+04    0.86479E+00    0.20056E-04    0.86479E+00    0.10189E+00   -0.15986E-07    0.20056E-04   -0.15986E-07    0.53280E-10
    48    0.13256E+04    0.70322E+00    0.19185E-04    0.70322E+00    0.10904E+00   -0.17772E-07    0.19185E-04   -0.17772E-07    0.50840E-10
    49    0.13445E+04    0.53540E+00    0.18365E-04    0.53540E+00    0.11644E+00   -0.18937E-07    0.18365E-04   -0.18937E-07    0.48545E-10
    50    0.13639E+04    0.35800E+00    0.17596E-04    0.35800E+00    0.12407E+00   -0.19351E-07    0.17596E-04   -0.19351E-07    0.46385E-10
    51    0.13834E+04    0.16629E+00    0.16877E-04    0.16629E+00    0.13188E+00   -0.18943E-07    0.16877E-04   -0.18943E-07    0.44349E-10
    52    0.14033E+04   -0.44144E-01    0.16204E-04   -0.44144E-01    0.13997E+00   -0.17872E-07    0.16204E-04   -0.17872E-07    0.42429E-10
    53    0.14233E+04   -0.27584E+00    0.15572E-04   -0.27584E+00    0.14849E+00   -0.16351E-07    0.15572E-04   -0.16351E-07    0.40616E-10
    54    0.14432E+04   -0.52336E+00    0.14977E-04   -0.52336E+00    0.15744E+00   -0.14597E-07    0.14977E-04   -0.14597E-07    0.38904E-10
    55    0.14633E+04   -0.78114E+00    0.14414E-04   -0.78114E+00    0.16682E+00   -0.12823E-07    0.14414E-04   -0.12823E-07    0.37285E-10
    56    0.14838E+04   -0.10500E+01    0.13878E-04   -0.10500E+01    0.17648E+00   -0.11216E-07    0.13878E-04   -0.11216E-07    0.35752E-10
    57    0.15046E+04   -0.13303E+01    0.13368E-04   -0.13303E+01    0.18631E+00   -0.98420E-08    0.13368E-04   -0.98420E-08    0.34300E-10
    58    0.15257E+04   -0.16231E+01    0.12881E-04   -0.16231E+01    0.19631E+00   -0.87401E-08    0.12881E-04   -0.87401E-08    0.32923E-10
    59    0.15470E+04   -0.19300E+01    0.12415E-04   -0.19300E+01    0.20651E+00   -0.79477E-08    0.12415E-04   -0.79477E-08    0.31618E-10
    60    0.15685E+04   -0.22506E+01    0.11968E-04   -0.22506E+01    0.21695E+00   -0.75028E-08    0.11968E-04   -0.75028E-08    0.30379E-10
    61    0.15905E+04   -0.25846E+01    0.11539E-04   -0.25846E+01    0.22772E+00   -0.74296E-08    0.11539E-04   -0.74296E-08    0.29201E-10
    62    0.16124E+04   -0.29327E+01    0.11128E-04   -0.29327E+01    0.23880E+00   -0.76980E-08    0.11128E-04   -0.76980E-08    0.28081E-10
    63    0.16344E+04   -0.32951E+01    0.10736E-04   -0.32951E+01    0.25017E+00   -0.82647E-08    0.10736E-04   -0.82647E-08    0.27016E-10
    64    0.16569E+04   -0.36727E+01    0.10363E-04   -0.36727E+01    0.26183E+00   -0.90858E-08    0.10363E-04   -0.90858E-08    0.26003E-10
    65    0.16795E+04   -0.40656E+01    0.10010E-04   -0.40656E+01    0.27377E+00   -0.10118E-07    0.10010E-04   -0.10118E-07    0.25038E-10
    66    0.17024E+04   -0.44715E+01    0.96784E-05   -0.44715E+01    0.28593E+00   -0.11291E-07    0.96784E-05   -0.11291E-07    0.24119E-10
    67    0.17256E+04   -0.48880E+01    0.93653E-05   -0.48880E+01    0.29829E+00   -0.12430E-07    0.93653E-05   -0.12430E-07    0.23243E-10
    68    0.17492E+04   -0.53137E+01    0.90689E-05   -0.53137E+01    0.31091E+00   -0.13332E-07    0.90689E-05   -0.13332E-07    0.22407E-10
    69    0.17730E+04   -0.57473E+01    0.87870E-05   -0.57473E+01    0.32373E+00   -0.13796E-07    0.87870E-05   -0.13796E-07    0.21610E-10
    70    0.17972E+04   -0.61908E+01    0.85173E-05   -0.61908E+01    0.33678E+00   -0.13619E-07    0.85173E-05   -0.13619E-07    0.20849E-10
    71    0.18215E+04   -0.66470E+01    0.82580E-05   -0.66470E+01    0.35007E+00   -0.12686E-07    0.82580E-05   -0.12686E-07    0.20122E-10
    72    0.18460E+04   -0.71170E+01    0.80083E-05   -0.71170E+01    0.36355E+00   -0.11221E-07    0.80083E-05   -0.11221E-07    0.19427E-10
    73    0.18708E+04   -0.76013E+01    0.77678E-05   -0.76013E+01    0.37719E+00   -0.95337E-08    0.77678E-05   -0.95337E-08    0.18763E-10
    74    0.18957E+04   -0.80986E+01    0.75360E-05   -0.80986E+01    0.39098E+00   -0.79334E-08    0.75360E-05   -0.79334E-08    0.18127E-10
    75    0.19210E+04   -0.86074E+01    0.73123E-05   -0.86074E+01    0.40492E+00   -0.67304E-08    0.73123E-05   -0.67304E-08    0.17519E-10
    76    0.19466E+04   -0.91266E+01    0.70966E-05   -0.91266E+01    0.41901E+00   -0.61631E-08    0.70966E-05   -0.61631E-08    0.16936E-10
    77    0.19725E+04   -0.96560E+01    0.68887E-05   -0.96560E+01    0.43324E+00   -0.61851E-08    0.68887E-05   -0.61851E-08    0.16377E-10
    78    0.19989E+04   -0.10197E+02    0.66887E-05   -0.10197E+02    0.44765E+00   -0.66788E-08    0.66887E-05   -0.66788E-08    0.15842E-10
