#    L    TT             EE             BB             TE          
     2    0.47950E+03    0.15823E-01    0.25181E-01    0.31773E+00
     3    0.38698E+03    0.20157E-01    0.28954E-01   -0.37535E+00
     4    0.36316E+03    0.21264E-01    0.28296E-01   -0.59745E+00
     5    0.35336E+03    0.19390E-01    0.24724E-01   -0.63720E+00
     6    0.34894E+03    0.15834E-01    0.19879E-01   -0.59354E+00
     7    0.34728E+03    0.11884E-01    0.15037E-01   -0.51948E+00
     8    0.34707E+03    0.84789E-02    0.10960E-01   -0.44388E+00
     9    0.34777E+03    0.60420E-02    0.79521E-02   -0.38111E+00
    10    0.34898E+03    0.46396E-02    0.60072E-02   -0.33199E+00
    11    0.35026E+03    0.40947E-02    0.49692E-02   -0.29955E+00
    12    0.35102E+03    0.41517E-02    0.46267E-02   -0.28188E+00
    13    0.35154E+03    0.45948E-02    0.47756E-02   -0.27680E+00
    14    0.35222E+03    0.52430E-02    0.52332E-02   -0.28248E+00
    15    0.35319E+03    0.60042E-02    0.58859E-02   -0.29692E+00
    16    0.35439E+03    0.68195E-02    0.66478E-02   -0.31825E+00
    17    0.35549E+03    0.76728E-02    0.74765E-02   -0.34547E+00
    18    0.35618E+03    0.85605E-02    0.83445E-02   -0.37767E+00
    19    0.35642E+03    0.94843E-02    0.92421E-02   -0.41355E+00
    20    0.35629E+03    0.10447E-01    0.10165E-01   -0.45206E+00
    21    0.35587E+03    0.11446E-01    0.11110E-01   -0.49340E+00
    22    0.35523E+03    0.12480E-01    0.12076E-01   -0.53792E+00
    23    0.35438E+03    0.13540E-01    0.13062E-01   -0.58519E+00
    24    0.35331E+03    0.14620E-01    0.14065E-01   -0.63466E+00
    25    0.35206E+03    0.15722E-01    0.15083E-01   -0.68598E+00
    26    0.35064E+03    0.16847E-01    0.16113E-01   -0.73885E+00
    27    0.34905E+03    0.17990E-01    0.17155E-01   -0.79280E+00
    28    0.34730E+03    0.19150E-01    0.18213E-01   -0.84754E+00
    29    0.34538E+03    0.20335E-01    0.19284E-01   -0.90357E+00
    30    0.34332E+03    0.21554E-01    0.20367E-01   -0.96136E+00
    31    0.34112E+03    0.22805E-01    0.21461E-01   -0.10204E+01
    32    0.33879E+03    0.24081E-01    0.22563E-01   -0.10801E+01
    33    0.33631E+03    0.25368E-01    0.23673E-01   -0.11401E+01
    34    0.33371E+03    0.26655E-01    0.24789E-01   -0.12004E+01
    35    0.33098E+03    0.27952E-01    0.25909E-01   -0.12609E+01
    36    0.32815E+03    0.29268E-01    0.27030E-01   -0.13213E+01
    37    0.32521E+03    0.30605E-01    0.28155E-01   -0.13815E+01
    38    0.32216E+03    0.31962E-01    0.29284E-01   -0.14415E+01
    39    0.31899E+03    0.33335E-01    0.30414E-01   -0.15010E+01
    40    0.31573E+03    0.34720E-01    0.31542E-01   -0.15600E+01
    41    0.31237E+03    0.36112E-01    0.32664E-01   -0.16184E+01
    42    0.30893E+03    0.37511E-01    0.33779E-01   -0.16761E+01
    43    0.30540E+03    0.38914E-01    0.34887E-01   -0.17329E+01
    44    0.30179E+03    0.40321E-01    0.35985E-01   -0.17889E+01
    45    0.29810E+03    0.41732E-01    0.37073E-01   -0.18439E+01
    46    0.29434E+03    0.43145E-01    0.38150E-01   -0.18979E+01
