#    L    TT             EE             BB             TE          
     2    0.16437E+04    0.69408E-01    0.25181E-01    0.35650E+01
     3    0.14829E+04    0.10773E+00    0.28954E-01    0.37251E+01
     4    0.13857E+04    0.11924E+00    0.28296E-01    0.36628E+01
     5    0.13160E+04    0.10578E+00    0.24724E-01    0.33498E+01
     6    0.12666E+04    0.79269E-01    0.19879E-01    0.29054E+01
     7    0.12326E+04    0.52049E-01    0.15037E-01    0.24185E+01
     8    0.12096E+04    0.31587E-01    0.10960E-01    0.19536E+01
     9    0.11949E+04    0.19628E-01    0.79521E-02    0.15499E+01
    10    0.11866E+04    0.14269E-01    0.60072E-02    0.12306E+01
    11    0.11827E+04    0.12486E-01    0.49692E-02    0.10018E+01
    12    0.11826E+04    0.11991E-01    0.46267E-02    0.86358E+00
    13    0.11845E+04    0.11656E-01    0.47756E-02    0.80190E+00
    14    0.11880E+04    0.11452E-01    0.52332E-02    0.79655E+00
    15    0.11934E+04    0.11573E-01    0.58859E-02    0.82589E+00
    16    0.12011E+04    0.12170E-01    0.66478E-02    0.87007E+00
    17    0.12106E+04    0.13224E-01    0.74765E-02    0.91485E+00
    18    0.12206E+04    0.14494E-01    0.83445E-02    0.95122E+00
    19    0.12318E+04    0.15852E-01    0.92421E-02    0.97882E+00
    20    0.12426E+04    0.17282E-01    0.10165E-01    0.99599E+00
    21    0.12535E+04    0.18811E-01    0.11110E-01    0.10015E+01
    22    0.12649E+04    0.20561E-01    0.12076E-01    0.99465E+00
    23    0.12765E+04    0.22604E-01    0.13062E-01    0.98221E+00
    24    0.12883E+04    0.24954E-01    0.14065E-01    0.97104E+00
    25    0.13003E+04    0.27598E-01    0.15083E-01    0.96169E+00
    26    0.13124E+04    0.30484E-01    0.16113E-01    0.95449E+00
    27    0.13247E+04    0.33596E-01    0.17155E-01    0.94782E+00
    28    0.13371E+04    0.36944E-01    0.18213E-01    0.94034E+00
    29    0.13498E+04    0.40510E-01    0.19284E-01    0.92837E+00
    30    0.13627E+04    0.44282E-01    0.20367E-01    0.90710E+00
    31    0.13755E+04    0.48279E-01    0.21461E-01    0.87564E+00
    32    0.13885E+04    0.52506E-01    0.22563E-01    0.83398E+00
    33    0.14017E+04    0.56940E-01    0.23673E-01    0.78160E+00
    34    0.14150E+04    0.61570E-01    0.24789E-01    0.71829E+00
    35    0.14284E+04    0.66413E-01    0.25909E-01    0.64238E+00
    36    0.14418E+04    0.71500E-01    0.27030E-01    0.55192E+00
    37    0.14552E+04    0.76878E-01    0.28155E-01    0.44908E+00
    38    0.14689E+04    0.82583E-01    0.29284E-01    0.33829E+00
    39    0.14829E+04    0.88591E-01    0.30414E-01    0.22011E+00
    40    0.14969E+04    0.94868E-01    0.31542E-01    0.93889E-01
    41    0.15111E+04    0.10139E+00    0.32664E-01   -0.41251E-01
    42    0.15252E+04    0.10817E+00    0.33779E-01   -0.18638E+00
    43    0.15394E+04    0.11524E+00    0.34887E-01   -0.34259E+00
    44    0.15535E+04    0.12258E+00    0.35985E-01   -0.51008E+00
    45    0.15680E+04    0.13023E+00    0.37073E-01   -0.68899E+00
    46    0.15827E+04    0.13819E+00    0.38150E-01   -0.88123E+00
    47    0.15974E+04    0.14645E+00    0.39214E-01   -0.10860E+01
    48    0.16122E+04    0.15501E+00    0.40264E-01   -0.12991E+01
    49    0.16272E+04    0.16382E+00    0.41298E-01   -0.15171E+01
    50    0.16425E+04    0.17286E+00    0.42314E-01   -0.17431E+01
    51    0.16579E+04    0.18208E+00    0.43312E-01   -0.19817E+01
    52    0.16737E+04    0.19157E+00    0.44289E-01   -0.22375E+01
    53    0.16895E+04    0.20148E+00    0.45246E-01   -0.25127E+01
    54    0.17053E+04    0.21182E+00    0.46181E-01   -0.28021E+01
    55    0.17211E+04    0.22257E+00    0.47094E-01   -0.31000E+01
    56    0.17373E+04    0.23360E+00    0.47983E-01   -0.34072E+01
    57    0.17538E+04    0.24477E+00    0.48849E-01   -0.37240E+01
    58    0.17705E+04    0.25611E+00    0.49689E-01   -0.40515E+01
    59    0.17875E+04    0.26762E+00    0.50503E-01   -0.43909E+01
    60    0.18046E+04    0.27936E+00    0.51291E-01   -0.47420E+01
    61    0.18222E+04    0.29142E+00    0.52050E-01   -0.51044E+01
    62    0.18397E+04    0.30377E+00    0.52782E-01   -0.54787E+01
    63    0.18573E+04    0.31638E+00    0.53484E-01   -0.58653E+01
    64    0.18754E+04    0.32928E+00    0.54158E-01   -0.62650E+01
    65    0.18935E+04    0.34243E+00    0.54801E-01   -0.66780E+01
    66    0.19121E+04    0.35578E+00    0.55415E-01   -0.71021E+01
    67    0.19308E+04    0.36931E+00    0.55998E-01   -0.75347E+01
    68    0.19500E+04    0.38307E+00    0.56550E-01   -0.79744E+01
    69    0.19694E+04    0.39700E+00    0.57070E-01   -0.84198E+01
    70    0.19892E+04    0.41115E+00    0.57559E-01   -0.88729E+01
    71    0.20091E+04    0.42549E+00    0.58015E-01   -0.93363E+01
    72    0.20293E+04    0.43999E+00    0.58438E-01   -0.98113E+01
    73    0.20498E+04    0.45463E+00    0.58829E-01   -0.10298E+02
    74    0.20704E+04    0.46938E+00    0.59188E-01   -0.10797E+02
    75    0.20914E+04    0.48426E+00    0.59515E-01   -0.11305E+02
    76    0.21128E+04    0.49928E+00    0.59810E-01   -0.11821E+02
    77    0.21345E+04    0.51441E+00    0.60072E-01   -0.12347E+02
    78    0.21567E+04    0.52968E+00    0.60303E-01   -0.12881E+02
    79    0.21791E+04    0.54504E+00    0.60502E-01   -0.13422E+02
    80    0.22019E+04    0.56047E+00    0.60669E-01   -0.13969E+02
    81    0.22249E+04    0.57594E+00    0.60805E-01   -0.14523E+02
    82    0.22484E+04    0.59145E+00    0.60909E-01   -0.15084E+02
    83    0.22721E+04    0.60698E+00    0.60982E-01   -0.15650E+02
    84    0.22961E+04    0.62253E+00    0.61024E-01   -0.16221E+02
    85    0.23204E+04    0.63807E+00    0.61034E-01   -0.16798E+02
    86    0.23449E+04    0.65361E+00    0.61013E-01   -0.17379E+02
    87    0.23699E+04    0.66911E+00    0.60961E-01   -0.17965E+02
    88    0.23950E+04    0.68459E+00    0.60878E-01   -0.18555E+02
    89    0.24205E+04    0.70004E+00    0.60766E-01   -0.19150E+02
    90    0.24464E+04    0.71541E+00    0.60624E-01   -0.19748E+02
    91    0.24724E+04    0.73069E+00    0.60453E-01   -0.20349E+02
    92    0.24988E+04    0.74587E+00    0.60254E-01   -0.20953E+02
    93    0.25256E+04    0.76093E+00    0.60027E-01   -0.21559E+02
    94    0.25526E+04    0.77586E+00    0.59773E-01   -0.22166E+02
    95    0.25799E+04    0.79063E+00    0.59493E-01   -0.22775E+02
    96    0.26073E+04    0.80525E+00    0.59188E-01   -0.23385E+02
    97    0.26353E+04    0.81969E+00    0.58858E-01   -0.23996E+02
    98    0.26635E+04    0.83394E+00    0.58504E-01   -0.24605E+02
    99    0.26919E+04    0.84797E+00    0.58127E-01   -0.25216E+02
   100    0.27206E+04    0.86178E+00    0.57727E-01   -0.25823E+02
   101    0.27496E+04    0.87543E+00    0.57305E-01   -0.26430E+02
   102    0.27792E+04    0.88877E+00    0.56862E-01   -0.27035E+02
   103    0.28088E+04    0.90187E+00    0.56399E-01   -0.27638E+02
   104    0.28387E+04    0.91474E+00    0.55916E-01   -0.28236E+02
   105    0.28688E+04    0.92730E+00    0.55414E-01   -0.28832E+02
   106    0.28992E+04    0.93962E+00    0.54893E-01   -0.29424E+02
   107    0.29296E+04    0.95155E+00    0.54356E-01   -0.30010E+02
   108    0.29604E+04    0.96317E+00    0.53801E-01   -0.30593E+02
   109    0.29915E+04    0.97441E+00    0.53230E-01   -0.31169E+02
   110    0.30227E+04    0.98527E+00    0.52644E-01   -0.31739E+02
   111    0.30542E+04    0.99581E+00    0.52043E-01   -0.32302E+02
   112    0.30858E+04    0.10060E+01    0.51428E-01   -0.32859E+02
   113    0.31178E+04    0.10157E+01    0.50800E-01   -0.33408E+02
   114    0.31499E+04    0.10251E+01    0.50160E-01   -0.33948E+02
   115    0.31823E+04    0.10341E+01    0.49508E-01   -0.34479E+02
   116    0.32147E+04    0.10426E+01    0.48846E-01   -0.35001E+02
   117    0.32475E+04    0.10506E+01    0.48175E-01   -0.35512E+02
   118    0.32805E+04    0.10584E+01    0.47494E-01   -0.36014E+02
   119    0.33135E+04    0.10657E+01    0.46806E-01   -0.36504E+02
   120    0.33467E+04    0.10724E+01    0.46110E-01   -0.36982E+02
   121    0.33800E+04    0.10788E+01    0.45408E-01   -0.37448E+02
   122    0.34134E+04    0.10847E+01    0.44700E-01   -0.37901E+02
   123    0.34469E+04    0.10900E+01    0.43988E-01   -0.38342E+02
   124    0.34805E+04    0.10949E+01    0.43272E-01   -0.38767E+02
   125    0.35142E+04    0.10993E+01    0.42553E-01   -0.39179E+02
   126    0.35479E+04    0.11033E+01    0.41832E-01   -0.39576E+02
