#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
     2    0.12918E+04    0.30132E+01    0.16270E-02    0.30132E+01    0.55952E-01   -0.65952E-05    0.16270E-02   -0.65952E-05    0.72739E-08
     3    0.12212E+04    0.38969E+01    0.11934E-02    0.38969E+01    0.90280E-01   -0.56842E-05    0.11934E-02   -0.56842E-05    0.44192E-08
     4    0.11328E+04    0.41158E+01    0.91952E-03    0.41158E+01    0.98749E-01   -0.43623E-05    0.91952E-03   -0.43623E-05    0.30577E-08
     5    0.10573E+04    0.38875E+01    0.73391E-03    0.38875E+01    0.84697E-01   -0.30531E-05    0.73391E-03   -0.30531E-05    0.22748E-08
     6    0.99911E+03    0.34261E+01    0.60158E-03    0.34261E+01    0.60301E-01   -0.19130E-05    0.60158E-03   -0.19130E-05    0.17725E-08
     7    0.95609E+03    0.28799E+01    0.50347E-03    0.28799E+01    0.37057E-01   -0.10065E-05    0.50347E-03   -0.10065E-05    0.14269E-08
     8    0.92456E+03    0.23511E+01    0.42791E-03    0.23511E+01    0.21002E-01   -0.34547E-06    0.42791E-03   -0.34547E-06    0.11769E-08
     9    0.90206E+03    0.18950E+01    0.36804E-03    0.18950E+01    0.12633E-01    0.84626E-07    0.36804E-03    0.84626E-07    0.98927E-09
    10    0.88682E+03    0.15371E+01    0.31987E-03    0.15371E+01    0.94103E-02    0.31258E-06    0.31987E-03    0.31258E-06    0.84412E-09
    11    0.87691E+03    0.12881E+01    0.28090E-03    0.12881E+01    0.83791E-02    0.38198E-06    0.28090E-03    0.38198E-06    0.72935E-09
    12    0.87202E+03    0.11480E+01    0.24888E-03    0.11480E+01    0.77413E-02    0.34805E-06    0.24888E-03    0.34805E-06    0.63655E-09
    13    0.87014E+03    0.10969E+01    0.22222E-03    0.10969E+01    0.68384E-02    0.25778E-06    0.22222E-03    0.25778E-06    0.56058E-09
    14    0.87014E+03    0.11089E+01    0.19964E-03    0.11089E+01    0.60050E-02    0.15023E-06    0.19964E-03    0.15023E-06    0.49732E-09
    15    0.87223E+03    0.11585E+01    0.18030E-03    0.11585E+01    0.54874E-02    0.44297E-07    0.18030E-03    0.44297E-07    0.44414E-09
    16    0.87673E+03    0.12239E+01    0.16355E-03    0.12239E+01    0.54080E-02   -0.46391E-07    0.16355E-03   -0.46391E-07    0.39890E-09
    17    0.88341E+03    0.12932E+01    0.14895E-03    0.12932E+01    0.57043E-02   -0.10897E-06    0.14895E-03   -0.10897E-06    0.36014E-09
    18    0.89119E+03    0.13600E+01    0.13614E-03    0.13600E+01    0.61038E-02   -0.13467E-06    0.13614E-03   -0.13467E-06    0.32663E-09
    19    0.90088E+03    0.14218E+01    0.12483E-03    0.14218E+01    0.65279E-02   -0.13027E-06    0.12483E-03   -0.13027E-06    0.29746E-09
    20    0.91078E+03    0.14745E+01    0.11480E-03    0.14745E+01    0.70176E-02   -0.10687E-06    0.11480E-03   -0.10687E-06    0.27187E-09
    21    0.92123E+03    0.15180E+01    0.10588E-03    0.15180E+01    0.76328E-02   -0.77258E-07    0.10588E-03   -0.77258E-07    0.24932E-09
    22    0.93247E+03    0.15534E+01    0.97929E-04    0.15534E+01    0.85047E-02   -0.52036E-07    0.97929E-04   -0.52036E-07    0.22936E-09
    23    0.94423E+03    0.15886E+01    0.90789E-04    0.15886E+01    0.96739E-02   -0.31441E-07    0.90789E-04   -0.31441E-07    0.21159E-09
    24    0.95653E+03    0.16309E+01    0.84329E-04    0.16309E+01    0.11118E-01   -0.14017E-07    0.84329E-04   -0.14017E-07    0.19570E-09
    25    0.96929E+03    0.16778E+01    0.78490E-04    0.16778E+01    0.12828E-01   -0.19380E-08    0.78490E-04   -0.19380E-08    0.18145E-09
    26    0.98236E+03    0.17263E+01    0.73227E-04    0.17263E+01    0.14763E-01    0.22085E-08    0.73227E-04    0.22085E-08    0.16860E-09
    27    0.99597E+03    0.17743E+01    0.68466E-04    0.17743E+01    0.16903E-01   -0.22013E-08    0.68466E-04   -0.22013E-08    0.15700E-09
    28    0.10100E+04    0.18208E+01    0.64133E-04    0.18208E+01    0.19256E-01   -0.14099E-07    0.64133E-04   -0.14099E-07    0.14648E-09
    29    0.10244E+04    0.18618E+01    0.60170E-04    0.18618E+01    0.21802E-01   -0.27613E-07    0.60170E-04   -0.27613E-07    0.13691E-09
    30    0.10392E+04    0.18926E+01    0.56526E-04    0.18926E+01    0.24531E-01   -0.36801E-07    0.56526E-04   -0.36801E-07    0.12817E-09
    31    0.10542E+04    0.19135E+01    0.53173E-04    0.19135E+01    0.27465E-01   -0.40249E-07    0.53173E-04   -0.40249E-07    0.12018E-09
