#    L    TT             EE             BB             TE          
     2    0.46908E+03    0.16482E-01    0.26480E-01    0.34564E+00
     3    0.38374E+03    0.20542E-01    0.30066E-01   -0.33616E+00
     4    0.36160E+03    0.21209E-01    0.28943E-01   -0.55187E+00
     5    0.35235E+03    0.18907E-01    0.24878E-01   -0.58800E+00
     6    0.34817E+03    0.15076E-01    0.19665E-01   -0.54517E+00
     7    0.34664E+03    0.11057E-01    0.14628E-01   -0.47553E+00
     8    0.34656E+03    0.77568E-02    0.10512E-01   -0.40615E+00
     9    0.34735E+03    0.55245E-02    0.75699E-02   -0.35106E+00
    10    0.34862E+03    0.43545E-02    0.57458E-02   -0.30918E+00
    11    0.34997E+03    0.40101E-02    0.48457E-02   -0.28411E+00
    12    0.35075E+03    0.42148E-02    0.46289E-02   -0.27275E+00
    13    0.35125E+03    0.47575E-02    0.48821E-02   -0.27302E+00
    14    0.35190E+03    0.54678E-02    0.54198E-02   -0.28356E+00
    15    0.35283E+03    0.62698E-02    0.61317E-02   -0.30218E+00
    16    0.35398E+03    0.71190E-02    0.69376E-02   -0.32684E+00
    17    0.35501E+03    0.80048E-02    0.78015E-02   -0.35691E+00
    18    0.35561E+03    0.89261E-02    0.87018E-02   -0.39187E+00
    19    0.35577E+03    0.98856E-02    0.96303E-02   -0.43041E+00
    20    0.35555E+03    0.10886E-01    0.10583E-01   -0.47137E+00
    21    0.35503E+03    0.11924E-01    0.11558E-01   -0.51505E+00
    22    0.35429E+03    0.12995E-01    0.12556E-01   -0.56189E+00
    23    0.35333E+03    0.14090E-01    0.13572E-01   -0.61147E+00
    24    0.35215E+03    0.15204E-01    0.14605E-01   -0.66317E+00
    25    0.35078E+03    0.16339E-01    0.15652E-01   -0.71661E+00
    26    0.34925E+03    0.17498E-01    0.16711E-01   -0.77143E+00
    27    0.34754E+03    0.18680E-01    0.17784E-01   -0.82727E+00
    28    0.34566E+03    0.19883E-01    0.18872E-01   -0.88397E+00
    29    0.34362E+03    0.21113E-01    0.19974E-01   -0.94198E+00
    30    0.34144E+03    0.22374E-01    0.21088E-01   -0.10017E+01
    31    0.33911E+03    0.23664E-01    0.22212E-01   -0.10625E+01
    32    0.33664E+03    0.24977E-01    0.23343E-01   -0.11237E+01
    33    0.33402E+03    0.26301E-01    0.24480E-01   -0.11851E+01
    34    0.33128E+03    0.27626E-01    0.25623E-01   -0.12469E+01
    35    0.32842E+03    0.28961E-01    0.26770E-01   -0.13087E+01
    36    0.32545E+03    0.30317E-01    0.27919E-01   -0.13703E+01
    37    0.32236E+03    0.31694E-01    0.29070E-01   -0.14317E+01
    38    0.31916E+03    0.33091E-01    0.30223E-01   -0.14926E+01
    39    0.31586E+03    0.34502E-01    0.31376E-01   -0.15531E+01
    40    0.31245E+03    0.35925E-01    0.32524E-01   -0.16129E+01
    41    0.30894E+03    0.37356E-01    0.33665E-01   -0.16718E+01
    42    0.30535E+03    0.38793E-01    0.34798E-01   -0.17299E+01
    43    0.30168E+03    0.40234E-01    0.35922E-01   -0.17870E+01
    44    0.29792E+03    0.41678E-01    0.37034E-01   -0.18431E+01
    45    0.29408E+03    0.43123E-01    0.38134E-01   -0.18981E+01
    46    0.29018E+03    0.44569E-01    0.39221E-01   -0.19520E+01
    47    0.28620E+03    0.46013E-01    0.40293E-01   -0.20046E+01
    48    0.28216E+03    0.47455E-01    0.41349E-01   -0.20558E+01
    49    0.27806E+03    0.48894E-01    0.42387E-01   -0.21054E+01
    50    0.27390E+03    0.50328E-01    0.43405E-01   -0.21533E+01
    51    0.26969E+03    0.51756E-01    0.44403E-01   -0.21993E+01
    52    0.26544E+03    0.53177E-01    0.45378E-01   -0.22435E+01
    53    0.26114E+03    0.54589E-01    0.46330E-01   -0.22859E+01
    54    0.25680E+03    0.55991E-01    0.47259E-01   -0.23264E+01
    55    0.25242E+03    0.57382E-01    0.48163E-01   -0.23650E+01
    56    0.24802E+03    0.58759E-01    0.49041E-01   -0.24017E+01
    57    0.24359E+03    0.60121E-01    0.49893E-01   -0.24365E+01
    58    0.23913E+03    0.61466E-01    0.50717E-01   -0.24693E+01
    59    0.23466E+03    0.62794E-01    0.51514E-01   -0.24999E+01
    60    0.23017E+03    0.64101E-01    0.52282E-01   -0.25283E+01
    61    0.22567E+03    0.65388E-01    0.53020E-01   -0.25545E+01
    62    0.22116E+03    0.66653E-01    0.53728E-01   -0.25783E+01
    63    0.21665E+03    0.67897E-01    0.54406E-01   -0.26000E+01
    64    0.21214E+03    0.69121E-01    0.55052E-01   -0.26196E+01
    65    0.20763E+03    0.70324E-01    0.55667E-01   -0.26370E+01
    66    0.20312E+03    0.71506E-01    0.56249E-01   -0.26524E+01
    67    0.19863E+03    0.72665E-01    0.56798E-01   -0.26657E+01
    68    0.19414E+03    0.73797E-01    0.57315E-01   -0.26767E+01
    69    0.18967E+03    0.74899E-01    0.57798E-01   -0.26855E+01
    70    0.18522E+03    0.75968E-01    0.58247E-01   -0.26920E+01
    71    0.18080E+03    0.77000E-01    0.58662E-01   -0.26961E+01
    72    0.17640E+03    0.77998E-01    0.59043E-01   -0.26979E+01
    73    0.17203E+03    0.78965E-01    0.59391E-01   -0.26976E+01
    74    0.16769E+03    0.79902E-01    0.59705E-01   -0.26953E+01
    75    0.16339E+03    0.80814E-01    0.59985E-01   -0.26911E+01
    76    0.15911E+03    0.81701E-01    0.60231E-01   -0.26852E+01
    77    0.15487E+03    0.82561E-01    0.60445E-01   -0.26775E+01
